Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,amod,appos,case,ccomp,compound,compound:prt,conj,csubj,csubj:cop,dep,fixed,flat,flat:name,list,nmod,nmod:att,nmod:lmod,nmod:obl,nmod:tmod,nsubj,obj,obl,obl:inst,obl:lmod,obl:lvc,obl:tmod,orphan,parataxis,root,xcomp,xcomp:ds
hu_szeged-ud-dev,441,0,215,,,,3.0,,1.0,,,,,12.0,,,,,,,,,2.0,,17.0,,2.0,,176.0,,,,,2.0,,,,
hu_szeged-ud-test,449,0,176,,,,1.0,,2.0,,,,,4.0,,,,,,,,,,,5.0,,,,160.0,,,,,2.0,2.0,,,
hu_szeged-ud-train,910,0,335,,,,2.0,,1.0,,,,,10.0,,,,,,,,,,,14.0,,,,300.0,,,3.0,,,4.0,1.0,,
fi_ood-ud-test,2122,0,258,,,1.0,8.0,,1.0,,1.0,,,15.0,,,,,,1.0,,19.0,,,,,,,154.0,,,,,4.0,7.0,46.0,1.0,
et_ewt-ud-train,5444,0,810,,7.0,6.0,7.0,,,,11.0,,,65.0,1.0,1.0,,,,,,93.0,,,,,,,520.0,,,,,3.0,7.0,89.0,,
et_ewt-ud-test,913,0,194,,1.0,,2.0,,,,1.0,,,10.0,,,,,,,,17.0,,,,,,,140.0,,,,,4.0,4.0,15.0,,
et_ewt-ud-dev,833,0,100,,3.0,,3.0,,,,,,,5.0,1.0,,,,,,,11.0,,,,,,,68.0,,,,,,1.0,8.0,,
si_stb-ud-test,100,0,13,,,,,,,,,,,,,,3.0,,,,,1.0,,,,,1.0,,2.0,,4.0,,,,,2.0,,
olo_kkpp-ud-test,106,0,22,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,19.0,,,,,,,,,
mdf_jr-ud-test,454,0,99,,,,1.0,,3.0,,,,,8.0,,,,,,,,5.0,,3.0,,1.0,,1.0,29.0,15.0,28.0,,,,,5.0,,
vep_vwt-ud-test,103,0,31,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,25.0,,,,,,,4.0,,
fi_tdt-ud-train,12217,0,3062,,,20.0,61.0,,9.0,1.0,26.0,,,215.0,,4.0,,,,2.0,,359.0,,,,,,,2104.0,,,,,4.0,9.0,235.0,10.0,3.0
fi_tdt-ud-test,1555,0,354,,,4.0,5.0,,2.0,,3.0,,,19.0,,,,,,,,41.0,,,,,,,244.0,,,,,1.0,1.0,34.0,,
