Treebank,Number of Sentences,Failures,Total,advcl,advmod,amod,case,compound,compound:redup,conj,csubj,dep:infl,discourse,flat,mark,nmod,nmod:poss,nummod,obj,obl,obl:tmod,parataxis:discourse,root
ess_sli-ud-test,309,0,3,,,,,,,,,3.0,,,,,,,,,,,
gub_tudet-ud-test,1182,0,8,,,,,,,,,,,,,,,,1.0,7.0,,,
egy_ujaen-ud-test,721,0,42,,,5.0,34.0,,,,,,,,3.0,,,,,,,,
ky_ktmu-ud-test,701,0,11,1.0,3.0,2.0,,,,,,,,,,4.0,,,,1.0,,,
tt_nmctt-ud-test,148,0,9,4.0,,,,,,,,,,,,,,,,5.0,,,
tr_gb-ud-test,2880,0,5,,,,,,,,,,,,,,,,,4.0,1.0,,
ota_boun-ud-train,114,0,1,,,,,,,,,,,,,,,,,1.0,,,
ota_boun-ud-test,400,0,3,,,,,,,,,,,,,,,,,3.0,,,
qtd_sagt-ud-test,805,0,3,2.0,,,,,,1.0,,,,,,,,,,,,,
qtd_sagt-ud-dev,801,0,10,,,,,,,,,,,,,1.0,,1.0,,5.0,,2.0,1.0
qtd_sagt-ud-train,578,0,5,,,,,,,,,,,,,1.0,,,,3.0,,1.0,
tr_imst-ud-train,3435,0,26,1.0,1.0,3.0,,1.0,,,,,,1.0,,5.0,,,,14.0,,,
tr_imst-ud-dev,1100,0,5,1.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,
tr_imst-ud-test,1100,0,7,,,,,,,1.0,,,,,,2.0,,,,4.0,,,
tr_boun-ud-dev,979,0,5,1.0,,1.0,,,,,,,,,,,,1.0,,2.0,,,
tr_boun-ud-test,979,0,8,2.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,2.0,,,
tr_boun-ud-train,7803,0,47,2.0,,5.0,,,,1.0,1.0,,2.0,,,3.0,1.0,2.0,,26.0,3.0,,1.0
