Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cmp,advcl:pred,advmod,advmod:mmod,advmod:tmod,amod,appos,case,ccomp,ccomp:relcl,compound,conj,dep,det,discourse,dislocated,dislocated:obj,fixed,flat,iobj,nmod,nsubj,nsubj:cop,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:cmp,obl:inst,obl:lmod,obl:subj,orphan,parataxis,root,vocative,xcomp
xav_xdt-ud-test,171,0,6,,,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,
el_gud-ud-train,1071,0,14,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,2.0,1.0,,,,5.0,3.0,,,,,,,,,1.0,,
el_gud-ud-test,736,0,9,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,2.0,,,,2.0,1.0,,,,,,,,,,,1.0
la_circse-ud-test,1263,0,7,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,3.0,,1.0,,,,,,,,,
qpm_philotis-ud-train,980,0,75,,,1.0,,,3.0,,,,1.0,,,,,6.0,,1.0,,,,,,2.0,,21.0,,,1.0,21.0,7.0,,1.0,,,1.0,,1.0,1.0,1.0,6.0,
qpm_philotis-ud-dev,635,0,44,,,,,,2.0,,,,,,,,,1.0,2.0,1.0,,,,,,5.0,3.0,14.0,,,1.0,14.0,,,,,,,,,,,1.0,
qpm_philotis-ud-test,635,0,33,,,1.0,,,,,,,,,2.0,,,5.0,,,,,,,,1.0,,10.0,,,,9.0,3.0,,,,,,,,,2.0,,
sms_giellagas-ud-test,230,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,50,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,1.0,,12.0,,,,,11.0,5.0,,,,,,7.0,,1.0,9.0,,
pt_gsd-ud-train,9616,0,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,55,,,,,,1.0,1.0,,,1.0,,,,,2.0,,,,,,,,,6.0,19.0,2.0,,,12.0,1.0,,,,1.0,5.0,,,,1.0,2.0,1.0
