Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cleft,ccomp,conj,csubj,parataxis,parataxis:conj,parataxis:discourse,parataxis:parenth,reparandum,root,xcomp
fr_gsd-ud-train,14450,0,17,4.0,,1.0,,,3.0,,6.0,,,,,3.0,
fr_gsd-ud-dev,1476,0,1,,,,,,,,1.0,,,,,,
fr_rhapsodie-ud-train,1288,0,3,,,,,1.0,,,,,,,1.0,1.0,
fr_rhapsodie-ud-test,840,0,2,,,1.0,,,,,,,,,1.0,,
fr_parisstories-ud-dev,692,0,5,,1.0,,,1.0,,,,,,,1.0,2.0,
fr_parisstories-ud-train,1387,0,22,,5.0,,1.0,4.0,2.0,,,,,1.0,2.0,7.0,
fr_parisstories-ud-test,697,0,7,,,,,,3.0,,,,,,1.0,3.0,
pcm_nsc-ud-dev,990,0,26,,2.0,5.0,,4.0,,,2.0,4.0,,,,9.0,
pcm_nsc-ud-train,7279,0,257,3.0,14.0,24.0,5.0,40.0,20.0,2.0,5.0,17.0,1.0,,,124.0,2.0
pcm_nsc-ud-test,972,0,26,,,6.0,1.0,5.0,,,2.0,,,,,10.0,2.0
ha_southernautogramm-ud-test,1918,0,3,,,,,1.0,,,,,,,,2.0,
