Treebank,Number of Sentences,Failures,Total,advcl,amod,compound,compound:redup,conj,dislocated,nmod,obl,root
hi_hdtb-ud-train,13306,0,168,,,168.0,,,,,,
hi_hdtb-ud-dev,1659,0,26,,,26.0,,,,,,
hi_hdtb-ud-test,1684,0,14,,,14.0,,,,,,
bho_bhtb-ud-test,357,0,15,,2.0,1.0,,,,9.0,3.0,
xnr_kdtb-ud-test,288,0,3,,,1.0,,2.0,,,,
ur_udtb-ud-train,4043,0,55,,,55.0,,,,,,
ur_udtb-ud-dev,552,0,7,,,6.0,,,1.0,,,
ur_udtb-ud-test,535,0,4,,,4.0,,,,,,
tr_imst-ud-train,3435,0,5,1.0,,,3.0,,,1.0,,
tr_imst-ud-dev,1100,0,9,1.0,,,5.0,,,1.0,,2.0
tr_imst-ud-test,1100,0,3,,,,1.0,,,1.0,,1.0
tr_boun-ud-train,7803,0,2,,,,1.0,,,1.0,,
