Treebank,Number of Sentences,Failures,Total,advmod,advmod:emph,advmod:lmod,amod,aux:neg,conj,discourse,iobj,nmod,nsubj,nsubj:pass,nummod,obj,obl,root
la_circse-ud-test,1263,0,26,,24.0,,,,,2.0,,,,,,,,
say_autogramm-ud-test,1864,0,97,84.0,,,,,,12.0,,,,,,,,1.0
egy_ujaen-ud-test,721,0,13,4.0,,,,,,,,9.0,,,,,,
myv_jr-ud-test,921,0,16,,,,,16.0,,,,,,,,,,
myv_jr-ud-train,1217,0,2,,,,,2.0,,,,,,,,,,
la_udante-ud-train,926,0,15,,14.0,,,,,1.0,,,,,,,,
la_udante-ud-test,419,0,6,,5.0,,,,,,,,,,,,1.0,
la_udante-ud-dev,376,0,18,,16.0,,,,,2.0,,,,,,,,
ka_glc-ud-test,151,0,41,14.0,,1.0,1.0,,1.0,,3.0,7.0,6.0,1.0,1.0,5.0,,1.0
yrl_complin-ud-test,1470,0,58,58.0,,,,,,,,,,,,,,
