Treebank,Number of Sentences,Failures,Total,_,acl,acl:cleft,acl:relcl,advcl,advmod,amod,appos,aux,aux:neg,case,ccomp,compound,compound:prt,conj,csubj,csubj:pass,dep,det,discourse,dislocated,expl,fixed,flat,flat:foreign,iobj,list,mark,nmod,nmod:poss,nsubj,nsubj:nc,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:lmod,obl:tmod,orphan,parataxis,reparandum,root,vocative,xcomp
sv_talbanken-ud-dev,504,0,2286,,23.0,3.0,2.0,7.0,,129.0,26.0,,,,3.0,,4.0,180.0,3.0,1.0,,263.0,,5.0,,51.0,,,11.0,,,182.0,148.0,448.0,,,57.0,5.0,268.0,353.0,10.0,,,,,3.0,,56,1.0,44.0
sv_talbanken-ud-test,1219,0,4543,,22.0,,15.0,21.0,3.0,255.0,54.0,,,,5.0,,5.0,317.0,2.0,2.0,,542.0,,6.0,,93.0,,,17.0,,,449.0,143.0,954.0,,,147.0,6.0,484.0,753.0,8.0,,,,2.0,12.0,,144,,82.0
sv_talbanken-ud-train,4303,0,15838,,120.0,,31.0,49.0,9.0,976.0,183.0,,,,39.0,,16.0,1296.0,5.0,1.0,,1758.0,,31.0,,302.0,,,53.0,,,1594.0,559.0,3043.0,,,503.0,43.0,1663.0,2675.0,104.0,,,,6.0,45.0,,576,,158.0
hit_hittb-ud-test,136,0,213,,,,,1.0,,4.0,1.0,,,,,3.0,,11.0,1.0,,,3.0,,4.0,2.0,,,,5.0,,,26.0,,52.0,,,,2.0,52.0,35.0,,,,,2.0,,,4,,5.0
egy_ujaen-ud-test,721,0,168,,,,,6.0,,,,,,,,,,8.0,,,,,,,,2.0,,,2.0,,,22.0,,92.0,,,1.0,,6.0,20.0,,,,,,,,9,,
gl_treegal-ud-train,600,0,268,,3.0,,,2.0,,2.0,,,,,,,,6.0,,,,,,,138.0,6.0,,,35.0,1.0,,2.0,,32.0,,,,1.0,20.0,9.0,,,,,,1.0,,9,,1.0
gl_treegal-ud-test,400,0,174,,,,,,,1.0,,,,,,1.0,,4.0,,,,,,,102.0,2.0,,1.0,14.0,1.0,,5.0,,21.0,,,,,16.0,3.0,,,,,,,,3,,
lt_alksnis-ud-train,2341,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,1.0,,,,,,1,,
sv_lines-ud-dev,1032,0,4221,,,,7.0,7.0,11.0,198.0,35.0,,,,18.0,,5.0,237.0,,,,569.0,,10.0,,9.0,1.0,,28.0,,,473.0,145.0,1044.0,,,77.0,,486.0,692.0,11.0,,,,,12.0,1.0,95,8.0,42.0
sv_lines-ud-train,3176,0,12825,,7.0,2.0,29.0,17.0,22.0,615.0,71.0,,,,65.0,,22.0,743.0,3.0,,2.0,1682.0,5.0,37.0,,20.0,,,45.0,,,1397.0,482.0,3321.0,,3.0,179.0,,1500.0,2009.0,26.0,,,,1.0,33.0,1.0,321,25.0,140.0
sv_lines-ud-test,1035,0,3886,,6.0,1.0,7.0,7.0,5.0,207.0,34.0,,,,20.0,,7.0,217.0,,,,480.0,4.0,12.0,,9.0,,,18.0,,,412.0,141.0,994.0,,2.0,63.0,,482.0,581.0,7.0,,,,1.0,15.0,,97,15.0,42.0
sv_pud-ud-test,1000,0,4134,1.0,27.0,,12.0,15.0,4.0,228.0,46.0,,,,12.0,2.0,,229.0,1.0,1.0,,575.0,,2.0,,32.0,,,9.0,,,559.0,137.0,733.0,,,98.0,1.0,532.0,641.0,23.0,,,,1.0,20.0,,113,,80.0
akk_riao-ud-test,1874,0,1928,,,,16.0,17.0,,,,,,,,,,733.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1120,,40.0
nl_lassysmall-ud-test,1761,0,3607,5.0,7.0,,5.0,50.0,,4.0,118.0,,,,5.0,,13.0,318.0,1.0,,,,,,,75.0,123.0,,17.0,,,667.0,,684.0,,1.0,109.0,,361.0,527.0,28.0,140.0,,,5.0,61.0,,217,,66.0
nl_lassysmall-ud-dev,1542,0,2995,3.0,7.0,,3.0,50.0,,,104.0,,,1.0,6.0,,13.0,250.0,4.0,,,,,,,121.0,117.0,,6.0,,,545.0,,493.0,,,82.0,,307.0,439.0,25.0,124.0,,,5.0,34.0,,191,,65.0
nl_lassysmall-ud-train,13817,0,25731,39.0,30.0,,41.0,337.0,,30.0,1202.0,,,26.0,45.0,,131.0,1785.0,9.0,,,,,,,736.0,920.0,,75.0,,,4784.0,2.0,4032.0,,5.0,824.0,,2734.0,3965.0,245.0,1173.0,,,18.0,473.0,,1571,,499.0
da_ddt-ud-train,4383,0,16075,,,,47.0,11.0,,644.0,65.0,,,,21.0,,,774.0,,,59.0,2276.0,,1.0,,136.0,111.0,,60.0,26.0,,2227.0,388.0,3755.0,,1.0,,15.0,1985.0,2887.0,,,17.0,44.0,8.0,,1.0,448,6.0,62.0
da_ddt-ud-test,565,0,1981,,,,6.0,1.0,,71.0,4.0,,,,1.0,,,81.0,,,5.0,259.0,,1.0,,19.0,17.0,,11.0,5.0,,234.0,45.0,497.0,,,,,249.0,385.0,,,2.0,8.0,1.0,1.0,,69,3.0,6.0
da_ddt-ud-dev,564,0,2045,,,,3.0,,,71.0,6.0,,,,3.0,,,107.0,,,9.0,284.0,,,,13.0,7.0,,10.0,4.0,,288.0,47.0,495.0,,,,1.0,247.0,375.0,,,,7.0,,1.0,,61,2.0,4.0
gl_pud-ud-test,1000,0,506,,,,,,,15.0,,,,,1.0,1.0,,11.0,,,,,3.0,,326.0,7.0,,,45.0,,,21.0,,22.0,,,,,19.0,29.0,,,,,,,,5,,1.0
ta_mwtt-ud-test,534,0,207,,4.0,,,3.0,,,,26.0,2.0,,,,,,,,,,,,,,,,1.0,,,,22.0,51.0,3.0,,,,14.0,4.0,,,,,,,,77,,
