Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,aux,aux:pass,ccomp,conj,cop,csubj,csubj:pass,dep,dislocated,fixed,list,nsubj,nsubj:pass,obj,obl,orphan,parataxis,parataxis:discourse,reparandum,root,xcomp
orv_rnc-ud-dev,943,0,519,18.0,24.0,34,5.0,4.0,20,179,25,,,,1.0,,,,,,,1.0,21.0,,,187,
orv_rnc-ud-train,1868,0,1257,39.0,44.0,60,3.0,12.0,57,452,78,3.0,,,5.0,,1.0,,1.0,,1.0,1.0,79.0,3.0,,417,1.0
orv_rnc-ud-test,717,0,583,20.0,32.0,40,17.0,5.0,26,206,24,,,,,,,,,,,1.0,33.0,,,179,
orv_ruthenian-ud-test,390,0,205,3.0,20.0,19,1.0,3.0,12,44,20,,,,4.0,,,,,,,,1.0,,,78,
orv_ruthenian-ud-train,2789,0,2953,85.0,164.0,357,65.0,30.0,113,811,123,6.0,,,19.0,,,,,1.0,3.0,1.0,43.0,,2.0,1129,1.0
orv_ruthenian-ud-dev,344,0,292,4.0,4.0,38,13.0,3.0,21,68,8,,,,,,,,,,,,1.0,,1.0,131,
cu_proiel-ud-train,18327,0,709,54.0,,109,1.0,,44,57,31,,,,13.0,2.0,,6.0,,6.0,,2.0,7.0,,,377,
cu_proiel-ud-test,2096,0,68,5.0,,9,,,1,5,3,,,,1.0,,,1.0,,,,,,,,43,
cu_proiel-ud-dev,2205,0,65,8.0,,6,,,5,3,7,,,,,,,1.0,,,,,,,,35,
orv_birchbark-ud-train,1045,0,157,,,9,3.0,,4,31,2,,,1.0,4.0,,,,,,,,6.0,,,97,
orv_birchbark-ud-dev,1062,0,268,3.0,5.0,22,7.0,,8,53,3,,,3.0,6.0,,,,,,,,12.0,,,144,2.0
orv_birchbark-ud-test,1007,0,280,1.0,9.0,25,8.0,,7,51,4,,,1.0,14.0,,,1.0,,,,,15.0,,,144,
orv_torot-ud-test,2955,0,427,20.0,,20,5.0,,16,26,23,,,,10.0,,,2.0,,2.0,,3.0,4.0,,,296,
orv_torot-ud-dev,3061,0,469,14.0,,27,9.0,,9,45,27,,,,14.0,,,1.0,,,,3.0,1.0,,,319,
orv_torot-ud-train,20480,0,2978,151.0,,197,22.0,,75,304,202,1.0,1.0,,57.0,1.0,,5.0,,8.0,,15.0,21.0,,,1918,
