Treebank,Number of Sentences,Failures,Total,advmod,case,cc,dep,dep:comp,discourse,dislocated,mark,obl,obl:arg,reparandum,root,xcomp
pt_gsd-ud-dev,1204,0,5,,5,,,,,,,,,,,
pt_gsd-ud-test,1200,0,7,,7,,,,,,,,,,,
pt_gsd-ud-train,9616,0,63,1.0,61,,,,,,,1.0,,,,
fr_fqb-ud-test,2289,0,40,,38,,,,,,1.0,,,,1.0,
fr_gsd-ud-test,416,0,12,,12,,,,,,,,,,,
fr_gsd-ud-train,14450,0,456,,452,,,,,,4.0,,,,,
fr_gsd-ud-dev,1476,0,55,,52,,,,,,3.0,,,,,
fr_rhapsodie-ud-train,1288,0,30,,8,,6.0,1.0,2.0,,3.0,,1.0,1.0,8.0,
fr_rhapsodie-ud-dev,1081,0,13,,1,1.0,2.0,,,,,,,,9.0,
fr_rhapsodie-ud-test,840,0,8,,2,,2.0,,,,1.0,,3.0,,,
fr_parisstories-ud-dev,692,0,2,,1,,1.0,,,,,,,,,
fr_parisstories-ud-train,1387,0,14,,5,,2.0,,,,6.0,,,1.0,,
fr_parisstories-ud-test,697,0,1,,1,,,,,,,,,,,
en_ewt-ud-test,2077,0,9,,9,,,,,,,,,,,
en_ewt-ud-dev,2001,0,7,,7,,,,,,,,,,,
en_ewt-ud-train,12544,0,69,,69,,,,,,,,,,,
pt_bosque-ud-dev,1172,0,21,,21,,,,,,,,,,,
pt_bosque-ud-test,1167,0,15,1.0,14,,,,,,,,,,,
pt_bosque-ud-train,7018,0,116,,115,,,,,,1.0,,,,,
pcm_nsc-ud-dev,990,0,21,,11,,,,7.0,,1.0,,1.0,,1.0,
pcm_nsc-ud-train,7279,0,266,,188,,8.0,,29.0,2.0,19.0,,12.0,5.0,2.0,1.0
pcm_nsc-ud-test,972,0,14,,11,,,,1.0,,2.0,,,,,
ha_southernautogramm-ud-test,1918,0,31,,30,,,,,1.0,,,,,,
fr_sequoia-ud-test,456,0,17,,17,,,,,,,,,,,
fr_sequoia-ud-train,2231,0,75,,74,,,,,,1.0,,,,,
fr_sequoia-ud-dev,412,0,14,,13,,,,,,1.0,,,,,
