Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:abs,advcl:cleft,advcl:cmp,advcl:cmpr,advcl:pred,advcl:relcl,advcl:svc,advcl:tcl,advmod,amod,amod:flat,appos,aux,aux:caus,aux:pass,aux:q,case,cc,ccomp,ccomp:cleft,ccomp:obj,ccomp:relcl,ccomp:reported,clf,compound,compound:lvc,compound:redup,compound:svc,conj,conj:expl,conj:svc,cop,cop:emph,cop:outer,cop:own,csubj,csubj:caus,csubj:cleft,csubj:cop,csubj:outer,csubj:pass,csubj:relcl,csubj:reported,dep,dep:comp,dep:conj,det,discourse,discourse:q,dislocated,dislocated:csubj,dislocated:mod,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:foreign,flat:name,flat:redup,flat:repeat,flat:sibl,flat:title,iobj,list,mark,nmod,nmod:arg,nmod:poss,nsubj,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:cmp,obl:cmpr,obl:depict,obl:lmod,obl:tmod,orphan,parataxis,parataxis:conj,parataxis:discourse,parataxis:insert,parataxis:newsent,parataxis:obj,parataxis:rel,parataxis:restart,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:obj,xcomp:pred,xcomp:relcl,xcomp:subj
sl_ssj-ud-test,1282,0,1023,,132.0,,92.0,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,138.0,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,,,,,,418.0,,60.0,,,,,
sl_ssj-ud-dev,1250,0,1034,,128.0,,85.0,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,135.0,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,,,,,,,,,,390.0,,76.0,,,,,
sl_ssj-ud-train,10903,0,8781,,1022.0,,739.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,506.0,,,,,,,,,,1145.0,,,,,,,338.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,2.0,,,1.0,,,,,1.0,,,,,,,,8.0,844.0,,,,,,,,,,3513.0,,655.0,,,,,
xcl_caval-ud-train,3185,0,4564,,226.0,,529.0,,,,,,,,,,,,3.0,21.0,4.0,,,,,762.0,,,,,,,,,,1072.0,,,254.0,,,,56.0,6.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,7.0,103.0,,,,,,,,,,1515.0,1.0,2.0,,,,,
xcl_caval-ud-dev,411,0,553,,32.0,,68.0,,,,,,,,,,,,1.0,3.0,1.0,,,,,105.0,,,,,,,,,,126.0,,,25.0,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,172.0,,,,,,,
xcl_caval-ud-test,550,0,717,,39.0,,80.0,,,,,,,,,,,,,4.0,,,,,,104.0,,,,,,,,,,173.0,,,36.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,19.0,,,,,,,,,,244.0,,,,,,,
zh_gsdsimp-ud-test,500,0,104,,,,,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_gsdsimp-ud-train,3997,0,654,,,,,,,,,,,,,,,,,652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
zh_gsdsimp-ud-dev,500,0,68,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el_gud-ud-train,1071,0,815,,16.0,54.0,146.0,,,,,,,,,,,,,,,,,,,112.0,,,,,,,,,,101.0,,,1.0,,,,19.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,231.0,,131.0,,,,,
el_gud-ud-test,736,0,609,,7.0,49.0,101.0,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,82.0,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,188.0,,97.0,,,,,
tr_pud-ud-test,1000,0,1465,,43.0,,107.0,,,,,,,,,,4.0,,1.0,2.0,,,,,,75.0,,,,,,80.0,101.0,,,118.0,,,216.0,,,,45.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,18.0,,,3.0,,101.0,23.0,,,,27.0,14.0,,,,,,,,,1.0,,,,,,,,,,423.0,,62.0,,,,,
de_hdt-ud-test,18459,0,5745,,594.0,,351.0,,,,,,,,,,,,,,,144.0,,,,384.0,,,,,,,,,,494.0,,,47.0,,,,97.0,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,70.0,,,,,,,,,,3453.0,,87.0,,,,,
de_hdt-ud-train,153035,0,50751,,5717.0,,2943.0,,,,,,,,,,,,8.0,,,1623.0,,1.0,,3413.0,,,,,,,,,,4271.0,,,462.0,,,,651.0,,,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,50.0,,,,,,,,,704.0,,,,,,,,,,29979.0,,786.0,,,,,
de_hdt-ud-dev,18434,0,6119,,743.0,,356.0,,,,,,,,,,,,1.0,,,167.0,,,,424.0,,,,,,,,,,539.0,,,49.0,,,,84.0,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,73.0,,,,,,,,,,3561.0,,106.0,,,,,
ar_nyuad-ud-train,15789,0,21478,,,,,,,,,,,,,,,,,,,,,14.0,,12940.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,8455.0,,62.0,,,,,
ar_nyuad-ud-dev,1986,0,2622,,,,,,,,,,,,,,,,,,,,,2.0,,1626.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982.0,,11.0,,,,,
ar_nyuad-ud-test,1963,0,2778,,,,,,,,,,,,,,,,,,,,,1.0,,1747.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.0,,9.0,,,,,
pl_pdb-ud-test,2215,0,1856,,209.0,68.0,102.0,,,,6.0,,4.0,,,,,,,1.0,,50.0,,,,58.0,7.0,18.0,,,,,,,,241.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,23.0,28.0,,28.0,,1.0,,25.0,38.0,,28.0,,1.0,,,,,,,,4.0,,31.0,,,,,591.0,,279.0,2.0,,1.0,,
pl_pdb-ud-train,17722,0,15253,,1885.0,615.0,849.0,,,,29.0,,24.0,,,,1.0,4.0,6.0,4.0,,352.0,,,,527.0,50.0,152.0,,,,,,,,1866.0,,,,,,,49.0,,,,,1.0,,,1.0,,,,,,,,,,,,8.0,,,,,,,,79.0,,,223.0,273.0,,208.0,,7.0,,168.0,378.0,,208.0,,20.0,,,,4.0,,,,47.0,,317.0,,,,,4714.0,,2148.0,20.0,,9.0,,7.0
pl_pdb-ud-dev,2215,0,1989,,231.0,80.0,93.0,,,,2.0,,3.0,,,,,2.0,1.0,,,48.0,,,,62.0,5.0,17.0,,,,,,,,266.0,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,6.0,,,39.0,28.0,,22.0,,,,18.0,59.0,,29.0,,2.0,,,,,,,,7.0,,39.0,,,,,664.0,,257.0,2.0,,1.0,,1.0
uk_iu-ud-dev,673,0,565,4.0,19.0,48.0,38.0,,,,,,,2.0,,,66.0,,,,,,,,,16.0,,,,,,,,,,52.0,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,2.0,26.0,,4.0,,1.0,,2.0,,,,179.0,,65.0,,,,,
uk_iu-ud-train,5521,0,4689,37.0,133.0,209.0,370.0,,,,,11.0,,11.0,,,545.0,,14.0,,,,,,,138.0,,,,,,1.0,,,4.0,769.0,,4.0,,,,,203.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,,12.0,,,6.0,,,,2.0,2.0,,,,,,,,1.0,263.0,,12.0,,1.0,,12.0,,,,1538.0,,369.0,,,17.0,,
uk_iu-ud-test,898,0,878,13.0,32.0,43.0,59.0,,,,,,,3.0,,,144.0,,2.0,,,,,,,24.0,,,,,,,,,,103.0,,2.0,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,8.0,47.0,,1.0,,,,3.0,,,,303.0,,57.0,,,,,
bn_bru-ud-test,56,0,16,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,
hi_hdtb-ud-train,13306,0,18159,,1361.0,429.0,291.0,,,,,,,,,,98.0,,,2837.0,,2279.0,,1.0,,,,,,,,1336.0,,,,589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,137.0,,,131.0,,6.0,,1190.0,94.0,,,,,,,,,,,,,,,,,,,7333.0,,41.0,,,,,
hi_hdtb-ud-dev,1659,0,2264,,161.0,48.0,38.0,,,,,,,,,,10.0,,,345.0,,281.0,,,,,,,,,,133.0,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,16.0,,,,173.0,11.0,,,,,,,,,,,,,,,,,,,941.0,,4.0,,,,,
hi_hdtb-ud-test,1684,0,2270,,135.0,46.0,41.0,,,,,,,,,,9.0,,,358.0,,310.0,,,,,,,,,,150.0,,,,76.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,20.0,,,15.0,,,,149.0,17.0,,,,,,,,,,,,,,,,,,,940.0,,3.0,,,,,
kmr_mg-ud-test,734,0,37,,,,,,,,,,,,,,1.0,,,28.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,
orv_rnc-ud-dev,943,0,576,,13.0,17.0,46.0,,,,,,,,,,4.0,,,,,,,,,18.0,,,,,,,,,,156.0,,,,,,,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,22.0,,,,,,,,,1.0,259.0,,33.0,,,,,
orv_rnc-ud-train,1868,0,1609,,92.0,43.0,185.0,,,,,,,,,,21.0,,,,,,,,,45.0,,,,,,,,,,541.0,,,,,,,19.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,4.0,1.0,,,,,4.0,,,1.0,97.0,,10.0,,,,,,,,431.0,,110.0,,,,,
orv_rnc-ud-test,717,0,989,,27.0,45.0,132.0,,,,,,,,,,5.0,,,,,,,,,31.0,,,,,,,,,,299.0,,,,,,,10.0,,,,,,,,,,,,24.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,3.0,,,,,,,,,1.0,41.0,,,,,,,,,,301.0,,67.0,,,,,
cpg_tuecl-ud-test,350,0,480,,3.0,4.0,28.0,,,,,,,,,,,,,2.0,,,,,,21.0,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,242.0,,15.0,,,,,
la_circse-ud-test,1263,0,1081,,248.0,40.0,61.0,82.0,,7.0,,103.0,4.0,,,,7.0,,,,,,,,,14.0,,,4.0,1.0,,,,,,236.0,1.0,,15.0,,,,7.0,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,8.0,,2.0,,12.0,6.0,,3.0,1.0,,,,,1.0,5.0,,,,,,,,,,191.0,2.0,11.0,,,,,
grc_perseus-ud-dev,1137,0,228,,9.0,,62.0,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,24.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,6.0,,,,,3.0,,,,,,,,,,,,,,,,,,,33.0,,26.0,,,,,
grc_perseus-ud-train,11476,0,1712,,66.0,,487.0,,,,,,,,,,,,8.0,,,,,,,69.0,,,,,,,,,,168.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.0,,,13.0,,,,,11.0,,,,,,,,,4.0,,,,,,,,,,481.0,2.0,188.0,,,,,
grc_perseus-ud-test,1306,0,224,,8.0,,41.0,,,,,,,,,,,,2.0,,,,,,,21.0,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,1.0,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,72.0,,21.0,,,,,
qpm_philotis-ud-train,980,0,1674,,7.0,14.0,218.0,,,,,,,,,,25.0,,1.0,46.0,,1.0,,,,165.0,,,,,,,,,,462.0,,,,,,,45.0,,,,,,,,,,,,5.0,,,,,,,,2.0,,,,,,,,,,,1.0,,,7.0,,,,2.0,5.0,,,,,,,,,20.0,,,,,,,,,,536.0,1.0,111.0,,,,,
qpm_philotis-ud-dev,635,0,934,,18.0,,95.0,,,,,,,,,,18.0,,,17.0,,,,,,107.0,,,,,,,,,,261.0,,,,,,,,,,,,,,,6.0,,,,7.0,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,5.0,1.0,,,,,,,,,3.0,,,,,,,,,,356.0,,36.0,,,,,
qpm_philotis-ud-test,635,0,903,,3.0,9.0,108.0,,,,,,,,,,14.0,,1.0,22.0,,,,,,79.0,,,,,,,,,,250.0,,,,,,,17.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,3.0,,,,,,,,,4.0,,,,,,,,,,328.0,,60.0,,,,,
tr_atis-ud-dev,572,0,3,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
tr_atis-ud-train,4274,0,11,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,6.0,,,,,,,
tr_atis-ud-test,586,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
hi_pud-ud-test,1000,0,944,,24.0,64.0,15.0,,,,,,,,,,,,,110.0,,130.0,,1.0,,42.0,,,,,,1.0,,,,70.0,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,36.0,,,,,,,,,,385.0,,2.0,,,,,
la_perseus-ud-test,939,0,870,,9.0,36.0,131.0,36.0,,4.0,,,,,,,44.0,,,,,,,,,23.0,,,,,,,,,,136.0,,,17.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,1.0,1.0,,,,,,,,,7.0,,,,,,,,,,323.0,,32.0,,,,,
la_perseus-ud-train,1334,0,1382,,12.0,76.0,216.0,97.0,,6.0,,,,,,,90.0,,,,,2.0,,,,37.0,,,,,,,,,,163.0,,,34.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,6.0,,5.0,,,8.0,,,,,,,,,13.0,,,,,,,,,,458.0,,54.0,,,,,
tr_kenet-ud-dev,1646,0,1241,,32.0,,65.0,,,,,,,,,,,,,8.0,,,,1.0,,17.0,,,,,1.0,5.0,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,6.0,,,,,,,,,146.0,,,,,,,,,,904.0,,,,,,,
tr_kenet-ud-test,1643,0,1316,,25.0,,58.0,,,,,,,,,,1.0,,,5.0,,,,,,18.0,,,,,,6.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,174.0,,,,,,,,,,974.0,,1.0,,,,,
tr_kenet-ud-train,15398,0,9895,,146.0,,259.0,,,,,,,,,,21.0,,,48.0,,,,11.0,,126.0,,,,,,33.0,,,,537.0,,,,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,7.0,,,4.0,,,,8.0,32.0,,,,,,,,1.0,1039.0,,,,,,,,,,7595.0,1.0,19.0,,,,,
sms_giellagas-ud-test,230,0,30,,,,2.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,16.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,1.0,,,,,
sms_giellagas-ud-train,20,0,5,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
sk_snk-ud-dev,1060,0,550,3.0,15.0,39.0,22.0,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,64.0,,,,,,,10.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,324.0,,50.0,,,,,
sk_snk-ud-test,1061,0,589,4.0,11.0,50.0,17.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,113.0,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,328.0,,45.0,,,,,
