Treebank,Number of Sentences,Failures,Total,advcl,amod,ccomp,conj,dep,dep:repeat,det,det:poss,nmod,nmod:poss,nsubj,obj,obl,obl:lmod,root
sl_ssj-ud-test,1282,0,40,,,,,,,40.0,,,,,,,,
sl_ssj-ud-dev,1250,0,12,,,,,,,12.0,,,,,,,,
sl_ssj-ud-train,10903,0,199,,,,,,,194.0,,1.0,,,,4.0,,
de_hdt-ud-test,18459,0,509,,,,,,,509.0,,,,,,,,
de_hdt-ud-train,153035,0,5216,1.0,,,1.0,,,5213.0,1.0,,,,,,,
de_hdt-ud-dev,18434,0,489,,,,,,,489.0,,,,,,,,
hr_set-ud-dev,960,0,14,,,,,,,13.0,,1.0,,,,,,
hr_set-ud-train,6914,0,94,,1.0,,,,,88.0,,5.0,,,,,,
hr_set-ud-test,1136,0,19,,,,,,,18.0,,1.0,,,,,,
hi_pud-ud-test,1000,0,75,,,,,,,,,,30.0,19.0,8.0,18.0,,
sk_snk-ud-dev,1060,0,11,,,,,,,11.0,,,,,,,,
sk_snk-ud-test,1061,0,12,,,,,,,11.0,,,,,1.0,,,
sk_snk-ud-train,8483,0,132,,,,,,,132.0,,,,,,,,
cs_pud-ud-test,1000,0,29,,2.0,,,,,27.0,,,,,,,,
apu_ufpa-ud-test,161,0,7,,,,1.0,,,,,,,3.0,2.0,,1.0,
de_pud-ud-test,1000,0,48,,,,,,,,48.0,,,,,,,
cop_scriptorium-ud-dev,381,0,7,,,,,,,,,,7.0,,,,,
cop_scriptorium-ud-train,1419,0,93,,,,,,,,,,93.0,,,,,
cop_scriptorium-ud-test,403,0,8,,,,,,,,,,8.0,,,,,
hsb_ufal-ud-test,623,0,4,,,,,,,4.0,,,,,,,,
sr_set-ud-test,520,0,5,,,,,,,5.0,,,,,,,,
sr_set-ud-train,3328,0,52,,,,,,,52.0,,,,,,,,
sr_set-ud-dev,536,0,6,,,,,,,6.0,,,,,,,,
abq_atb-ud-test,98,0,8,,,,,,1.0,,,,,2.0,4.0,1.0,,
br_keb-ud-test,884,0,17,,,,,,,17.0,,,,,,,,
nds_lsdc-ud-test,500,0,2,,,,,,,1.0,1.0,,,,,,,
cs_cltt-ud-dev,316,0,6,,,,,,,6.0,,,,,,,,
cs_cltt-ud-train,467,0,11,,,,,,,11.0,,,,,,,,
cs_cltt-ud-test,338,0,16,,,,,,,16.0,,,,,,,,
de_lit-ud-test,1920,0,1,,,,,,,,1.0,,,,,,,
cs_fictree-ud-dev,1309,0,31,,7.0,,,,,24.0,,,,,,,,
cs_fictree-ud-train,10160,0,245,1.0,53.0,1.0,1.0,1.0,,187.0,,,,,,,,1.0
cs_fictree-ud-test,1291,0,33,,5.0,,,,,28.0,,,,,,,,
sl_sst-ud-train,4558,0,10,,,,,,,10.0,,,,,,,,
sl_sst-ud-test,1041,0,3,,,,,,,3.0,,,,,,,,
sl_sst-ud-dev,505,0,5,,,,,,,5.0,,,,,,,,
de_gsd-ud-train,13814,0,44,,,,,,,,44.0,,,,,,,
de_gsd-ud-dev,799,0,1,,,,,,,,1.0,,,,,,,
de_gsd-ud-test,977,0,1,,,,,,,,1.0,,,,,,,
cs_pdt-ud-test,10146,0,182,,6.0,,1.0,,,175.0,,,,,,,,
cs_pdt-ud-dev,9270,0,171,,3.0,,,,,167.0,,,,,,1.0,,
cs_pdt-ud-train,68491,0,1154,,39.0,,5.0,,,1107.0,,,,,,2.0,,1.0
cs_cac-ud-dev,603,0,7,,1.0,,,,,6.0,,,,,,,,
cs_cac-ud-train,23478,0,574,,16.0,,3.0,,,555.0,,,,,,,,
cs_cac-ud-test,628,0,6,,,,,,,6.0,,,,,,,,
cs_poetry-ud-test,297,0,4,,1.0,,,,,3.0,,,,,,,,
