Treebank,Number of Sentences,Failures,Total,acl,advcl,amod,appos,ccomp:obj,compound,conj,dep,det,det:numgov,det:nummod,fixed,flat,iobj,nmod,nmod:arg,nmod:flat,nmod:poss,nsubj,nsubj:cop,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:float,orphan,parataxis,parataxis:obj,root,vocative
sl_ssj-ud-test,1282,0,1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
sl_ssj-ud-train,10903,0,5,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,2.0,,,,,,,,,,
xcl_caval-ud-train,3185,0,7,,,,,,,1.0,,,,,,,,,,,,4.0,,,2.0,,,,,,,,,,,,
xcl_caval-ud-dev,411,0,2,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
xcl_caval-ud-test,550,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
el_gud-ud-train,1071,0,1,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-test,2215,0,76,,,,,,,3.0,,,1.0,,1.0,,1.0,12.0,9.0,1.0,,23.0,,2.0,,4.0,7.0,7.0,,3.0,1.0,,,,,,1.0
pl_pdb-ud-train,17722,0,649,,,,1.0,1.0,,29.0,,,3.0,1.0,15.0,2.0,34.0,90.0,41.0,3.0,9.0,166.0,,3.0,,43.0,85.0,62.0,6.0,44.0,5.0,,1.0,,3.0,1.0,1.0
pl_pdb-ud-dev,2215,0,71,,,,,,,2.0,,,1.0,,,,3.0,8.0,4.0,1.0,,20.0,,2.0,,7.0,7.0,7.0,1.0,6.0,2.0,,,,,,
orv_rnc-ud-dev,943,0,45,,,,,,,,,,,,,,,,,,,,,,29.0,14.0,,2.0,,,,,,,,,
orv_rnc-ud-train,1868,0,35,,,,,,,1.0,,,,,,,,,,,,1.0,,,27.0,3.0,,,,,,1.0,1.0,,,1.0,
orv_rnc-ud-test,717,0,4,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,
be_hse-ud-train,22853,0,74,,,,,,,2.0,,,,,,,,3.0,,,,8.0,,,27.0,28.0,1.0,,,,,,,1.0,,4.0,
be_hse-ud-dev,1301,0,4,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,
be_hse-ud-test,1077,0,2,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,
cs_pud-ud-test,1000,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
