Treebank,Number of Sentences,Failures,Total,punct,root
el_gud-ud-train,1071,0,938,938,
el_gud-ud-test,736,0,632,632,
de_hdt-ud-test,18459,0,17080,17080,
de_hdt-ud-train,153035,0,143097,143097,
de_hdt-ud-dev,18434,0,16898,16898,
pl_pdb-ud-test,2215,0,2258,2258,
pl_pdb-ud-train,17722,0,18325,18325,
pl_pdb-ud-dev,2215,0,2283,2283,
es_ancora-ud-train,14287,0,14151,14150,1.0
es_ancora-ud-test,1721,0,1701,1701,
es_ancora-ud-dev,1654,0,1659,1659,
lt_alksnis-ud-train,2341,0,5,5,
ca_ancora-ud-dev,1709,0,1698,1698,
ca_ancora-ud-test,1846,0,1828,1828,
ca_ancora-ud-train,13123,0,12926,12926,
ka_glc-ud-test,151,0,146,146,
ta_mwtt-ud-test,534,0,515,515,
ta_ttb-ud-train,400,0,400,400,
ta_ttb-ud-dev,80,0,80,80,
ta_ttb-ud-test,120,0,120,120,
pl_pud-ud-test,1000,0,1119,1119,
pl_lfg-ud-test,1727,0,1603,1603,
pl_lfg-ud-train,13774,0,12671,12671,
pl_lfg-ud-dev,1745,0,1624,1624,
es_coser-ud-test,539,0,336,336,
