Treebank,Number of Sentences,Failures,Total,punct,root
pl_pdb-ud-test,2215,0,98,98,
pl_pdb-ud-train,17722,0,732,732,
pl_pdb-ud-dev,2215,0,112,112,
es_ancora-ud-train,14287,0,1725,1725,
es_ancora-ud-test,1721,0,170,170,
es_ancora-ud-dev,1654,0,249,247,2.0
is_pud-ud-test,1000,0,117,117,
mdf_jr-ud-test,454,0,12,12,
myv_jr-ud-test,921,0,1,1,
myv_jr-ud-train,1217,0,39,39,
ca_ancora-ud-dev,1709,0,206,206,
ca_ancora-ud-test,1846,0,185,185,
ca_ancora-ud-train,13123,0,1459,1459,
pl_pud-ud-test,1000,0,145,145,
fi_ftb-ud-dev,1875,0,19,19,
fi_ftb-ud-train,14981,0,190,190,
fi_ftb-ud-test,1867,0,19,19,
pl_lfg-ud-test,1727,0,7,7,
pl_lfg-ud-train,13774,0,50,50,
pl_lfg-ud-dev,1745,0,4,4,
es_coser-ud-test,539,0,178,178,
