Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cleft,advcl:cmp,advmod,advmod:emph,amod,appos,appos:trans,aux,aux:pass,case,cc,cc:preconj,ccomp,ccomp:reported,ccomp:speech,compound,compound:lvc,compound:nn,compound:prt,conj,conj:expl,cop,csubj,csubj:cop,csubj:outer,csubj:pass,dep,det,det:poss,discourse,discourse:emo,dislocated,fixed,flat,flat:foreign,flat:name,flat:title,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:lmod,nmod:npmod,nmod:poss,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obj:agent,obl,obl:agent,obl:arg,obl:cmpr,obl:lmod,obl:mod,obl:npmod,obl:smod,obl:tmod,orphan,parataxis,parataxis:insert,parataxis:obj,parataxis:restart,punct,reparandum,root,vocative,xcomp,xcomp:pred
en_partut-ud-dev,156,0,9,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,6.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
en_partut-ud-train,1781,0,102,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,62.0,,,,,,16.0,,,,,,6.0,,,,,3.0,,5.0,,,,,,,,,,,,,,,,1.0,,2.0,
en_partut-ud-test,153,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl_ssj-ud-test,1282,0,37,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,3.0,,,,,6.0,,,,,,3.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,
sl_ssj-ud-dev,1250,0,92,,,,,,1.0,,,15.0,,,,,1.0,,,,,,,,,6.0,,,,,,,,,,,,,1.0,1.0,40.0,5.0,,,,,11.0,,,,,,5.0,,,,,1.0,,3.0,,,,,,,,,,,,,,,,2.0,,,
sl_ssj-ud-train,10903,0,1167,,,,,,3.0,,1.0,74.0,,,,,,,,,,,,,,29.0,,,,,,,4.0,,,,,,3.0,,728.0,20.0,,,23.0,,160.0,,,,,,46.0,,,,,7.0,,18.0,,,,,,,,,1.0,12.0,,,,,,35.0,2.0,1.0,
xcl_caval-ud-train,3185,0,9,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcl_caval-ud-dev,411,0,2,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcl_caval-ud-test,550,0,2,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el_gud-ud-train,1071,0,33,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,12.0,,,,,,,3.0,,,,,,4.0,,,,,2.0,,3.0,,,,,,,,,,,,,,,,3.0,,2.0,
el_gud-ud-test,736,0,22,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,9.0,,,,,,,3.0,,,,,,2.0,,,,,2.0,,3.0,,,,,,,,,,,,,,,,1.0,,1.0,
tr_pud-ud-test,1000,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_gsd-ud-test,426,0,11,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,3.0,
es_gsd-ud-dev,1400,0,10,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
es_gsd-ud-train,14187,0,164,,,2.0,,,1.0,,6.0,34.0,,2.0,2.0,3.0,,,,,,14.0,,,,11.0,,6.0,,,,,4.0,13.0,,,,,,13.0,,,,1.0,,3.0,12.0,,,,,,17.0,,1.0,,1.0,8.0,,5.0,,,,,,,,,,1.0,,,,,,1.0,1.0,2.0,
fi_ood-ud-test,2122,0,68,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,,,,,,,1.0,,,10.0,,,,,26.0,1.0,,,,,1.0,,,,,,2.0,,,,,,,2.0,,,,,,,,,,2.0,,,,,,17.0,,,
de_hdt-ud-test,18459,0,6158,,,1.0,,,,,,1091.0,,,,,,,1.0,,,,,,,240.0,,,1.0,,,,,,,,,,,3133.0,,,,,,,528.0,,,,,,375.0,,,52.0,,203.0,,398.0,,4.0,,,,,,,,23.0,,,,,,86.0,,22.0,
de_hdt-ud-train,153035,0,40279,7.0,,22.0,,,,,11.0,6249.0,,,,6.0,,,8.0,,,,,,,1556.0,,,3.0,,,1.0,,,,,,,,22453.0,,,,,,,3323.0,,,,,,2234.0,,,256.0,,1044.0,,2170.0,,42.0,,,,,,,,86.0,,,,,,654.0,,154.0,
de_hdt-ud-dev,18434,0,6969,,,2.0,,,,,,1078.0,,,,,1.0,,,,,,,,,274.0,,,,,,,,,,,,,,3782.0,,,,,,,558.0,,,,,,470.0,,,49.0,,221.0,,388.0,,9.0,,,,,,,,25.0,,,,,,88.0,,24.0,
sga_dipsgg-ud-test,64,0,10,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,
pt_porttinari-ud-train,5893,0,263,1.0,,1.0,,,1.0,,4.0,4.0,,,,,1.0,,,,1.0,,,,,19.0,,,,,,,,,,,,,2.0,,44.0,,,,,,84.0,,,,,,28.0,,,3.0,,33.0,,29.0,,,,,,,,,,1.0,,,,,,5.0,,2.0,
pt_porttinari-ud-test,1683,0,78,,,,,,1.0,,2.0,2.0,,,,,,,1.0,,,,,,,10.0,,,,,,,,,,,,,,,15.0,,,,,,25.0,,,,,,10.0,,,,,7.0,,3.0,,,,,,,,,,1.0,,,,,,1.0,,,
pt_porttinari-ud-dev,842,0,35,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,,,,11.0,,,,,,5.0,,,1.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,1.0,
sv_talbanken-ud-dev,504,0,2,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
