Treebank,Number of Sentences,Failures,Total,acl,advcl,amod,appos,aux,aux:aspect,case,ccomp,compound,compound:lvc,compound:redup,compound:svc,conj,cop,csubj,dep,discourse,dislocated,fixed,flat:vv,nmod,nmod:poss,nsubj,obj,obl,obl:subj,parataxis,parataxis:rep,root,xcomp
xav_xdt-ud-test,171,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
gun_dooley-ud-test,1046,0,25,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,1.0,19.0,,
tr_kenet-ud-dev,1646,0,49,1.0,33.0,1.0,,,,4.0,,1.0,,,,,,,,,,,,,,,1.0,6.0,,,,2.0,
tr_kenet-ud-test,1643,0,29,,24.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,
tr_kenet-ud-train,15398,0,271,,201.0,3.0,,,,4.0,3.0,2.0,,,,6.0,,2.0,,1.0,,2.0,,,,,2.0,2.0,,19.0,,24.0,
gub_tudet-ud-test,1182,0,15,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,10.0,
mr_ufal-ud-test,47,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
mr_ufal-ud-train,373,0,5,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
bor_bdt-ud-test,881,0,3,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0
myv_jr-ud-test,921,0,7,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,5.0,
myv_jr-ud-train,1217,0,8,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,6.0,
tr_framenet-ud-test,205,0,4,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
tr_framenet-ud-train,2288,0,20,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
gun_thomas-ud-test,98,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,
ota_boun-ud-train,114,0,4,,2.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
ota_boun-ud-test,400,0,8,,6.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,
kk_ktb-ud-test,1047,0,16,,,,,2.0,,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,10.0,
ota_dudu-ud-test,85,0,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lzh_kyoto-ud-dev,6102,0,87,,,,,86.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,
lzh_kyoto-ud-train,74609,0,1318,,,,,1298.0,,,1.0,,,,,2.0,,2.0,,,,,1.0,,,,,,,1.0,,13.0,
lzh_kyoto-ud-test,5528,0,100,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
qtd_sagt-ud-test,805,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
qtd_sagt-ud-dev,801,0,6,,3.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,
qtd_sagt-ud-train,578,0,2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
eme_tudet-ud-test,913,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
tr_tourism-ud-train,15473,0,23,,18.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,3.0,,,
tr_tourism-ud-dev,2166,0,6,,4.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-test,2191,0,4,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-train,3435,0,82,,29.0,,,,,,2.0,4.0,9.0,1.0,,7.0,,,,,,,,17.0,,,,,,1.0,,12.0,
tr_imst-ud-dev,1100,0,15,,3.0,,,1.0,,,,,,,,2.0,,,,,,,,3.0,,,,,,,,6.0,
tr_imst-ud-test,1100,0,32,,10.0,,,,,,1.0,2.0,1.0,,,2.0,,,,,,,,5.0,,1.0,1.0,,,,,9.0,
bxr_bdt-ud-train,19,0,4,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,
bxr_bdt-ud-test,908,0,182,5.0,14.0,,,13.0,,,2.0,1.0,,,,3.0,,,,,,3.0,,,,,,,,31.0,,102.0,8.0
tr_boun-ud-dev,979,0,15,,5.0,,,,,,,,1.0,,,1.0,,,,,,,,3.0,1.0,1.0,1.0,,,,,2.0,
tr_boun-ud-test,979,0,15,,7.0,,,1.0,,,,,1.0,,,3.0,,,,,,,,1.0,,,,,,,,2.0,
tr_boun-ud-train,7803,0,100,,53.0,,1.0,2.0,,,1.0,5.0,2.0,4.0,,5.0,3.0,2.0,,,,,,5.0,1.0,1.0,1.0,,,1.0,,13.0,
tr_penn-ud-dev,622,0,2,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-test,924,0,9,,4.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,2.0,,,
tr_penn-ud-train,14850,0,131,,79.0,,,,,33.0,1.0,1.0,,,,,,,,8.0,,,,1.0,,,,1.0,,4.0,,3.0,
