Treebank,Number of Sentences,Failures,Total,advmod,case,cc,discourse,mark,obl,reparandum,root
pt_gsd-ud-dev,1204,0,1,,,1.0,,,,,
pt_gsd-ud-test,1200,0,2,,1.0,1.0,,,,,
pt_gsd-ud-train,9616,0,11,1.0,,10.0,,,,,
fr_fqb-ud-test,2289,0,2,,,2.0,,,,,
fr_gsd-ud-test,416,0,9,,,9.0,,,,,
fr_gsd-ud-train,14450,0,259,1.0,,258.0,,,,,
fr_gsd-ud-dev,1476,0,31,,,31.0,,,,,
fr_rhapsodie-ud-train,1288,0,30,,,28.0,,1.0,,1.0,
fr_rhapsodie-ud-dev,1081,0,22,,,20.0,,,,1.0,1.0
fr_rhapsodie-ud-test,840,0,21,,,17.0,,3.0,,,1.0
fr_parisstories-ud-dev,692,0,11,,,11.0,,,,,
fr_parisstories-ud-train,1387,0,12,,,12.0,,,,,
fr_parisstories-ud-test,697,0,18,,,18.0,,,,,
en_ewt-ud-test,2077,0,1,,,1.0,,,,,
en_ewt-ud-dev,2001,0,3,,,3.0,,,,,
en_ewt-ud-train,12544,0,22,,,22.0,,,,,
ht_autogramm-ud-test,144,0,1,,,,,1.0,,,
pt_bosque-ud-dev,1172,0,9,,,9.0,,,,,
pt_bosque-ud-test,1167,0,10,,,10.0,,,,,
pt_bosque-ud-train,7018,0,62,,2.0,59.0,,,1.0,,
pcm_nsc-ud-train,7279,0,9,,,2.0,7.0,,,,
fr_sequoia-ud-test,456,0,6,,,6.0,,,,,
fr_sequoia-ud-train,2231,0,27,,,27.0,,,,,
fr_sequoia-ud-dev,412,0,4,,,4.0,,,,,
