Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:ccomp,advcl:cleft,advcl:cmp,advcl:cmpr,advcl:cond,advcl:dpct,advcl:fin,advcl:lcl,advcl:manner,advcl:pred,advcl:quote,advcl:relcl,advcl:svc,advcl:tcl,advmod,amod,appos,aux,aux:aspect,aux:caus,aux:pass,aux:pot,aux:tense,case,ccomp,ccomp:cleft,ccomp:obj,ccomp:quote,ccomp:relcl,ccomp:reported,ccomp:speech,compound,compound:lvc,compound:redup,compound:svc,conj,conj:expl,conj:svc,cop,cop:locat,cop:outer,csubj,csubj:cleft,csubj:cop,csubj:outer,csubj:pass,csubj:relcl,csubj:reported,dep,dep:aux,dep:infl,discourse,dislocated,dislocated:csubj,dislocated:nsubj,fixed,flat,flat:foreign,flat:name,flat:title,iobj,list,mark,nmod,nmod:appos,nmod:poss,nsubj,nsubj:outer,nsubj:pass,obj,obl,obl:arg,obl:lmod,orphan,parataxis,parataxis:appos,parataxis:discourse,parataxis:insert,parataxis:newsent,parataxis:obj,parataxis:parenth,parataxis:rel,parataxis:reporting,parataxis:restart,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result
sl_ssj-ud-test,1282,0,105,,,,,,,1.0,,,,,,,,,,,,,,,,,,77.0,,,,,,,1.0,,,,,,,,,,,1.0,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
sl_ssj-ud-dev,1250,0,184,,2.0,,,,,,,,,,,,,,,,,,,,,,,134.0,,,,,,,2.0,,,,,,,,,,,2.0,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,11.0,,,,
sl_ssj-ud-train,10903,0,1324,,12.0,,,,,10.0,,,,,,,,,,,,,,,,,,1017.0,,,,,,,15.0,,,,,,,,,,,9.0,,,193.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,43.0,,,,
xav_xdt-ud-test,171,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el_gud-ud-train,1071,0,129,,,,,,,,,,,,,,,,,,,,,,,,,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el_gud-ud-test,736,0,88,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-dev,599,0,49,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-test,600,0,35,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-train,4798,0,188,,,,,,,,,,,,,,,,,,,,,,,,,187.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_pud-ud-test,1000,0,160,,9.0,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,9.0,17.0,,,12.0,,,15.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,19.0,,25.0,,
