Treebank,Number of Sentences,Failures,Total,_,acl,acl:crel,acl:ptcp,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cond,advcl:manner,advcl:tcl,appos,aux,case,ccomp,conj,cop,csubj,csubj:pass,dep,det,flat,iobj,nmod,nmod:poss,nsubj,obj,orphan,parataxis,punct,root,xcomp
ar_nyuad-ud-train,15789,0,1206,,,,,,,,,,,,,,1.0,295.0,,148.0,,,,1.0,32.0,1.0,12.0,5.0,1.0,3.0,,,1.0,204,502.0
ar_nyuad-ud-dev,1986,0,148,,,,,,,,,,,,,,,40.0,,24.0,,,,,3.0,,2.0,1.0,1.0,1.0,,,,19,57.0
ar_nyuad-ud-test,1963,0,128,,,,,,,,,,,,,,,26.0,,19.0,,,,,2.0,,2.0,2.0,,,,,,21,56.0
sa_vedic-ud-test,2709,0,71,,,,,,2.0,,1.0,,,,,,,1.0,3.0,2.0,,,,,10.0,,,,,,,3.0,,49,
sa_vedic-ud-train,21477,0,527,,2.0,1.0,1.0,8.0,14.0,3.0,,1.0,2.0,2.0,,1.0,,19.0,20.0,11.0,2.0,,,,98.0,,,,,,2.0,26.0,,314,
sa_vedic-ud-dev,2996,0,66,,1.0,,,1.0,1.0,,,,,,,,,12.0,3.0,,,,,,11.0,,,,,,,2.0,,35,
sa_ufal-ud-test,230,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
ar_padt-ud-dev,909,0,60,,7.0,,,7.0,11.0,,,,,,,,,12.0,12.0,4.0,,,,,,,,,,,,5.0,,2,
ar_padt-ud-train,6075,0,487,1.0,52.0,,,27.0,55.0,,,,,,,1.0,,74.0,108.0,14.0,9.0,,1.0,,,,,,,,,89.0,,46,10.0
ar_padt-ud-test,680,0,83,1.0,5.0,,,3.0,12.0,,,,,,,,,14.0,26.0,6.0,,,,,,,,,,,,8.0,,7,1.0
ar_pud-ud-test,1000,0,57,,,,,1.0,14.0,,,,,,1.0,5.0,,5.0,3.0,5.0,,1.0,,,,,,,,,,,,20,2.0
am_att-ud-test,1074,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,
eme_tudet-ud-test,913,0,4,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,1,
