Treebank,Number of Sentences,Failures,Total,acl:relcl,advcl,advcl:quote,amod,appos,case,conj,csubj,dep,det,det:poss,flat,iobj,nmod,nmod:poss,nsubj,obj,obj:lo,obl,obl:arg,obl:lmod,orphan,parataxis,reparandum,root,vocative,xcomp
sl_ssj-ud-test,1282,0,52,,,,,,,,,,51.0,,,,,,,,,1.0,,,,,,,,
sl_ssj-ud-dev,1250,0,34,,,,,,,,,,33.0,,,,,,,,,1.0,,,,,,,,
sl_ssj-ud-train,10903,0,363,,,,,,,,,,357.0,,,,1.0,,,,,4.0,,,1.0,,,,,
hi_pud-ud-test,1000,0,189,1.0,,,1.0,,,,,,1.0,,,1.0,,73.0,68.0,14.0,,30.0,,,,,,,,
cs_pud-ud-test,1000,0,92,,,,36.0,,,,,,55.0,,,,,,1.0,,,,,,,,,,,
apu_ufpa-ud-test,161,0,15,,,,,,,1.0,,,,,,,1.0,,3.0,6.0,,3.0,,1.0,,,,,,
de_pud-ud-test,1000,0,115,,,,,,,,,,,115.0,,,,,,,,,,,,,,,,
cop_scriptorium-ud-dev,381,0,95,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,
cop_scriptorium-ud-train,1419,0,358,4.0,,,,1.0,,,,,,,,,,351.0,,1.0,,1.0,,,,,,,,
cop_scriptorium-ud-test,403,0,73,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,
abq_atb-ud-test,98,0,9,,,,,,,,,,,,,1.0,,,1.0,2.0,,5.0,,,,,,,,
br_keb-ud-test,884,0,37,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,
nds_lsdc-ud-test,500,0,15,,,,,,,,,,6.0,9.0,,,,,,,,,,,,,,,,
cs_cltt-ud-train,467,0,31,,,,1.0,,,,,,30.0,,,,,,,,,,,,,,,,,
mk_mtb-ud-test,155,0,1,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
de_lit-ud-test,1920,0,190,,,,,,,,,,1.0,189.0,,,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,43,,,,7.0,,,,,,36.0,,,,,,,,,,,,,,,,,
cs_fictree-ud-train,10160,0,448,,,,118.0,,,1.0,1.0,1.0,321.0,,,,,,5.0,,,,,,1.0,,,,,
cs_fictree-ud-test,1291,0,60,,,,21.0,,,,,,38.0,,,,,,,,,,1.0,,,,,,,
sl_sst-ud-train,4558,0,15,,,,,,,,,,14.0,,,,,,,,,,,,,,1.0,,,
sl_sst-ud-dev,505,0,4,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,624,,,,257.0,1.0,,6.0,,2.0,342.0,,5.0,,,,8.0,,,2.0,1.0,,,,,,,
cs_pdt-ud-dev,9270,0,542,,,,243.0,2.0,,2.0,,,292.0,,1.0,,1.0,,,,,1.0,,,,,,,,
cs_pdt-ud-train,68491,0,4407,,2.0,,2035.0,1.0,,54.0,,7.0,2255.0,,15.0,,5.0,,9.0,,,16.0,2.0,,1.0,1.0,,3.0,,1.0
cs_cac-ud-dev,603,0,22,,,,8.0,,,,,,14.0,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,1593,,2.0,,588.0,2.0,,26.0,,1.0,967.0,,3.0,,1.0,,,2.0,,1.0,,,,,,,,
cs_cac-ud-test,628,0,21,,,,4.0,,,,,,17.0,,,,,,,,,,,,,,,,,
ab_abnc-ud-test,263,0,37,,,1.0,,,5.0,2.0,1.0,,,,,1.0,,1.0,9.0,6.0,5.0,3.0,,,,,,2.0,1.0,
cs_poetry-ud-test,297,0,15,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,
