Treebank,Number of Sentences,Failures,Total,acl,advcl,amod,aux,ccomp,compound,compound:lvc,compound:redup,conj,cop,list,obj,parataxis,reparandum,root,xcomp
tr_pud-ud-test,1000,0,51,3.0,1.0,1.0,,1.0,4.0,3.0,,8.0,7.0,,1.0,1.0,,21.0,
tr_atis-ud-dev,572,0,13,,,,,,,,,,,,,,,13.0,
tr_atis-ud-train,4274,0,120,,,,,,,,,1.0,,,,10.0,,109.0,
tr_atis-ud-test,586,0,11,,,,,,1.0,,,,,,,1.0,,9.0,
tr_kenet-ud-dev,1646,0,47,1.0,2.0,,,,,,,4.0,,,,3.0,,37.0,
tr_kenet-ud-test,1643,0,48,,,,,1.0,,,,3.0,,,,2.0,,42.0,
tr_kenet-ud-train,15398,0,284,1.0,,,,4.0,1.0,,,11.0,,,,24.0,,242.0,1.0
tr_framenet-ud-test,205,0,4,,,,,,,,,2.0,,,,,,2.0,
tr_framenet-ud-train,2288,0,19,,,,,,,,,,,,,1.0,,18.0,
tr_gb-ud-test,2880,0,111,1.0,1.0,,4.0,,,,,3.0,2.0,,,2.0,,98.0,
qtd_sagt-ud-test,805,0,22,1.0,3.0,,,1.0,,,1.0,6.0,,,,5.0,1.0,4.0,
qtd_sagt-ud-dev,801,0,17,,1.0,,,1.0,,,,6.0,,,,2.0,1.0,6.0,
qtd_sagt-ud-train,578,0,14,,,,,3.0,,,,6.0,,,,,,5.0,
tr_tourism-ud-train,15473,0,272,,,,,,,,,5.0,,,1.0,7.0,,259.0,
tr_tourism-ud-dev,2166,0,26,,,,,,,,,1.0,,,,,,25.0,
tr_tourism-ud-test,2191,0,38,,,,,,,,,,,,,,,38.0,
tr_imst-ud-train,3435,0,1,,,,,,,,,1.0,,,,,,,
tr_boun-ud-train,7803,0,4,,,,,,,,,,,,,,,4.0,
tr_penn-ud-dev,622,0,17,,,1.0,,2.0,,,,1.0,,,,1.0,,12.0,
tr_penn-ud-test,924,0,33,,,1.0,,1.0,,,,1.0,,,,2.0,,28.0,
tr_penn-ud-train,14850,0,510,8.0,2.0,9.0,,15.0,,,,26.0,,2.0,2.0,14.0,,431.0,1.0
