Treebank,Number of Sentences,Failures,Total,acl,advcl,amod,appos,aux,case,ccomp,conj,cop,csubj,dep,dep:infl,det,det:poss,flat,iobj,nmod,nmod:poss,nsubj,obj,obl,parataxis,root,xcomp
hi_pud-ud-test,1000,0,256,,,,,,256.0,,,,,,,,,,,,,,,,,,
ess_sli-ud-test,309,0,40,,,,,,,,,,,,39.0,,,,,,,1.0,,,,,
mr_ufal-ud-dev,46,0,9,,,,,,,,,,,,,,,,,,,7.0,,2.0,,,
mr_ufal-ud-test,47,0,6,,,,,,,,,,,,,,,,,,,6.0,,,,,
mr_ufal-ud-train,373,0,53,,,,,,,,,,,,,,,,,,,52.0,,1.0,,,
wbp_ufal-ud-test,55,0,33,,,3.0,,,,,,,,,,,,,,,1.0,29.0,,,,,
ka_glc-ud-test,151,0,25,,,2.0,,,,1.0,,,,,,,1.0,,,3.0,,18.0,,,,,
eu_bdt-ud-train,5396,0,2670,,3.0,146.0,18.0,10.0,,,151.0,3.0,17.0,3.0,,101.0,,194.0,,19.0,,1978.0,18.0,6.0,,2.0,1.0
eu_bdt-ud-test,1799,0,873,1.0,,58.0,3.0,5.0,,,37.0,1.0,1.0,1.0,,35.0,,70.0,,4.0,,648.0,6.0,,1.0,2.0,
eu_bdt-ud-dev,1798,0,859,,,46.0,9.0,3.0,,,39.0,2.0,7.0,,,35.0,,65.0,2.0,5.0,,637.0,7.0,1.0,1.0,,
gu_gujtb-ud-test,187,0,6,,,,,,,,,,,,,,,1.0,,,,5.0,,,,,
