Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:relcl,amod,appos,aux,ccomp,compound,compound:lvc,compound:redup,compound:svc,conj,cop,csubj,csubj:pass,dep,dep:infl,discourse,dislocated,dislocated:cleft,fixed,flat,iobj,mark,nmod,nmod:npmod,nmod:poss,nsubj,obj,obl,orphan,parataxis,parataxis:rep,reparandum,root,xcomp
gun_dooley-ud-test,1046,0,952,,14.0,,142.0,,,,,8.0,,,,9.0,19.0,,2.0,,,,,,,,,,,,,,3.0,9.0,6.0,,145.0,96.0,,499.0,
ess_sli-ud-test,309,0,122,,,,,,,,,,,,,,,,,,,122.0,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-train,1226,0,1265,,118.0,45.0,96.0,8.0,,9.0,,57.0,,,,3.0,244.0,,43.0,5.0,,,20.0,,,,,,,4.0,,35.0,,2.0,26.0,2.0,28.0,,,423.0,97.0
hy_bsut-ud-test,595,0,716,,45.0,27.0,50.0,7.0,,1.0,,20.0,,,,3.0,174.0,,20.0,1.0,,,7.0,,,,,,,2.0,,11.0,,2.0,15.0,1.0,25.0,,,243.0,62.0
hy_bsut-ud-dev,479,0,690,,60.0,30.0,55.0,6.0,,3.0,,26.0,1.0,,,1.0,134.0,,28.0,4.0,,,6.0,,,,,,,,2.0,26.0,1.0,3.0,19.0,1.0,29.0,,,190.0,65.0
quc_iu-ud-test,1435,0,861,,55.0,,45.0,,,,,44.0,,,,,15.0,,46.0,,1.0,,,,,,,,,,,,,,,,36.0,,,588.0,31.0
af_afribooms-ud-train,1315,0,2567,,,,,,3.0,,,550.0,,,,,276.0,,,,344.0,,,,,,,,,4.0,,,,8.0,325.0,,,,,884.0,173.0
af_afribooms-ud-dev,194,0,414,,,,,,4.0,,,86.0,,,,,38.0,,,,56.0,,,,,,,,,,,,,5.0,55.0,,,,,135.0,35.0
af_afribooms-ud-test,425,0,716,,,,,,4.0,,,118.0,,,,,33.0,,,,89.0,,,,,,,,,1.0,,,,12.0,136.0,,,,,269.0,54.0
gun_thomas-ud-test,98,0,125,,6.0,,19.0,,,,,9.0,,,,4.0,22.0,,1.0,,,,,1.0,1.0,,,,,,,,,4.0,1.0,,9.0,,,48.0,
hy_armtdp-ud-train,1974,0,2785,,209.0,91.0,262.0,,1.0,9.0,,108.0,1.0,3.0,,17.0,732.0,,86.0,7.0,,,3.0,,,1.0,1.0,,,7.0,5.0,34.0,5.0,3.0,60.0,,149.0,,,797.0,194.0
hy_armtdp-ud-dev,249,0,341,,20.0,12.0,31.0,,,1.0,,9.0,,,,,81.0,,10.0,2.0,,,2.0,,,,,,,1.0,2.0,7.0,2.0,1.0,10.0,1.0,26.0,,,99.0,24.0
hy_armtdp-ud-test,277,0,335,,27.0,4.0,33.0,,,1.0,,15.0,,,,3.0,112.0,,4.0,,,,,,,1.0,,,,,,3.0,3.0,1.0,2.0,1.0,18.0,,,90.0,17.0
hyw_armtdp-ud-test,680,0,862,,48.0,54.0,77.0,6.0,,4.0,,29.0,,,,2.0,203.0,,36.0,1.0,,,7.0,,,,,,,,,7.0,2.0,,39.0,,35.0,,,242.0,70.0
hyw_armtdp-ud-dev,694,0,853,,46.0,53.0,95.0,7.0,,3.0,,27.0,,,,2.0,218.0,,28.0,1.0,,,7.0,1.0,,,,,,,1.0,13.0,2.0,2.0,31.0,,43.0,,,214.0,59.0
hyw_armtdp-ud-train,5282,0,6089,,393.0,308.0,531.0,52.0,,12.0,,165.0,,2.0,1.0,10.0,1288.0,,205.0,14.0,,,38.0,4.0,,1.0,,2.0,1.0,4.0,8.0,152.0,4.0,11.0,210.0,1.0,319.0,,,1847.0,506.0
nhi_itml-ud-test,909,0,1096,,43.0,10.0,117.0,,,,,47.0,,,,,215.0,1.0,25.0,,,,1.0,,,,,,,,,,,,,,107.0,,1.0,491.0,38.0
ka_glc-ud-test,151,0,118,,4.0,,2.0,,,,7.0,17.0,,,,,16.0,,1.0,,,,,,,,,,,,,,,,,,6.0,,,65.0,
azz_itml-ud-test,1260,0,1132,3.0,1.0,76.0,105.0,,,3.0,,35.0,,,,,157.0,,16.0,,6.0,,,,,,,,,,,,,,,,179.0,,1.0,540.0,10.0
