Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cmpr,advcl:quote,advcl:relcl,advmod,amod,amod:flat,appos,aux,aux:pass,ccomp,ccomp:cleft,ccomp:obj,compound,compound:lvc,compound:nn,compound:redup,conj,cop,csubj,csubj:cop,csubj:pass,dep,det,det:numgov,det:nummod,det:poss,discourse,dislocated,fixed,flat,flat:foreign,flat:frac,flat:name,flat:range,iobj,iobj:agent,list,nmod,nmod:arg,nmod:flat,nmod:gsubj,nmod:npmod,nmod:poss,nmod:pred,nmod:subj,nsubj,nsubj:caus,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:gov,obj,obj:lo,obj:poss,obl,obl:agent,obl:arg,obl:cau,obl:cmp,obl:cmpr,obl:lmod,obl:own,orphan,parataxis,parataxis:insert,parataxis:obj,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:pred
no_bokmaal-ud-dev,2409,0,1174,,,,,,,,,,1.0,,,1.0,,,,,,,6.0,,,,,,1.0,,,,,3.0,,,,,1.0,,25.0,,,22.0,,,,,,,,978.0,,,,,,,70.0,,,63.0,,,,,,,,,,,,,3.0,,,,
no_bokmaal-ud-test,1939,0,1023,,,,,,,,,,1.0,,,1.0,,,,,,,3.0,,1.0,,,,1.0,,,,,3.0,,,,,,,20.0,,,14.0,,,,,,,,885.0,,,,,,,51.0,,,36.0,,,,,,,,,,,,,5.0,,2.0,,
no_bokmaal-ud-train,15696,0,7548,,,,,,,,,,2.0,,,7.0,,,6.0,,,,21.0,,,,,,8.0,,,,,6.0,,,,,7.0,,138.0,,,126.0,,,,,,,,6380.0,,,,,,,462.0,,,344.0,,,,,,,,,3.0,,,1.0,33.0,,4.0,,
pl_pdb-ud-test,2215,0,2976,71.0,42.0,38.0,6.0,,2.0,,165.0,3.0,124.0,,5.0,39.0,3.0,15.0,,,,,218.0,19.0,2.0,,,,29.0,6.0,3.0,27.0,,,1.0,138.0,,,,,182.0,,,231.0,53.0,5.0,,,1.0,1.0,,666.0,,,,2.0,8.0,24.0,167.0,,,97.0,19.0,75.0,,,15.0,,,,,7.0,19.0,,398.0,26.0,7.0,1.0,16.0
pl_pdb-ud-train,17722,0,25668,495.0,436.0,343.0,36.0,,13.0,,1558.0,48.0,1085.0,15.0,73.0,307.0,49.0,130.0,,,,,2098.0,147.0,33.0,,2.0,,259.0,76.0,22.0,218.0,,,13.0,1071.0,,,,,1376.0,,,1717.0,433.0,47.0,,,283.0,6.0,,5909.0,,,,94.0,90.0,182.0,1292.0,,,1032.0,204.0,637.0,,,134.0,,,14.0,,60.0,199.0,,3119.0,156.0,82.0,,75.0
pl_pdb-ud-dev,2215,0,3183,69.0,65.0,36.0,4.0,,3.0,,182.0,10.0,144.0,1.0,7.0,28.0,4.0,17.0,,,,,269.0,17.0,3.0,,,,37.0,8.0,1.0,26.0,,,2.0,150.0,1.0,,,,196.0,,,201.0,47.0,6.0,,,29.0,1.0,,706.0,,,,12.0,8.0,15.0,151.0,,,118.0,31.0,90.0,,,14.0,,,2.0,,5.0,27.0,,402.0,21.0,11.0,,6.0
no_nynorsk-ud-dev,1890,0,842,,,,,,,,,,,,,,,,,,,,3.0,,,,,,2.0,,,,,3.0,,,,,3.0,,16.0,,,17.0,,,,,,,,703.0,,,,8.0,,,53.0,,,30.0,,,,,,,,,,,,,3.0,,1.0,,
no_nynorsk-ud-test,1511,0,502,,,,,,,,,,2.0,,,1.0,,,1.0,,,,10.0,,,,,,,,,,,,,,,,,,6.0,,,12.0,,,,,,,,426.0,,,,2.0,,,26.0,,,14.0,,,,,,,,,,,,,1.0,,1.0,,
no_nynorsk-ud-train,14174,0,5430,,,,,,,,,,24.0,,,11.0,,,1.0,,,,23.0,,,,,,2.0,,,,,11.0,,,,,5.0,,92.0,,,121.0,,,,,,,,4550.0,,,1.0,55.0,,,279.0,,,226.0,,,,,,,,,,,,,24.0,,5.0,,
qpm_philotis-ud-train,980,0,331,2.0,4.0,24.0,,,,1.0,10.0,,2.0,6.0,,6.0,,,,,,,58.0,,5.0,,,,24.0,,,,,,,,,,,,1.0,,,,,,,,,,,58.0,,,,,18.0,,15.0,,,14.0,,2.0,,,,,,1.0,1.0,,,,76.0,,3.0,,
