Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:tcl,advmod,amod,appos,case,ccomp,ccomp:pmod,clf,compound,conj,cop,csubj,csubj:pass,dep,det,discourse,dislocated,expl,expl:pv,fixed,flat,iobj,mark,nmod,nmod:poss,nmod:tmod,nsubj,nsubj:outer,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:pmod,obl:tmod,orphan,parataxis,root,vocative,xcomp
es_gsd-ud-test,426,0,21,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,8.0,,,5.0,,,,,,6.0,,,,,,1.0,,,
es_gsd-ud-dev,1400,0,48,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,11.0,,,15.0,,1.0,,,,17.0,1.0,,,,,,1.0,,
es_gsd-ud-train,14187,0,628,,,,,,,3.0,,1.0,,,,15.0,,,,,2.0,,,,,,,,,142.0,,,199.0,,8.0,,,8.0,231.0,6.0,12.0,,,,,1.0,,
es_ancora-ud-train,14287,0,773,,,6.0,,,,8.0,,2.0,,,,6.0,,,,1.0,,,,,,,,,,144.0,,,285.0,,,,,23.0,204.0,7.0,80.0,,,,1.0,6.0,,
es_ancora-ud-test,1721,0,106,,,,,,,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,20.0,,,33.0,,,,,1.0,40.0,1.0,5.0,,,,,,,1.0
es_ancora-ud-dev,1654,0,75,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,17.0,,,30.0,,,,,1.0,17.0,1.0,6.0,,,,,,,
ro_nonstandard-ud-test,1052,0,5632,19.0,,45.0,3.0,,310.0,129.0,2.0,14.0,,,22.0,473.0,,10.0,,,556.0,,,9.0,3.0,12.0,33.0,22.0,,436.0,,74.0,1172.0,,80.0,12.0,,705.0,909.0,22.0,,213.0,,16.0,41.0,190.0,39.0,61.0
ro_nonstandard-ud-dev,1052,0,4545,8.0,,17.0,4.0,,232.0,79.0,,17.0,,,13.0,362.0,,5.0,,,473.0,,,11.0,1.0,8.0,15.0,18.0,,309.0,,94.0,999.0,,44.0,7.0,,607.0,720.0,16.0,,167.0,,9.0,33.0,151.0,63.0,63.0
ro_nonstandard-ud-train,24121,0,146515,940.0,,884.0,57.0,17.0,7281.0,2932.0,39.0,541.0,17.0,1.0,124.0,10166.0,,178.0,3.0,,15735.0,5.0,,97.0,8.0,24.0,484.0,772.0,,15298.0,,3377.0,27805.0,,677.0,477.0,,16745.0,28342.0,452.0,,6155.0,,81.0,519.0,3119.0,973.0,2190.0
ro_simonero-ud-dev,443,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
sq_tsa-ud-test,60,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
ro_tuecl-ud-test,210,0,908,5.0,,8.0,,4.0,45.0,12.0,,14.0,,,,57.0,,1.0,,,161.0,2.0,,1.0,,34.0,2.0,,,37.0,,,194.0,,8.0,2.0,,125.0,117.0,3.0,,3.0,1.0,2.0,16.0,33.0,6.0,15.0
es_pud-ud-test,1000,0,37,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,18.0,,,,,,16.0,,,,,,,,,
af_afribooms-ud-train,1315,0,412,,,,,,4.0,,,,,,,,,,,2.0,7.0,,,,,,,,,1.0,,,318.0,,14.0,,,40.0,25.0,,,,,,,,,1.0
af_afribooms-ud-dev,194,0,65,,,,,,,,,,,,,,,,,5.0,3.0,,,,,,,,,1.0,,,43.0,,1.0,,,8.0,4.0,,,,,,,,,
af_afribooms-ud-test,425,0,255,,,,,,1.0,,,,,,,1.0,,,,1.0,5.0,,,,,,,,,1.0,,,220.0,,4.0,,,17.0,5.0,,,,,,,,,
ro_art-ud-test,50,0,98,,,,,1.0,4.0,,,,,,,2.0,,,,,11.0,,,,,2.0,,,,5.0,,,31.0,,,4.0,,14.0,18.0,,,2.0,,,,1.0,,3.0
grc_ptnk-ud-train,727,0,393,,6.0,7.0,,,18.0,5.0,,18.0,,,,40.0,1.0,2.0,,,113.0,,6.0,,,,,,,3.0,,,45.0,4.0,4.0,19.0,,44.0,31.0,,,,,2.0,3.0,17.0,,5.0
grc_ptnk-ud-dev,439,0,235,,4.0,1.0,,,21.0,5.0,,9.0,,,,46.0,,1.0,,,45.0,,3.0,,,,,,,2.0,,,15.0,2.0,2.0,40.0,,4.0,17.0,,,,,3.0,5.0,6.0,,4.0
grc_ptnk-ud-test,410,0,174,,5.0,1.0,,1.0,19.0,4.0,,8.0,,,,20.0,1.0,,,,45.0,,2.0,,,,,,,3.0,,,14.0,,4.0,7.0,,4.0,15.0,,,,,,5.0,10.0,,6.0
orv_birchbark-ud-dev,1062,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,
ro_rrt-ud-test,729,0,3383,5.0,,2.0,,6.0,319.0,33.0,3.0,5.0,,,1.0,154.0,,,,,439.0,,,1.0,,170.0,4.0,4.0,,447.0,,,551.0,,116.0,24.0,,343.0,529.0,37.0,,70.0,33.0,4.0,3.0,38.0,1.0,41.0
ro_rrt-ud-train,8043,0,38163,99.0,,89.0,1.0,84.0,3134.0,355.0,40.0,57.0,2.0,,23.0,2052.0,,32.0,1.0,2.0,5331.0,,,18.0,1.0,1926.0,54.0,37.0,4.0,4699.0,,,6491.0,,1291.0,312.0,,3956.0,5702.0,425.0,,843.0,221.0,20.0,91.0,489.0,11.0,270.0
ro_rrt-ud-dev,752,0,3592,7.0,,9.0,1.0,1.0,318.0,42.0,3.0,8.0,1.0,,2.0,180.0,,1.0,,,515.0,,,,,184.0,13.0,4.0,1.0,439.0,,,604.0,,126.0,32.0,,357.0,517.0,33.0,,81.0,21.0,2.0,14.0,51.0,3.0,22.0
la_ittb-ud-test,2101,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
la_ittb-ud-train,22775,0,11,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,1.0,,,,,,,1.0,,5.0
yrl_complin-ud-test,1470,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,
es_coser-ud-test,539,0,48,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,,,34.0,1.0,1.0,,,,5.0,,,,,,2.0,,,
