Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cmp,advcl:quote,advcl:relcl,advcl:tcl,advmod,amod,appos,appos:trans,aux,aux:q,case,cc,ccomp,ccomp:obl,compound,compound:lvc,compound:nn,compound:prt,compound:redup,conj,cop,csubj,csubj:cop,dep,dep:infl,det,det:poss,discourse,dislocated,dislocated:obj,fixed,flat,flat:name,iobj,list,mark,nmod,nmod:att,nmod:comp,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:obl,nmod:part,nmod:poss,nsubj,nsubj:caus,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obj:lo,obj:poss,obl,obl:agent,obl:arg,obl:cmp,obl:inst,obl:lmod,obl:subj,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:ds
hu_szeged-ud-dev,441,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,3.0,,,,,3.0,,,1.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,25,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,14.0,,,,,,3.0,,,4.0,,,,,,,,,,,,,1.0,,,
hu_szeged-ud-train,910,0,61,,,1.0,,,,,,,1.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,2.0,,,19.0,,,,,,11.0,,,16.0,,,,,,,,,,,,,1.0,,,
tr_pud-ud-test,1000,0,42,7.0,,3.0,,,,,,1.0,1.0,,,,,,3.0,,,3.0,,,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,,,,,,2.0,,,6.0,,,,,,,,,,,,,,,,
fi_ood-ud-test,2122,0,125,4.0,,14.0,,,,,3.0,1.0,,,,,1.0,,,,,,,1.0,,5.0,,,,,,2.0,,,,,,,,,,,8.0,,,,1.0,,,,9.0,10.0,,6.0,,,,19.0,,,35.0,,,,,,,,,,,,,2.0,,4.0,
sah_yktdt-ud-test,299,0,24,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,17.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,
la_circse-ud-test,1263,0,107,,,,1.0,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,96.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,1.0,,,
tr_atis-ud-dev,572,0,23,,,,,,,,,,,,,,,,5.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,
tr_atis-ud-train,4274,0,206,,,,,,,,,,,,,,,,13.0,,165.0,,,,,2.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,
tr_atis-ud-test,586,0,22,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,19.0,,,
la_perseus-ud-test,939,0,73,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,
la_perseus-ud-train,1334,0,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,1.0,,,
tr_kenet-ud-dev,1646,0,342,10.0,,4.0,,,,,,,1.0,,,,,,25.0,,23.0,,,,,15.0,,3.0,,,,,,1.0,,,,,,8.0,,,34.0,,,,,,,,,62.0,,,,,,47.0,,,80.0,,,,,,,,,7.0,,,,15.0,7.0,,
tr_kenet-ud-test,1643,0,325,6.0,,4.0,,,,,,4.0,,,,,,,23.0,,45.0,,,,,10.0,,,,,,,,2.0,,,,,,,4.0,,36.0,,,,,,,,,45.0,,,,,,47.0,,,72.0,,,,,,,,,4.0,,,,11.0,12.0,,
tr_kenet-ud-train,15398,0,2181,39.0,,34.0,,,,,,26.0,3.0,,20.0,,,,87.0,,112.0,,,,,76.0,,11.0,,,,,,8.0,2.0,,,2.0,,13.0,2.0,,324.0,,,,,,,,,442.0,,,,,3.0,337.0,,,498.0,,,,,,,,,14.0,,,2.0,79.0,44.0,3.0,
sms_giellagas-ud-test,230,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,
sms_giellagas-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
ess_sli-ud-test,309,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jaa_jarawara-ud-test,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,49,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,2.0,,,12.0,,,,,,5.0,,,1.0,,,,5.0,2.0,,
apu_ufpa-ud-test,161,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,4.0,,,
hy_bsut-ud-train,1226,0,33,1.0,,,,,,,,,5.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0,,,,,,6.0,,,5.0,,,,,,,,,,,,,3.0,,,
hy_bsut-ud-test,595,0,10,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,2.0,,,,,,,,,,,,,1.0,1.0,,
hy_bsut-ud-dev,479,0,4,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,
