Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,appos,aux,aux:aspect,aux:caus,aux:nec,aux:pass,aux:pot,aux:tense,ccomp,conj,cop,cop:own,csubj,csubj:cop,dep,discourse,dislocated,fixed,nmod,nsubj:cop,orphan,parataxis,root,xcomp
fi_ood-ud-test,2122,0,207,,,1.0,16.0,,43.0,,,,,,,11.0,19.0,33.0,6.0,,,,,,,,,2.0,16.0,59.0,1.0
sms_giellagas-ud-test,230,0,39,,,,2.0,1.0,3.0,,,4.0,,,1.0,5.0,10.0,1.0,,,,,,,,,,,1.0,11.0,
sms_giellagas-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
et_ewt-ud-train,5444,0,1145,3.0,34.0,40.0,72.0,,155.0,,,,,,,51.0,223.0,144.0,,2.0,4.0,,,,,,,,23.0,394.0,
et_ewt-ud-test,913,0,198,,8.0,9.0,21.0,,21.0,,,,,,,13.0,24.0,23.0,,1.0,2.0,,,,,,,,6.0,70.0,
et_ewt-ud-dev,833,0,144,,2.0,10.0,12.0,,14.0,,,,,,,5.0,25.0,20.0,,,,,,,,,,,,56.0,
olo_kkpp-ud-test,106,0,15,,,3.0,1.0,,1.0,,,,,,,2.0,3.0,,,,,,,,,,,,1.0,3.0,1.0
olo_kkpp-ud-train,19,0,8,,,1.0,,,3.0,,,,,,,1.0,,,1.0,,,,,,,,,,,2.0,
hy_bsut-ud-train,1226,0,7,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,3.0,
hy_bsut-ud-test,595,0,3,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,
hy_bsut-ud-dev,479,0,5,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,28,,,1.0,2.0,,,,,,,,,,4.0,,,1.0,,,,,,,,,2.0,17.0,1.0
mdf_jr-ud-train,20,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
vep_vwt-ud-test,103,0,21,,,1.0,,,9.0,,,,,,,,1.0,6.0,,,1.0,,,,,,,,,3.0,
fi_tdt-ud-train,12217,0,1368,3.0,,66.0,98.0,1.0,256.0,,,,37.0,,,114.0,142.0,244.0,36.0,2.0,4.0,,,,,1.0,1.0,1.0,15.0,345.0,2.0
fi_tdt-ud-test,1555,0,191,2.0,,5.0,10.0,,32.0,,,,3.0,,,17.0,29.0,31.0,2.0,,,,,,,,,,3.0,57.0,
fi_tdt-ud-dev,1364,0,176,,,8.0,17.0,,29.0,,,,2.0,,,14.0,21.0,24.0,5.0,,,,,,,,,,3.0,53.0,
myv_jr-ud-test,921,0,109,,,1.0,33.0,3.0,1.0,4.0,,,,,,1.0,15.0,4.0,,,,,,,,,,,2.0,44.0,1.0
myv_jr-ud-train,1217,0,83,,,1.0,11.0,1.0,,,,,,,,1.0,19.0,,,,,,,,,,,,3.0,46.0,1.0
kpv_ikdp-ud-test,214,0,18,,1.0,,1.0,,2.0,,,,,,,,4.0,,,,,,,,,,,,,10.0,
kpv_lattice-ud-test,643,0,114,,4.0,5.0,5.0,2.0,2.0,5.0,,,,12.0,,4.0,22.0,6.0,,,,,,,,,,,1.0,46.0,
kpv_lattice-ud-train,20,0,4,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,
fi_pud-ud-test,1000,0,74,,,3.0,3.0,,13.0,,,,2.0,,,9.0,4.0,19.0,4.0,,,,,,,,,,,17.0,
hy_armtdp-ud-train,1974,0,30,,1.0,2.0,2.0,,,,,,,,,3.0,12.0,,,,,,,,,,,,,10.0,
hy_armtdp-ud-dev,249,0,3,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,
hy_armtdp-ud-test,277,0,4,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,
et_edt-ud-dev,3128,0,423,1.0,8.0,16.0,28.0,,55.0,,,,,,,33.0,69.0,36.0,,6.0,1.0,,,,,,,,9.0,161.0,
et_edt-ud-train,24615,0,3143,3.0,78.0,125.0,208.0,1.0,468.0,,,,,,,231.0,475.0,379.0,,17.0,12.0,,,,,,,,59.0,1087.0,
et_edt-ud-test,3214,0,506,,14.0,16.0,31.0,,91.0,,,,,,,23.0,79.0,60.0,,2.0,3.0,1.0,,,,,,,19.0,167.0,
koi_uh-ud-train,34,0,5,,,,,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,
koi_uh-ud-test,94,0,14,,,,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,10.0,
hyw_armtdp-ud-test,680,0,44,,1.0,5.0,,,,,,,,,,2.0,11.0,,,,,,,,,,,,2.0,23.0,
hyw_armtdp-ud-dev,694,0,43,,,1.0,4.0,,,,,,,,,1.0,9.0,,,1.0,,,,,,,,,4.0,23.0,
