Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,amod,appos,case,case:loc,ccomp,compound,compound:lvc,compound:redup,compound:svc,conj,csubj,dep,dep:comp,det,discourse,dislocated,fixed,flat,flat:name,flat:range,iobj,nmod,nmod:npmod,nmod:poss,nsubj,nsubj:caus,nsubj:pass,obj,obl,obl:agent,obl:subj,orphan,parataxis,root,vocative,xcomp
xav_xdt-ud-test,171,0,61,,,,,,,,,,,,,,,30.0,,,10.0,1.0,,,,,,1.0,,,13.0,,,3.0,,,,,,2.0,1.0,
qpm_philotis-ud-train,980,0,29,,,,,,,,1.0,,,,,4.0,,,,,,,,,,,1.0,,,,13.0,,1.0,4.0,4.0,,,,,1.0,,
qpm_philotis-ud-dev,635,0,20,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,1.0,,,5.0,,,9.0,1.0,,,,,1.0,,
qpm_philotis-ud-test,635,0,10,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.0,,,3.0,,,,,,1.0,,1.0
gub_tudet-ud-test,1182,0,15,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,3.0,,,,,,1.0,,,7.0,,,,,
egy_ujaen-ud-test,721,0,8,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,2.0,,,,,,,,
hy_bsut-ud-train,1226,0,673,2.0,4.0,1.0,3.0,17.0,,,1.0,3.0,40.0,1.0,,99.0,1.0,,,,,2.0,,,,,4.0,15.0,15.0,150.0,49.0,,4.0,72.0,155.0,2.0,,3.0,3.0,21.0,,6.0
hy_bsut-ud-test,595,0,312,,2.0,,1.0,,1.0,,,1.0,17.0,1.0,,55.0,1.0,,,,,,,,,,1.0,7.0,7.0,88.0,26.0,,2.0,43.0,50.0,,,,2.0,7.0,,
hy_bsut-ud-dev,479,0,398,,,1.0,,4.0,1.0,,,4.0,23.0,,,55.0,1.0,,,,,,,1.0,,2.0,4.0,6.0,16.0,106.0,32.0,,4.0,75.0,53.0,,,,3.0,5.0,,2.0
hy_armtdp-ud-train,1974,0,974,38.0,2.0,196.0,,8.0,,,4.0,7.0,8.0,,1.0,172.0,7.0,,,,,,,4.0,,,2.0,9.0,23.0,151.0,58.0,,4.0,57.0,174.0,,,,15.0,20.0,,14.0
hy_armtdp-ud-dev,249,0,176,2.0,,27.0,,,,,,5.0,1.0,,,17.0,1.0,,,,1.0,1.0,,,,,,6.0,6.0,40.0,9.0,1.0,,14.0,35.0,,,,3.0,5.0,,2.0
hy_armtdp-ud-test,277,0,116,2.0,,21.0,,1.0,,,,4.0,2.0,1.0,,14.0,1.0,,,,,1.0,,,,,,1.0,1.0,27.0,7.0,1.0,1.0,6.0,19.0,,,,,5.0,,1.0
hyw_armtdp-ud-test,680,0,322,1.0,2.0,1.0,,2.0,,,2.0,1.0,13.0,1.0,,37.0,,,,,,1.0,3.0,,,,3.0,10.0,4.0,62.0,41.0,,3.0,46.0,68.0,,,3.0,2.0,12.0,,4.0
hyw_armtdp-ud-dev,694,0,319,,1.0,,,2.0,,,,,5.0,1.0,,32.0,,,,,,3.0,1.0,,,,2.0,6.0,12.0,69.0,31.0,,1.0,55.0,87.0,,,1.0,1.0,5.0,,4.0
hyw_armtdp-ud-train,5282,0,2430,8.0,3.0,5.0,,35.0,,1.0,5.0,7.0,78.0,4.0,,313.0,,,,,,4.0,9.0,2.0,6.0,2.0,28.0,63.0,63.0,514.0,270.0,,22.0,349.0,516.0,4.0,,10.0,15.0,64.0,,30.0
lv_lvtb-ud-test,2412,0,34,,,,,,,,1.0,,,,,2.0,,1.0,,,,,,,,,2.0,19.0,,,4.0,,,3.0,2.0,,,,,,,
lv_lvtb-ud-train,14358,0,180,,,,,,,,,,,,,6.0,,1.0,,,,,,,,,18.0,72.0,,,16.0,,,10.0,53.0,,,2.0,,1.0,,1.0
lv_lvtb-ud-dev,2080,0,30,,,,,,,,1.0,,,,,6.0,,,,,,,,,,,3.0,7.0,,,4.0,,,,8.0,,,,,1.0,,
lv_cairo-ud-test,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
bej_nsc-ud-test,380,0,18,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,11.0,,,2.0,,,,,,,,
