Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advmod,appos,aux,compound:prt,conj,cop,csubj,dep,det,discourse,nsubj,obl,parataxis,reparandum,root,xcomp
hu_szeged-ud-dev,441,0,3,,,,,,,,1.0,,,,,,,,,,2.0,
hu_szeged-ud-test,449,0,4,,,,,,,,,,,,,,,,,,4.0,
hu_szeged-ud-train,910,0,5,1.0,,,,,,,2.0,,,,,,,,,,2.0,
xav_xdt-ud-test,171,0,3,,,,,,,,,,,3.0,,,,,,,,
qpm_philotis-ud-dev,635,0,3,,,,,,,,2.0,,,,,,,,,,1.0,
say_autogramm-ud-test,1864,0,92,,,,5.0,,18.0,67.0,,,,,,1.0,,,,1.0,,
hy_bsut-ud-test,595,0,3,,,1.0,,,,,1.0,,1.0,,,,,,,,,
bor_bdt-ud-test,881,0,1,,,,,,,,,,,,,,,,,,1.0,
tt_nmctt-ud-test,148,0,1,,,,,,,,,,,,,,,,,,1.0,
tpn_tudet-ud-test,581,0,32,,,20.0,,1.0,,,1.0,,,,,,,3.0,3.0,,4.0,
hy_armtdp-ud-train,1974,0,9,2.0,,1.0,,,,,5.0,,,,,,,1.0,,,,
hy_armtdp-ud-dev,249,0,3,,,1.0,,,,,1.0,,,,,,,,,,1.0,
myu_tudet-ud-test,158,0,1,,,,,,,,,,,,,,,,,,1.0,
hyw_armtdp-ud-train,5282,0,8,3.0,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,1.0
ha_southernautogramm-ud-test,1918,0,18,,,,16.0,,,,,,,,,2.0,,,,,,
arr_tudet-ud-test,674,0,13,,,,,,,,,,,,,,,1.0,,,12.0,
ha_northernautogramm-ud-test,400,0,20,,,,20.0,,,,,,,,,,,,,,,
yrl_complin-ud-test,1470,0,2,,,,,,2.0,,,,,,,,,,,,,
eme_tudet-ud-test,913,0,20,,,1.0,,,,,,2.0,,,1.0,,1.0,,3.0,,12.0,
ab_abnc-ud-test,263,0,2,,,,,,,,2.0,,,,,,,,,,,
aqz_tudet-ud-test,343,0,1,,,,,,,,,,,,,,,,1.0,,,
