Treebank,Number of Sentences,Failures,Total,acl:relcl,advcl,amod,ccomp,conj,dep,nmod,nsubj,obj,parataxis,reparandum,root,xcomp
fr_fqb-ud-test,2289,0,1,,,1.0,,,,,,,,,,
fr_gsd-ud-test,416,0,2,,,1.0,1.0,,,,,,,,,
fr_gsd-ud-train,14450,0,53,5.0,3.0,24.0,3.0,6.0,1.0,,,,1.0,,3.0,7.0
fr_rhapsodie-ud-train,1288,0,1,,,1.0,,,,,,,,,,
fr_rhapsodie-ud-dev,1081,0,7,,,,,,,,,,,2.0,5.0,
fr_parisstories-ud-train,1387,0,3,,,1.0,,,1.0,,,,,,1.0,
fr_parisstories-ud-test,697,0,2,,,,,,,,,,,,1.0,1.0
pt_bosque-ud-dev,1172,0,1,,,1.0,,,,,,,,,,
pt_bosque-ud-train,7018,0,8,,,4.0,,,,1.0,,,,,1.0,2.0
pcm_nsc-ud-train,7279,0,3,,1.0,1.0,,1.0,,,,,,,,
ha_southernautogramm-ud-test,1918,0,8,,1.0,1.0,,,,,2.0,1.0,,,2.0,1.0
ha_northernautogramm-ud-test,400,0,1,,,1.0,,,,,,,,,,
fr_sequoia-ud-test,456,0,1,,,1.0,,,,,,,,,,
fr_sequoia-ud-train,2231,0,12,,,9.0,,1.0,,,,,,,2.0,
fr_sequoia-ud-dev,412,0,3,,,3.0,,,,,,,,,,
