Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cmp,amod,appos,ccomp,ccomp:reported,compound,compound:nn,conj,conj:expl,csubj,dep,discourse,dislocated,flat,flat:foreign,flat:gov,flat:name,flat:range,flat:title,iobj,list,nmod,nmod:gsubj,nmod:npmod,nmod:poss,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:cau,obl:cmp,obl:lmod,orphan,parataxis,reparandum,root,vocative,xcomp,xcomp:pred
uk_iu-ud-dev,673,0,117,,,,,,6.0,,,,,21.0,,,,,,,,,52.0,,7.0,,,14.0,,,,14.0,,,,1.0,,,,,,,,2.0,,,,,
uk_iu-ud-train,5521,0,650,,,5.0,,,6.0,,,,,31.0,,,,,,,,,287.0,,73.0,4.0,,90.0,,,,95.0,,,,23.0,21.0,,,,,,,3.0,,8.0,2.0,,2.0
uk_iu-ud-test,898,0,157,,,1.0,,,3.0,,,1.0,,5.0,,1.0,,,,,,,80.0,,16.0,,,16.0,,,,19.0,,,,6.0,7.0,,,,,,,1.0,,1.0,,,
orv_rnc-ud-dev,943,0,532,,,,,2.0,1.0,,,,,1.0,,,,,,,,,515.0,,,,,7.0,,,,4.0,,,,,2.0,,,,,,,,,,,,
orv_rnc-ud-train,1868,0,710,,1.0,,,3.0,11.0,,,,,6.0,,,,,,,,,668.0,,,3.0,,10.0,,,,3.0,,,,,1.0,,,,,,,,,2.0,,2.0,
orv_rnc-ud-test,717,0,299,,,,,,4.0,,,,,,,,,,,,,,284.0,,,,,7.0,,,,3.0,,,,,1.0,,,,,,,,,,,,
la_circse-ud-test,1263,0,17,,,,,,,,,,,5.0,,,,,,,,,7.0,,,,,,,,,1.0,,,1.0,1.0,,,2.0,,,,,,,,,,
sms_giellagas-ud-train,20,0,2,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
be_hse-ud-train,22853,0,5544,3.0,1.0,5.0,,,211.0,4.0,,,,166.0,,,,,,1.0,1.0,,3259.0,,,75.0,23.0,713.0,,,,616.0,,,10.0,136.0,105.0,4.0,,,,,3.0,27.0,,177.0,3.0,1.0,
be_hse-ud-dev,1301,0,251,,,,,,5.0,,,,,3.0,,,,,,,,,181.0,,,2.0,,24.0,,,,22.0,,,1.0,4.0,3.0,,,,,,,,,5.0,,1.0,
be_hse-ud-test,1077,0,202,,,,,,7.0,,,,,4.0,,,,,,,,,142.0,,,,,34.0,,,,7.0,,,1.0,,4.0,,,,,,,1.0,,2.0,,,
cs_pud-ud-test,1000,0,339,,,,,27.0,3.0,,,,,11.0,,,,,,110.0,,,,,,1.0,,42.0,,,,115.0,,,9.0,7.0,6.0,1.0,7.0,,,,,,,,,,
