Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cmp,advcl:quote,advcl:tcl,advmod,amod,appos,appos:trans,aux,case,cc,ccomp,compound,compound:lvc,compound:nn,compound:prt,compound:redup,conj,cop,csubj,csubj:cop,dep,dep:infl,det,det:poss,discourse,dislocated,expl,fixed,flat,flat:name,iobj,list,mark,nmod,nmod:att,nmod:cau,nmod:comp,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:obj,nmod:obl,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obj:lo,obj:poss,obl,obl:agent,obl:arg,obl:cau,obl:cmp,obl:inst,obl:lmod,obl:tmod,orphan,parataxis,parataxis:obj,parataxis:rep,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:lo
sl_ssj-ud-test,1282,0,58,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
sl_ssj-ud-dev,1250,0,51,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
sl_ssj-ud-train,10903,0,453,1.0,,2.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,446.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
hu_szeged-ud-dev,441,0,58,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,6.0,,,,10.0,,,,,,,3.0,,,,5.0,,,,,9.0,,,21.0,,,,,,,,,1.0,,,,,,,,
hu_szeged-ud-test,449,0,37,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,15.0,,,,,5.0,,,10.0,,,,,,,,,,,,,1.0,,,,
hu_szeged-ud-train,910,0,81,,,1.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,16.0,,,,,23.0,,,26.0,,,,,,,,1.0,,,,,,,,,
gun_dooley-ud-test,1046,0,15,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,6.0,,,2.0,,,,,,,,,,,2.0,,,,,,
tr_pud-ud-test,1000,0,122,10.0,,8.0,,,,,1.0,1.0,,1.0,,,4.0,,5.0,,,,11.0,2.0,7.0,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,12.0,,20.0,,,,,19.0,,,16.0,,,,,,,,,,,,,,,2.0,,
fi_ood-ud-test,2122,0,27,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,2.0,2.0,,,,6.0,,,10.0,,,,,,,,,,,,,,,,,
de_hdt-ud-test,18459,0,106,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_hdt-ud-train,153035,0,967,,,4.0,,,,,,,,,,,,,,,,,,,,,,,960.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
de_hdt-ud-dev,18434,0,92,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-test,2215,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
pl_pdb-ud-train,17722,0,369,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,365.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
pl_pdb-ud-dev,2215,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
sah_yktdt-ud-test,299,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,
