Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,advmod:emph,amod,appos,case,ccomp,conj,csubj,dep,det,det:poss,discourse,expl,iobj,nmod,nmod:npmod,nmod:poss,nsubj,nsubj:caus,nsubj:pass,obj,obl,obl:arg,orphan,parataxis,root,xcomp
xcl_caval-ud-train,3185,0,320,1.0,6.0,10.0,,,,3.0,3.0,,,,150.0,,3.0,,18.0,9.0,,,36.0,,,56.0,17.0,3.0,4.0,,,1.0
xcl_caval-ud-dev,411,0,33,,,1.0,,,,1.0,,,,,21.0,,1.0,,2.0,,,,2.0,,,2.0,3.0,,,,,
xcl_caval-ud-test,550,0,46,,1.0,2.0,,,,,,,,,30.0,,1.0,,4.0,1.0,,,2.0,1.0,,4.0,,,,,,
xav_xdt-ud-test,171,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
wo_wtb-ud-dev,449,0,8,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
wo_wtb-ud-test,470,0,9,,,1.0,,,,,,,,,4.0,,,,,,,,1.0,,,2.0,1.0,,,,,
wo_wtb-ud-train,1188,0,20,,,5.0,,,,,,,,,10.0,,,,,,,,5.0,,,,,,,,,
hy_bsut-ud-train,1226,0,153,,2.0,13.0,2.0,1.0,,,1.0,1.0,,,67.0,,,1.0,1.0,,2.0,8.0,26.0,,,14.0,11.0,,,1.0,2.0,
hy_bsut-ud-test,595,0,79,,,4.0,3.0,,,,,,,,39.0,,,,,,,4.0,14.0,,1.0,4.0,10.0,,,,,
hy_bsut-ud-dev,479,0,84,,,4.0,2.0,,,,,,,,31.0,2.0,,,1.0,,2.0,8.0,14.0,,1.0,3.0,16.0,,,,,
bor_bdt-ud-test,881,0,56,,3.0,5.0,,,,,,,,1.0,40.0,,,,,3.0,,,2.0,,,,2.0,,,,,
tl_trg-ud-test,128,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
hy_armtdp-ud-train,1974,0,437,,3.0,35.0,6.0,2.0,1.0,,2.0,5.0,1.0,1.0,230.0,20.0,,2.0,1.0,,4.0,,53.0,1.0,1.0,18.0,34.0,,,9.0,6.0,2.0
hy_armtdp-ud-dev,249,0,39,,,3.0,1.0,,,,,,,,16.0,4.0,,,,,1.0,,3.0,,,2.0,7.0,,,1.0,1.0,
hy_armtdp-ud-test,277,0,37,,,3.0,,,,,,,,,10.0,5.0,,,,,,,5.0,,5.0,,7.0,,1.0,1.0,,
hyw_armtdp-ud-test,680,0,97,,,7.0,,,,,,,,,79.0,,,,,,,1.0,1.0,,,,5.0,,,1.0,3.0,
hyw_armtdp-ud-dev,694,0,89,,1.0,7.0,,,,,,,,1.0,70.0,,,1.0,,,,,5.0,,,1.0,2.0,,,1.0,,
hyw_armtdp-ud-train,5282,0,585,,,29.0,3.0,,,,1.0,1.0,1.0,,452.0,2.0,1.0,2.0,,,1.0,3.0,26.0,,,9.0,36.0,,,6.0,9.0,3.0
