Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:relcl,advmod,advmod:emph,amod,appos,case,ccomp,compound,compound:lvc,compound:redup,conj,csubj,dep,dep:comp,det,det:poss,discourse,dislocated,expl,fixed,flat,iobj,mark,nmod,nmod:npmod,nmod:poss,nmod:tmod,nsubj,nsubj:caus,nsubj:pass,nummod,obj,obj:appl,obj:caus,obl,obl:agent,obl:appl,obl:arg,obl:lmod,obl:tmod,orphan,parataxis,reparandum,root,vocative,xcomp
xcl_caval-ud-train,3185,0,714,6.0,,31.0,,57.0,,,1.0,13.0,11.0,,,,5.0,1.0,,,329.0,,36.0,,,,,10.0,,11.0,,,,71.0,,,,92.0,,,16.0,1.0,,1.0,,,5.0,,,14.0,,3.0
xcl_caval-ud-dev,411,0,74,,,7.0,,10.0,,,,1.0,2.0,,,,1.0,,,,32.0,,4.0,,,,,2.0,,1.0,,,,5.0,,,,7.0,,,2.0,,,,,,,,,,,
xcl_caval-ud-test,550,0,109,,,3.0,,12.0,,,,,3.0,,,,1.0,,,,34.0,,3.0,,,,,8.0,,1.0,,,,22.0,,,,10.0,,,6.0,,,,,,1.0,,,5.0,,
xav_xdt-ud-test,171,0,2,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
qpm_philotis-ud-train,980,0,409,,,1.0,,82.0,,32.0,1.0,,2.0,1.0,,,17.0,,,,65.0,,,,,8.0,,2.0,1.0,3.0,,,5.0,41.0,,,4.0,70.0,,,33.0,,,4.0,15.0,11.0,6.0,2.0,,2.0,1.0,
qpm_philotis-ud-dev,635,0,214,,,1.0,,35.0,,11.0,,,,,,,1.0,,11.0,,53.0,,,,,,,17.0,,11.0,,,,18.0,,,5.0,30.0,,,15.0,,,,,,,,,6.0,,
qpm_philotis-ud-test,635,0,181,,,,,39.0,,11.0,,,2.0,,,,5.0,,,,27.0,,,,,1.0,,,,1.0,,,2.0,19.0,,,,36.0,,,15.0,,,2.0,9.0,5.0,,1.0,,5.0,1.0,
wo_wtb-ud-dev,449,0,568,1.0,,,,60.0,,,4.0,,,,,,3.0,,,,298.0,,,31.0,,1.0,,5.0,,3.0,,,,71.0,,,,55.0,1.0,3.0,26.0,,,,,,,,,6.0,,
wo_wtb-ud-test,470,0,678,,1.0,,,41.0,,,2.0,,1.0,,,,3.0,,,,392.0,,,42.0,,,,8.0,,,,,,91.0,,,,72.0,,1.0,20.0,,1.0,,,,,1.0,,2.0,,
wo_wtb-ud-train,1188,0,1407,1.0,1.0,,,91.0,,,,,,,,,10.0,,,,825.0,,,59.0,,1.0,,12.0,,11.0,,,,199.0,,,,144.0,,3.0,38.0,,3.0,,,,,2.0,,6.0,,1.0
say_autogramm-ud-test,1864,0,67,,1.0,1.0,,7.0,,,1.0,,,,,1.0,3.0,,,,7.0,,3.0,9.0,,,,1.0,,6.0,,1.0,,8.0,,,,7.0,,,4.0,,,,,,,,,2.0,,5.0
ml_ufal-ud-test,218,0,19,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,2.0,,3.0,,,,2.0,,,1.0,,,,,,,,,1.0,,
mr_ufal-ud-dev,46,0,3,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
mr_ufal-ud-test,47,0,5,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
mr_ufal-ud-train,373,0,39,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,
vi_tuecl-ud-test,100,0,9,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,,,,,,,3.0,,,,,,,,1.0,,,
hy_bsut-ud-train,1226,0,170,,,,,20.0,1.0,2.0,,,,,,,7.0,,,,108.0,,1.0,,,,1.0,,,,,3.0,,10.0,,1.0,,4.0,,,6.0,,,,,,,,,5.0,,1.0
hy_bsut-ud-test,595,0,45,,,,,8.0,1.0,,,,,,,,,,,,25.0,,1.0,,,,,,,,,,,8.0,,,,,,,1.0,,,,,,,1.0,,,,
hy_bsut-ud-dev,479,0,57,,,,,6.0,1.0,,,,,,,,,,,,36.0,,,,,,,,,,,,,11.0,,,,,,,2.0,,,,,,,1.0,,,,
bor_bdt-ud-test,881,0,46,,,2.0,,14.0,,,,,1.0,,,,,,,,27.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
mpu_tudet-ud-test,37,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
ceb_gja-ud-test,188,0,12,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,4.0,,
tl_trg-ud-test,128,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,212,,,,,25.0,,,1.0,,,1.0,,,2.0,,,,126.0,1.0,2.0,,3.0,,,,,,1.0,1.0,,25.0,1.0,,,4.0,,,12.0,,,,,,1.0,3.0,,1.0,,2.0
hy_armtdp-ud-dev,249,0,32,,,,,,,,,,,,,,,,,,28.0,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,
hy_armtdp-ud-test,277,0,43,,,,,3.0,,,,,,,,,,,,,36.0,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,1.0,,
hyw_armtdp-ud-test,680,0,120,,,,,13.0,,,,,,,,,,,,,84.0,2.0,3.0,,,,,,,,,2.0,,8.0,,,,,,,2.0,,,,,,,2.0,,4.0,,
hyw_armtdp-ud-dev,694,0,114,,,,,13.0,1.0,,1.0,,,,1.0,,1.0,,,,72.0,,,,,,,,,,,2.0,,10.0,,,,,,,6.0,,,,,,1.0,,,5.0,,1.0
hyw_armtdp-ud-train,5282,0,895,,,2.0,1.0,141.0,13.0,,1.0,2.0,1.0,,,,6.0,2.0,2.0,,576.0,1.0,3.0,,1.0,,,,,,3.0,5.0,,58.0,,2.0,,10.0,,,23.0,,,,,,,17.0,,24.0,,1.0
ha_southernautogramm-ud-test,1918,0,67,,,,,13.0,,,,,,,,,1.0,,,,35.0,,,4.0,,,,,,4.0,,,,,,,,1.0,,,,,,4.0,,,,,,2.0,,3.0
ha_northernautogramm-ud-test,400,0,40,,,,,2.0,,,2.0,,,,,,,,,,13.0,,,2.0,,,,,,,,,,2.0,,,,2.0,,,,,,7.0,,,,5.0,,,,5.0
yrl_complin-ud-test,1470,0,225,,,1.0,,22.0,,,,,,,,,3.0,1.0,,,140.0,,,6.0,,,,,,1.0,,,,13.0,,,,8.0,,,22.0,,,,,,,2.0,,6.0,,
aqz_tudet-ud-test,343,0,25,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,8.0,,,,11.0,,,,,,,2.0,,,,,,,2.0,,,,
