Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cleft,amod,appos,aux,case,ccomp,compound,compound:lvc,compound:redup,compound:svc,conj,cop,csubj,csubj:cop,dep,dep:aux,discourse,dislocated,fixed,iobj,list,mark,nmod,nmod:poss,nsubj,obj,obl,parataxis,parataxis:discourse,parataxis:trans,reparandum,root,xcomp
zh_gsdsimp-ud-test,500,0,13,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_gsdsimp-ud-train,3997,0,101,,,,,,,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_gsdsimp-ud-dev,500,0,17,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_pud-ud-test,1000,0,194,,,5.0,,,,,,5.0,15.0,18.0,,,25.0,2.0,1.0,,,,,,,,,,,1.0,,,1.0,2.0,,,,118.0,1.0
kmr_mg-ud-test,734,0,86,8.0,,5.0,,1.0,,7.0,,2.0,,,,,29.0,2.0,,,,,,,,,,,,,,,,3.0,,,,29.0,
he_iahltwiki-ud-train,4298,0,42,1.0,12.0,3.0,,,,,,2.0,,,,,8.0,,,,,,,,,,,,,,,,,1.0,,,,15.0,
he_iahltwiki-ud-dev,348,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
he_iahltwiki-ud-test,393,0,4,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,
qpm_philotis-ud-train,980,0,33,,1.0,5.0,,,,3.0,,1.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,14.0,
qpm_philotis-ud-dev,635,0,15,,,1.0,,,,,,3.0,,,,,4.0,,,,,,,,,1.0,,,,,,1.0,,,,,,5.0,
qpm_philotis-ud-test,635,0,9,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,7.0,
tr_atis-ud-dev,572,0,143,,,,,,,,,,8.0,,,,13.0,,,,,,,,,,,,,,,,,4.0,,,,118.0,
tr_atis-ud-train,4274,0,923,,,,,,,,,1.0,1.0,,,,34.0,,,,,,,,,,,,,,,,,44.0,,,,843.0,
tr_atis-ud-test,586,0,125,,,,,,,,,,11.0,,,,4.0,,,,,,1.0,,,,,,,,,,,5.0,,,,104.0,
hi_pud-ud-test,1000,0,71,2.0,,,,,,63.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,4.0,
tr_kenet-ud-dev,1646,0,272,1.0,,11.0,,,,,,4.0,,,,,12.0,,,,,,,,,,,,,,,1.0,8.0,49.0,,,,186.0,
tr_kenet-ud-test,1643,0,279,,,5.0,,,,,,7.0,,,,,10.0,,,,,,,,,,,,,,,,1.0,58.0,,,,192.0,6.0
tr_kenet-ud-train,15398,0,1921,1.0,,60.0,,2.0,1.0,,,32.0,5.0,,,,83.0,,1.0,,,,,,,,,,2.0,,,2.0,12.0,328.0,,,,1382.0,10.0
ess_sli-ud-test,309,0,25,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,
wo_wtb-ud-dev,449,0,22,,,,,,,17.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
wo_wtb-ud-test,470,0,49,,,,,,,42.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
wo_wtb-ud-train,1188,0,62,,,,,,,57.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
gub_tudet-ud-test,1182,0,96,,,,,,,77.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,16.0,
say_autogramm-ud-test,1864,0,27,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
ml_ufal-ud-test,218,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
apu_ufpa-ud-test,161,0,1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sq_tsa-ud-test,60,0,1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si_stb-ud-test,100,0,3,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,
hy_bsut-ud-train,1226,0,11,,,10.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-test,595,0,3,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_bsut-ud-dev,479,0,1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bor_bdt-ud-test,881,0,56,,,,,,,,,,,,,,6.0,,,,6.0,,,,,,,,2.0,,15.0,,,6.0,,,,21.0,
quc_iu-ud-test,1435,0,61,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_framenet-ud-test,205,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,,,,13.0,
tr_framenet-ud-train,2288,0,258,,,6.0,,,,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,35.0,,,,211.0,
tr_framenet-ud-dev,205,0,32,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,6.0,,,,23.0,
bm_crb-ud-test,1026,0,5,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
ky_ktmu-ud-train,80,0,9,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,
ky_ktmu-ud-test,701,0,137,1.0,,4.0,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,125.0,
tt_nmctt-ud-test,148,0,10,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,6.0,
tr_gb-ud-test,2880,0,681,10.0,,24.0,,,,8.0,,14.0,,,,,13.0,13.0,3.0,2.0,,,,,,,,,,,,,,8.0,,,,583.0,3.0
zh_gsd-ud-dev,500,0,17,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_gsd-ud-test,500,0,13,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_gsd-ud-train,3997,0,101,,,,,,,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tl_trg-ud-test,128,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,
hy_armtdp-ud-train,1974,0,5,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
hy_armtdp-ud-dev,249,0,1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-test,277,0,3,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-train,114,0,19,,,14.0,,,,,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-test,400,0,42,,,22.0,,,,,,,2.0,7.0,,,8.0,,,,,,,,,,,,,,,,,,,,,3.0,
th_pud-ud-test,1000,0,112,,,,,,,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ht_autogramm-ud-test,144,0,43,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sjo_xdt-ud-test,810,0,21,1.0,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,12.0,
zh_pud-ud-test,1000,0,40,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,23,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
