Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advmod,advmod:emph,amod,appos,aux,case,cc,ccomp,compound,compound:redup,conj,csubj,dep,det,det:poss,discourse,dislocated,expl,fixed,flat:name,iobj,iobj:appl,mark,nmod,nmod:npmod,nmod:poss,nmod:tmod,nsubj,nsubj:caus,nsubj:outer,nsubj:pass,nummod,obj,obj:appl,obj:caus,obl,obl:agent,obl:appl,obl:arg,obl:lmod,obl:tmod,orphan,parataxis,root,vocative,xcomp
xcl_caval-ud-train,3185,0,5342,8.0,,8.0,122.0,,,9.0,,66.0,,17.0,,,44.0,2.0,,2545.0,,4.0,1.0,,,,295.0,,,357.0,,,,303.0,1.0,,,,507.0,,,474.0,7.0,,490.0,,,43.0,,35.0,,4.0
xcl_caval-ud-dev,411,0,801,1.0,,4.0,16.0,,,2.0,,8.0,,2.0,,,2.0,,,381.0,,1.0,,,,,55.0,,,65.0,,,,36.0,,,1.0,,70.0,,,72.0,2.0,,67.0,,,9.0,,7.0,,
xcl_caval-ud-test,550,0,937,1.0,,2.0,23.0,,,1.0,,13.0,,4.0,1.0,,8.0,,,477.0,,1.0,,,,,50.0,,,77.0,,,,47.0,1.0,,,,80.0,,,81.0,2.0,,55.0,,,10.0,,3.0,,
xav_xdt-ud-test,171,0,1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qpm_philotis-ud-train,980,0,1433,,,1.0,70.0,,96.0,5.0,,,,5.0,1.0,,58.0,,,119.0,,,1.0,,11.0,,34.0,,46.0,18.0,,,2.0,378.0,,,6.0,26.0,229.0,,,194.0,,,18.0,99.0,5.0,4.0,2.0,3.0,,2.0
qpm_philotis-ud-dev,635,0,760,,,,62.0,,67.0,,,,,1.0,,,13.0,,39.0,91.0,,,,,,,94.0,,1.0,23.0,,,,144.0,,,,15.0,131.0,,,71.0,,,,,,,,8.0,,
qpm_philotis-ud-test,635,0,837,,,3.0,39.0,,68.0,2.0,,,,2.0,,,38.0,,,57.0,,,1.0,,6.0,,16.0,,27.0,7.0,,,,238.0,,,3.0,9.0,122.0,,,128.0,,,3.0,54.0,1.0,2.0,,7.0,3.0,1.0
wo_wtb-ud-dev,449,0,70,,,,17.0,,,,,,,,,,1.0,,,29.0,,,2.0,,,,3.0,,,2.0,,,,8.0,,,,,4.0,,,2.0,,1.0,,,,,1.0,,,
wo_wtb-ud-test,470,0,67,,,,15.0,,,,,,,,,,,,,34.0,,,,,1.0,,3.0,1.0,,,,,,5.0,,,,,4.0,,,3.0,,1.0,,,,,,,,
wo_wtb-ud-train,1188,0,230,,,,47.0,,,1.0,1.0,,,1.0,,,2.0,,,109.0,,,8.0,,1.0,,3.0,,,3.0,,,,24.0,,,,,15.0,2.0,2.0,10.0,,1.0,,,,,,,,
say_autogramm-ud-test,1864,0,122,1.0,,2.0,11.0,,1.0,,,,,,3.0,,,,2.0,18.0,,,12.0,,,1.0,,,,7.0,,3.0,,11.0,,,,1.0,29.0,,,5.0,,,6.0,,,,1.0,3.0,1.0,4.0
ml_ufal-ud-test,218,0,27,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,1.0,,16.0,,,,,2.0,,,4.0,,,,,,,,,,
mr_ufal-ud-dev,46,0,15,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
mr_ufal-ud-test,47,0,15,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,8.0,,,,,5.0,,,,,,,,,,,,,
mr_ufal-ud-train,373,0,147,,,,,,,,,,,,,,1.0,,,29.0,,,,,,,1.0,,,,,,,100.0,,,,,15.0,,,1.0,,,,,,,,,,
vi_tuecl-ud-test,100,0,22,,,,,,,,,,,,,,1.0,,,11.0,,,,,,,,,,1.0,,,,5.0,,1.0,,,,,,3.0,,,,,,,,,,
hy_bsut-ud-train,1226,0,137,1.0,,,12.0,1.0,4.0,,,,,,,3.0,4.0,,,65.0,1.0,,,,,,,,,,1.0,,,8.0,,,3.0,,16.0,,,5.0,,,,,,,1.0,12.0,,
hy_bsut-ud-test,595,0,60,1.0,,,9.0,,,,,,,,,,2.0,,,27.0,,,,,,,,,2.0,,2.0,5.0,,1.0,,,2.0,,2.0,,,5.0,,,,,,,,1.0,,1.0
hy_bsut-ud-dev,479,0,78,,,,6.0,,1.0,1.0,,,,,,3.0,3.0,,,25.0,1.0,,,,1.0,,,,1.0,,1.0,1.0,,10.0,,,3.0,,7.0,,,2.0,,,,,,,2.0,9.0,,1.0
bor_bdt-ud-test,881,0,42,,,1.0,17.0,,,,,,,,,,,,,23.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
ceb_gja-ud-test,188,0,8,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,3.0,,
tl_trg-ud-test,128,0,2,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hy_armtdp-ud-train,1974,0,280,,,,44.0,1.0,,2.0,,,,,1.0,,13.0,,,139.0,,2.0,2.0,,2.0,,1.0,,2.0,,4.0,,,25.0,,,6.0,,15.0,,,9.0,,,,,,1.0,3.0,8.0,,
hy_armtdp-ud-dev,249,0,25,,,,4.0,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,5.0,,,,,3.0,,,1.0,,,,,,1.0,,,,
hy_armtdp-ud-test,277,0,26,,,,5.0,1.0,1.0,,,,,,,,2.0,,,9.0,,,,,,,,,,,1.0,,,5.0,,,,,,,,1.0,,,,,,,1.0,,,
hyw_armtdp-ud-test,680,0,88,,,,18.0,,,,,,,,,,3.0,,,40.0,,1.0,,,,,,,,,1.0,,,9.0,,,,,10.0,,,3.0,,,,,,,,3.0,,
hyw_armtdp-ud-dev,694,0,121,,,1.0,33.0,1.0,,,,,,1.0,,1.0,8.0,,,38.0,,,,,,,,,,,,1.0,,13.0,,,,,12.0,,,9.0,,,,,,,,3.0,,
hyw_armtdp-ud-train,5282,0,545,1.0,,5.0,106.0,3.0,2.0,3.0,,,1.0,,2.0,3.0,21.0,,,184.0,,5.0,,3.0,7.0,,1.0,,2.0,,3.0,18.0,,46.0,,,2.0,,53.0,,,37.0,1.0,,,,,,2.0,32.0,,2.0
ha_southernautogramm-ud-test,1918,0,7,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,
