Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cmp,advcl:pred,advmod,advmod:tmod,amod,amod:att,amod:flat,appos,ccomp,compound,compound:nn,compound:redup,conj,conj:expl,csubj,csubj:cop,csubj:relcl,dep,det,discourse,dislocated,fixed,flat,flat:frac,flat:name,flat:range,flat:sibl,flat:title,iobj,list,nmod,nmod:arg,nmod:att,nmod:npmod,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:float,obl:inst,obl:lmod,obl:mod,obl:npmod,obl:pmod,obl:tmod,orphan,parataxis,reparandum,root,vocative,xcomp,xcomp:pred
en_partut-ud-dev,156,0,10,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en_partut-ud-train,1781,0,120,,,,,,,,,104.0,,,1.0,,,,,2.0,,,,,,,,,,10.0,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,
en_partut-ud-test,153,0,14,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
sl_ssj-ud-test,1282,0,111,,,,,,,,,43.0,,,1.0,,,,,5.0,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,,,,43.0,1.0,5.0,,,,,,,,,,,2.0,4.0,,2.0,,,
sl_ssj-ud-dev,1250,0,115,,,,,,,,,44.0,,,2.0,,,,,4.0,,,,,,,,,,7.0,,,,,,,,1.0,,,,,,3.0,,,,41.0,1.0,8.0,,,,,,,,,,,,1.0,,3.0,,,
sl_ssj-ud-train,10903,0,1061,,1.0,,,,,,,420.0,,,8.0,,,,,35.0,,1.0,,,2.0,,,,,24.0,,,,,,,3.0,12.0,,,,,,11.0,,,,468.0,5.0,35.0,,,,,,,,,,,4.0,29.0,,3.0,,,
xcl_caval-ud-train,3185,0,43,,,,1.0,,,,,30.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
xcl_caval-ud-dev,411,0,3,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcl_caval-ud-test,550,0,2,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zh_gsdsimp-ud-test,500,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,1.0,,,,,,,,,,,,,,,,,
zh_gsdsimp-ud-train,3997,0,335,,,,,,,,,2.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,305.0,4.0,17.0,,,,,,,,,,,,,,3.0,,,
zh_gsdsimp-ud-dev,500,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,5.0,,,,,,,,,,,,,,,,,
hu_szeged-ud-dev,441,0,44,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
hu_szeged-ud-test,449,0,82,,,,,,,,,,67.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,9.0,,1.0,,,
hu_szeged-ud-train,910,0,58,,,,,,,,,,49.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_bokmaal-ud-dev,2409,0,94,,,,,,,3.0,,84.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,
no_bokmaal-ud-test,1939,0,64,,,,,,,13.0,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,
no_bokmaal-ud-train,15696,0,449,,,,2.0,,,32.0,,388.0,,,1.0,,2.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,6.0,,1.0,
el_gud-ud-train,1071,0,32,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,2.0,,2.0,
el_gud-ud-test,736,0,26,,,,,,,,,21.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,
fa_seraji-ud-dev,599,0,15,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-train,4798,0,64,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_pud-ud-test,1000,0,120,,,,,,,,,39.0,,,1.0,,,,,6.0,,,,,,,,,,5.0,,,,,,,,1.0,,,,5.0,,1.0,,,,59.0,,2.0,,,,,,,,,,,,1.0,,,,,
es_gsd-ud-test,426,0,15,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
