Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cmpr,advcl:cond,advcl:relcl,advcl:tcl,advmod,advmod:emph,amod,amod:flat,appos,aux,aux:caus,aux:ex,aux:pass,case,cc,cc:preconj,ccomp,ccomp:cleft,ccomp:obj,ccomp:pmod,clf,compound,compound:lvc,compound:redup,compound:svc,conj,cop,cop:emph,cop:own,csubj,csubj:pass,dep,det,det:numgov,discourse,dislocated,fixed,flat,flat:foreign,flat:name,iobj,list,mark,nmod,nmod:arg,nmod:comp,nmod:flat,nmod:npmod,nmod:part,nmod:poss,nmod:pred,nsubj,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:pmod,obl:tmod,orphan,parataxis,parataxis:insert,parataxis:obj,parataxis:restart,reparandum,root,vocative,xcomp,xcomp:pred
sl_ssj-ud-test,1282,0,1427,,13.0,,13.0,,,,,,,,,,953.0,,,,,,,14.0,,,,,,,,,15.0,351.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,59.0,,,
sl_ssj-ud-dev,1250,0,1348,,25.0,,12.0,,,,,,,,,,843.0,,,,,,,15.0,,,,,,,,,17.0,334.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,73.0,,,
sl_ssj-ud-train,10903,0,12029,,174.0,,103.0,,,,,,,,,,8015.0,,,,,,,130.0,,,,,,,,,85.0,2767.0,,,24.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,154.0,,,,,571.0,,,
el_gud-ud-train,1071,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,
el_gud-ud-test,736,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_pud-ud-test,1000,0,1792,,331.0,,57.0,,,,,,,11.0,,2.0,1.0,,,,,,,39.0,,,,,27.0,55.0,,,41.0,183.0,,,16.0,,,668.0,,,,,,,,10.0,,,8.0,,,,,,56.0,,109.0,,13.0,,68.0,61.0,,,,,,,2.0,,,,,17.0,,17.0,
sga_dipsgg-ud-test,64,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,
pl_pdb-ud-test,2215,0,988,,420.0,17.0,5.0,,,,,,,,,,,,,,,,,8.0,4.0,4.0,,,,,,,93.0,,,,3.0,,,,,,,1.0,,,,14.0,,,49.0,79.0,,,,,,,41.0,3.0,,,39.0,59.0,,49.0,2.0,,,,,1.0,7.0,,,67.0,,21.0,2.0
pl_pdb-ud-train,17722,0,8499,,3757.0,108.0,71.0,2.0,,1.0,,,,2.0,5.0,3.0,,,,,,,,97.0,10.0,39.0,,,,,,,716.0,,,,6.0,,,,,,,8.0,,,,146.0,,,428.0,572.0,,3.0,,,,1.0,354.0,13.0,,,288.0,529.0,4.0,421.0,37.0,,,3.0,,5.0,45.0,,,618.0,,196.0,11.0
pl_pdb-ud-dev,2215,0,1069,,483.0,11.0,5.0,,,,,,,,2.0,,,,,,,,,10.0,,4.0,,,,,,,86.0,,,,1.0,,,,,,,,,,,19.0,,,69.0,55.0,,,,,,,37.0,1.0,,,38.0,76.0,,43.0,3.0,,,,,2.0,7.0,,,90.0,,26.0,1.0
hr_set-ud-train,6914,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,
he_iahltwiki-ud-train,4298,0,752,,1.0,13.0,14.0,,,,,,,,,2.0,39.0,,,,,,,13.0,,,,,,,,,27.0,556.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,8.0,,,,,75.0,,1.0,
he_iahltwiki-ud-dev,348,0,60,,,1.0,2.0,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,1.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,7.0,,,
he_iahltwiki-ud-test,393,0,58,,,3.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,8.0,,,
tr_atis-ud-dev,572,0,378,,1.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,1.0,,,,,,,,7.0,,,,,340.0,,,
tr_atis-ud-train,4274,0,2709,,3.0,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,3.0,,,,45.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,84.0,,,,,2546.0,,,
tr_atis-ud-test,586,0,359,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,14.0,,,,6.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,9.0,,,,,319.0,,,
tr_kenet-ud-dev,1646,0,1767,,43.0,,149.0,,,,,,,2.0,,,,,,,4.0,,,30.0,,,,1.0,34.0,,,,71.0,,,,,,,,,3.0,,1.0,,,,,,,6.0,,,,,,,,2.0,,,,10.0,33.0,,,,,,,243.0,,,,,1133.0,,2.0,
tr_kenet-ud-test,1643,0,1870,,27.0,,163.0,,,,,,,2.0,,,,,,,3.0,,,35.0,,,,,42.0,,,,67.0,,,,,,,,,8.0,,,,,,1.0,4.0,,,,,,,,,,1.0,,,,3.0,5.0,,,,,,,316.0,,,,,1185.0,1.0,7.0,
tr_kenet-ud-train,15398,0,13154,,149.0,,784.0,,,,,,,32.0,,1.0,,,,,11.0,,,222.0,,,,,194.0,,,,620.0,,,,10.0,,,,,24.0,2.0,4.0,,,,2.0,6.0,,33.0,,,,,,,,37.0,,,,18.0,75.0,,,,,,1.0,1676.0,,,,,9223.0,1.0,29.0,
sk_snk-ud-dev,1060,0,1574,5.0,31.0,100.0,65.0,,,,,,,135.0,,,16.0,,,32.0,,,,44.0,,,,,,,,,122.0,194.0,,,23.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,,709.0,,83.0,
sk_snk-ud-test,1061,0,1501,6.0,22.0,115.0,28.0,,,,,,,114.0,,,2.0,,,24.0,,,,14.0,,,,,,,,,175.0,203.0,,,14.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,17.0,,,,,682.0,,80.0,
sk_snk-ud-train,8483,0,14431,38.0,171.0,437.0,636.0,,,,,,,512.0,,10.0,1823.0,,,40.0,,,,884.0,,,,,5.0,,,,1496.0,1064.0,,,101.0,9.0,47.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,2.0,30.0,,,,,6291.0,,831.0,
lt_hse-ud-train,153,0,384,,14.0,18.0,25.0,,,,,,,8.0,,1.0,19.0,,,1.0,,,,18.0,,,,,,,,,58.0,36.0,,,5.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,93.0,,45.0,
lt_hse-ud-test,55,0,161,,14.0,8.0,13.0,,,,,,,16.0,,,6.0,,,,,,,8.0,,,,,,,,,14.0,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,36.0,,29.0,
lt_hse-ud-dev,55,0,156,,8.0,8.0,13.0,,,,,,,4.0,,,3.0,,,1.0,,,,6.0,,,,,,,,,23.0,14.0,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,10.0,,,,,32.0,,30.0,
gub_tudet-ud-test,1182,0,5,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
cs_pud-ud-test,1000,0,10119,,101.0,224.0,168.0,,,,,237.0,16.0,1679.0,,114.0,48.0,,,153.0,7.0,1.0,,142.0,,,,,12.0,,,,680.0,302.0,,,54.0,10.0,,1.0,13.0,2.0,,33.0,301.0,,,8.0,,,1719.0,,,,,,,,953.0,133.0,,,621.0,916.0,20.0,231.0,,,,8.0,19.0,,,,,946.0,1.0,246.0,
ml_ufal-ud-test,218,0,279,,5.0,2.0,15.0,,,,,,,,,,5.0,,,,,,,7.0,,,,,,7.0,,2.0,2.0,44.0,48.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,9.0,,,,,109.0,,15.0,
ro_nonstandard-ud-test,1052,0,2259,,17.0,,153.0,,,,25.0,2.0,,55.0,,17.0,,,,3.0,5.0,1354.0,14.0,20.0,,,,,,,,,69.0,5.0,,,6.0,,,,,,,9.0,,,,,,393.0,,,,,,,,,2.0,,,,,,,,,,,,38.0,,,,,57.0,,15.0,
ro_nonstandard-ud-dev,1052,0,2085,,11.0,,217.0,,,,39.0,10.0,,37.0,,3.0,,,,,,1251.0,8.0,7.0,,,,,2.0,,,,74.0,2.0,,,2.0,,,,,,,9.0,,,,,,295.0,,,,,,,,,,,,,1.0,,,,,,,,36.0,,,,,58.0,,23.0,
ro_nonstandard-ud-train,24121,0,50650,,409.0,,3662.0,,,,318.0,181.0,,1176.0,,7.0,8.0,,,32.0,48.0,29377.0,90.0,212.0,,,5.0,,4.0,,,,1791.0,269.0,,,104.0,4.0,,,,3.0,,131.0,,,,2.0,,10253.0,28.0,,,,,,,,5.0,,,,4.0,7.0,,,,11.0,,3.0,420.0,,,,,1597.0,3.0,486.0,
