Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cmp,advcl:pred,advcl:relcl,advmod,advmod:emph,advmod:tmod,amod,appos,ccomp,ccomp:relcl,ccomp:reported,conj,conj:expl,csubj,csubj:pass,csubj:relcl,dep,det,discourse,dislocated:nsubj,flat:redup,list,nmod,nsubj,nsubj:outer,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:lmod,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,root,vocative,xcomp
el_gud-ud-test,736,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
es_gsd-ud-dev,1400,0,4,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
es_gsd-ud-train,14187,0,38,,,,,,,,,,17.0,,,,,6.0,,,,,,3.0,,,,,,,,,,7.0,,,,,,2.0,,,3.0,,
uk_iu-ud-dev,673,0,3,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk_iu-ud-train,5521,0,15,,,,,,,12.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
uk_iu-ud-test,898,0,3,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_ancora-ud-train,14287,0,38,1.0,,,,,,2.0,,,26.0,,2.0,,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0
es_ancora-ud-test,1721,0,5,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_ancora-ud-dev,1654,0,9,,,,,,,,,,8.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
la_circse-ud-test,1263,0,119,,,,,10.0,1.0,8.0,,2.0,71.0,,1.0,,,8.0,,,,,,1.0,,1.0,,,,6.0,,1.0,2.0,,,1.0,,1.0,2.0,1.0,,,1.0,,1.0
