Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:manner,advcl:relcl,advcl:tcl,amod,appos,aux,aux:pass,case,ccomp,ccomp:pmod,ccomp:relcl,compound,compound:lvc,conj,conj:expl,cop,csubj,csubj:pass,csubj:relcl,dep,dislocated,dislocated:csubj,fixed,nmod,nmod:poss,nsubj,nsubj:pass,obj,obl,obl:pmod,orphan,parataxis,reparandum,root,xcomp
tr_pud-ud-test,1000,0,36,,,,,,,,,,,,,,1.0,,,4.0,3.0,8.0,,4.0,,,,,,,,,,,,,,,,,,16.0,
pt_porttinari-ud-train,5893,0,16,1.0,6.0,2.0,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,3.0,
pt_porttinari-ud-test,1683,0,2,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,
sa_vedic-ud-test,2709,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
sa_vedic-ud-train,21477,0,24,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,17.0,
sa_vedic-ud-dev,2996,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
kmr_mg-ud-test,734,0,73,9.0,,6.0,,,,,,,,3.0,,,5.0,,,,,7.0,,6.0,,,,,,,,,,,,,,,,5.0,,32.0,
la_circse-ud-test,1263,0,10,,2.0,1.0,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,3.0,
grc_perseus-ud-dev,1137,0,27,5.0,,4.0,,,,,,,,,,,1.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,11.0,
grc_perseus-ud-train,11476,0,341,41.0,,32.0,,,,,,,,,,,5.0,,,,,70.0,,,,,,,,,,,,,,,,,,2.0,,191.0,
grc_perseus-ud-test,1306,0,32,4.0,,4.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,21.0,
la_perseus-ud-test,939,0,83,3.0,14.0,18.0,,1.0,,,,,,,,,1.0,,,,,9.0,,3.0,3.0,,,,,,,,,,,,,,,,,31.0,
la_perseus-ud-train,1334,0,136,4.0,31.0,44.0,,2.0,,,,,,,1.0,,2.0,,,,,7.0,,2.0,3.0,,,,,,,,,,,,,,,2.0,,38.0,
