Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:quote,amod,appos,ccomp,compound,compound:redup,conj,csubj,dep,dislocated,flat,flat:foreign,flat:name,iobj,nmod,nmod:npmod,nmod:poss,nsubj,nsubj:outer,nsubj:pass,obj,obl,obl:agent,orphan,parataxis,root,vocative,xcomp
orv_rnc-ud-dev,943,0,26,,,,,,2.0,,,,1.0,,,,,,17.0,,,,,2.0,,,,2.0,,1.0,,,,1.0
orv_rnc-ud-train,1868,0,60,,,,,,4.0,,,,4.0,,,,,,43.0,,1.0,,,6.0,,,,1.0,1.0,,,,,
orv_rnc-ud-test,717,0,23,,,,,,1.0,,,,1.0,,,,,,14.0,,,,,3.0,,,,4.0,,,,,,
sms_giellagas-ud-test,230,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
be_hse-ud-train,22853,0,150,,,,,,37.0,,,,18.0,,,,,4.0,26.0,2.0,26.0,,,15.0,,1.0,4.0,6.0,1.0,,1.0,8.0,,1.0
be_hse-ud-dev,1301,0,10,,,,,,,,,,,,,,,,3.0,,4.0,,,2.0,,,,,,,,,,1.0
be_hse-ud-test,1077,0,5,,,,,,1.0,,,,1.0,,,,,,2.0,,,,,1.0,,,,,,,,,,
orv_ruthenian-ud-test,390,0,10,,,,,,1.0,,,,3.0,,,,,,6.0,,,,,,,,,,,,,,,
orv_ruthenian-ud-train,2789,0,121,,,,,1.0,5.0,,,,8.0,,,,,,94.0,1.0,2.0,,,5.0,,,1.0,2.0,,1.0,,1.0,,
orv_ruthenian-ud-dev,344,0,17,,,,,,2.0,,,,,,,,,,15.0,,,,,,,,,,,,,,,
vi_tuecl-ud-test,100,0,9,,,,,,,,1.0,,1.0,,,,1.0,,,,1.0,,,1.0,,,3.0,,,,,,1.0,
hy_bsut-ud-train,1226,0,56,1.0,,,,,1.0,,,,11.0,,,1.0,3.0,,9.0,,1.0,2.0,12.0,4.0,,,3.0,5.0,,1.0,1.0,,,1.0
hy_bsut-ud-test,595,0,36,,,,,1.0,1.0,,,,2.0,,,,,,,,,,4.0,19.0,,1.0,3.0,2.0,,,,3.0,,
hy_bsut-ud-dev,479,0,6,,,,,,,,,,1.0,,,,,,1.0,,,,2.0,2.0,,,,,,,,,,
ru_taiga-ud-train,16045,0,272,,,,,,8.0,1.0,1.0,,32.0,1.0,,,,13.0,9.0,13.0,25.0,,,89.0,,,10.0,19.0,1.0,1.0,7.0,9.0,32.0,1.0
ru_taiga-ud-dev,946,0,113,,,,,,14.0,,,,4.0,,,,,,2.0,1.0,3.0,,,2.0,,,1.0,2.0,,,1.0,7.0,76.0,
ru_taiga-ud-test,881,0,64,,,,,,1.0,,,,14.0,,1.0,1.0,,15.0,,,,,,6.0,,,2.0,,,,2.0,1.0,21.0,
hy_armtdp-ud-train,1974,0,52,,,,,,1.0,,,1.0,4.0,1.0,1.0,,10.0,,,,9.0,,9.0,8.0,,,2.0,1.0,,,1.0,1.0,2.0,1.0
hy_armtdp-ud-dev,249,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
hy_armtdp-ud-test,277,0,2,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,
ru_poetry-ud-test,728,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
ru_poetry-ud-dev,789,0,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
ru_poetry-ud-train,3569,0,5,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,1.0,,
hyw_armtdp-ud-test,680,0,43,,,,,,4.0,,,,3.0,,,,,,19.0,,2.0,,9.0,3.0,,,1.0,1.0,,,1.0,,,
hyw_armtdp-ud-dev,694,0,37,,,,,,,,,,2.0,,,,,,4.0,,1.0,1.0,17.0,7.0,,,1.0,3.0,,,,,1.0,
hyw_armtdp-ud-train,5282,0,133,,1.0,,,,,,,,17.0,,,,,,47.0,,13.0,6.0,19.0,16.0,,,5.0,5.0,1.0,,2.0,1.0,,
ka_glc-ud-test,151,0,8,,,,,,,,,,,,,,,,,,2.0,,,4.0,,,2.0,,,,,,,
lzh_kyoto-ud-dev,6102,0,201,,,,,,,,60.0,,7.0,,,,3.0,,,,20.0,,,84.0,,,15.0,8.0,,,,4.0,,
lzh_kyoto-ud-train,74609,0,2797,1.0,,,,16.0,,,1144.0,,49.0,,,5.0,60.0,,,4.0,333.0,,,944.0,5.0,,168.0,45.0,,,1.0,22.0,,
lzh_kyoto-ud-test,5528,0,519,2.0,,1.0,,,,,370.0,,4.0,,,,2.0,,,,20.0,,,82.0,2.0,,30.0,2.0,,,,4.0,,
ab_abnc-ud-test,263,0,6,,,,1.0,,,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,
