Treebank,Number of Sentences,Failures,Total,appos,compound,conj,flat,nmod,nummod,obl,parataxis,root
et_ewt-ud-train,5444,0,15,,,,,,14.0,1.0,,
et_ewt-ud-test,913,0,1,,,,,,1.0,,,
et_ewt-ud-dev,833,0,2,,,,,,2.0,,,
pt_petrogold-ud-train,7170,0,5,,,,,,4.0,,1.0,
it_isdt-ud-train,13121,0,4,,,,,,4.0,,,
hy_armtdp-ud-train,1974,0,9,,,,,,9.0,,,
hy_armtdp-ud-dev,249,0,2,,,,,,2.0,,,
hy_armtdp-ud-test,277,0,1,,,,,,1.0,,,
et_edt-ud-dev,3128,0,15,,,,,,14.0,,1.0,
et_edt-ud-train,24615,0,356,,9.0,5.0,1.0,4.0,254.0,28.0,55.0,
et_edt-ud-test,3214,0,46,1.0,,,,,42.0,1.0,2.0,
pt_bosque-ud-train,7018,0,2,,,,,,,,,2.0
it_vit-ud-train,8277,0,22,1.0,,,,,20.0,1.0,,
it_vit-ud-test,1067,0,4,,,,,,4.0,,,
it_vit-ud-dev,743,0,4,,,,,,4.0,,,
