Treebank,Number of Sentences,Failures,Total,_,acl,acl:crel,acl:relcl,advcl,advcl:ccomp,advcl:cleft,advcl:cmp,advcl:cond,advcl:fin,advcl:lcl,advcl:manner,advcl:pred,advcl:quote,advcl:relcl,advcl:tcl,advmod,amod,appos,aux,aux:aspect,aux:caus,aux:cnd,aux:nec,aux:neg,aux:pass,aux:tense,case,cc,ccomp,ccomp:pmod,ccomp:rel,ccomp:relcl,ccomp:reported,ccomp:speech,compound,compound:lvc,compound:svc,conj,conj:expl,cop,cop:outer,csubj,csubj:caus,csubj:cleft,csubj:pass,csubj:relcl,csubj:reported,dep,discourse,dislocated,dislocated:ccomp,dislocated:csubj,expl:pv,fixed,flat,flat:foreign,flat:name,iobj,mark,mark:prt,nmod,nmod:poss,nsubj,nsubj:pass,nummod,obj,obl,obl:agent,obl:lmod,obl:pmod,orphan,parataxis,parataxis:discourse,punct,reparandum,root,vocative,xcomp
en_partut-ud-dev,156,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en_partut-ud-train,1781,0,17,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,9.0,,,,1.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xcl_caval-ud-train,3185,0,1980,,126.0,,,366.0,,,,,,,,,,,,,,4.0,49.0,,,,,,,,,,326.0,,,,,,,,,475.0,,276.0,,40.0,9.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,22.0,,,,281.0,,2.0
xcl_caval-ud-dev,411,0,203,,16.0,,,51.0,,,,,,,,,,,,,,,8.0,,,,,,,,,,34.0,,,,,,,,,41.0,,26.0,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,19.0,,
xcl_caval-ud-test,550,0,285,,16.0,,,60.0,,,,,,,,,,,,,,,7.0,,,,,,,,,,54.0,,,,,,,,,67.0,,31.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,,,35.0,,
xav_xdt-ud-test,171,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa_seraji-ud-dev,599,0,203,,,,3.0,18.0,,,,,,,,,,,,,,,19.0,,,,,,10.0,,,,66.0,,,,,,17.0,,,29.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,
fa_seraji-ud-test,600,0,195,,,,3.0,17.0,,,,,,,,,,,,,,1.0,10.0,,,,,,6.0,,,,80.0,,,,,,17.0,,,25.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,19.0,,
fa_seraji-ud-train,4798,0,2010,,,,51.0,121.0,,,,,,,,,,,,,,1.0,143.0,,,,,,35.0,,,,626.0,,,,,,179.0,,,384.0,,207.0,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,2.0,1.0,,,,,,,,,,9.0,,,,237.0,,11.0
es_gsd-ud-test,426,0,64,,,,11.0,14.0,,,,,,,,,,,,,,,9.0,,,,,,1.0,,,,9.0,,,,,,,,,5.0,,7.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
es_gsd-ud-dev,1400,0,100,,,,15.0,20.0,,,,,,,,,,,,,,,9.0,,,,,,1.0,,,,21.0,,,,,,,,,7.0,,7.0,,12.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,2.0,,,,4.0,,
es_gsd-ud-train,14187,0,1046,,2.0,,170.0,236.0,,,,,,,,,,,,,1.0,1.0,117.0,,,,,,22.0,,,,189.0,,,,,,,,,69.0,,107.0,,76.0,,,,,,1.0,,,,,,5.0,,,,,,,1.0,,,,,,,,,,,12.0,,,,37.0,,
sga_dipsgg-ud-test,64,0,9,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,,,1.0,,
pt_porttinari-ud-train,5893,0,484,,21.0,,53.0,108.0,,,,,,,,,,,,,,,33.0,,,,,,29.0,,,,77.0,,,,,2.0,,,,22.0,,57.0,,22.0,,,,,,,1.0,,,,,9.0,,,,,,,,,,,,,,,,,,5.0,,,,41.0,,4.0
pt_porttinari-ud-test,1683,0,133,,6.0,,14.0,31.0,,,,,,,,,,,,,,,8.0,,,,,,9.0,,,,31.0,,,,,,,,,3.0,,13.0,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,12.0,,
pt_porttinari-ud-dev,842,0,71,,2.0,,9.0,16.0,,,,,,,,,,,,,,,6.0,,,,,,3.0,,,,7.0,,,,,2.0,,,,4.0,,6.0,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,4.0,,,,6.0,,1.0
sv_talbanken-ud-test,1219,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
sv_talbanken-ud-train,4303,0,12,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,
ar_nyuad-ud-train,15789,0,3132,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,769.0,,,,,,,,,,,430.0,,,,,,,,,,,,,,,25.0,,,3.0,,,73.0,29.0,9.0,,1.0,27.0,,,,,,,,1.0,,71.0,,1690.0
ar_nyuad-ud-dev,1986,0,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,,,,44.0,,,,,,,,,,,,,,,2.0,,,1.0,,,10.0,2.0,,,,2.0,,,,,,,,,,14.0,,240.0
ar_nyuad-ud-test,1963,0,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,43.0,,,,,,,,,,,,,,,2.0,,,1.0,,,11.0,2.0,2.0,,,7.0,,,,,,,,,,9.0,,186.0
sa_vedic-ud-test,2709,0,51,,4.0,,2.0,2.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,7.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,27.0,,
sa_vedic-ud-train,21477,0,514,,14.0,1.0,21.0,30.0,12.0,,,3.0,9.0,1.0,1.0,,,,3.0,,,,9.0,,,,,,,,,,23.0,,1.0,,,,,,,32.0,,55.0,,5.0,,,,,,,,3.0,,,,,42.0,,,,,,,,1.0,,,,,,,,1.0,28.0,,,,219.0,,
sa_vedic-ud-dev,2996,0,116,,4.0,,3.0,4.0,5.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,14.0,,,,,,,,,10.0,,11.0,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,5.0,,,,49.0,,
hi_hdtb-ud-train,13306,0,557,,55.0,,6.0,32.0,,,,,,,,,,,,,2.0,,92.0,,,,,,150.0,,,,86.0,,,,,,28.0,,,28.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,,,1.0,,,,,,,1.0,,68.0,1.0,
hi_hdtb-ud-dev,1659,0,52,,3.0,,1.0,5.0,,,,,,,,,,,,,,,7.0,,,,,,23.0,,,,4.0,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,
hi_hdtb-ud-test,1684,0,55,,3.0,,,1.0,,,,,,,,,,,,,,,9.0,,,,,,21.0,,,,13.0,,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
es_ancora-ud-train,14287,0,2299,,389.0,,1.0,468.0,,,,,,,,,,,,,,1.0,347.0,,,,,,,,,,556.0,,,,,,,,,123.0,,198.0,,138.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,53.0,,16.0
es_ancora-ud-test,1721,0,302,,49.0,,1.0,54.0,,,,,,,,,,,,,,,52.0,,,,,,1.0,,,,72.0,,,,,,,,,15.0,,33.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0
es_ancora-ud-dev,1654,0,268,,60.0,,,52.0,,,,,,,,,,,,,,,41.0,,,,,,,,,,62.0,,,,,,,,,19.0,,13.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,,3.0
