Treebank,Number of Sentences,Failures,Total,acl,acl:cont,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:cond,advcl:consec,advcl:dpct,advcl:fin,advcl:lcl,advcl:manner,advcl:quote,advcl:tcl,advmod,amod,appos,aux,aux:nec,aux:neg,aux:opt,aux:pass,case,ccomp,ccomp:rel,compound,compound:lvc,compound:redup,conj,cop,csubj,csubj:pass,dep,dep:comp,dep:infl,discourse,dislocated,fixed,flat,iobj,list,nmod,nmod:poss,nsubj,nsubj:pass,obj,obl,orphan,parataxis,parataxis:discourse,parataxis:trans,reparandum,root,xcomp
tr_pud-ud-test,1000,0,7,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
sa_vedic-ud-test,2709,0,462,1.0,,14.0,8.0,,,24.0,2.0,,,,5.0,,1.0,,,,2.0,,,,,,21.0,1.0,,,,21.0,26.0,2.0,,,,,,,,14.0,,,,,,,,,2.0,14.0,,,,304.0,
sa_vedic-ud-train,21477,0,2896,17.0,2.0,94.0,73.0,16.0,,169.0,1.0,1.0,4.0,2.0,21.0,,13.0,,,,37.0,,,,,,116.0,1.0,,,,111.0,199.0,25.0,,,,,,1.0,,59.0,,,,,,,,,25.0,65.0,,,,1844.0,
sa_vedic-ud-dev,2996,0,446,2.0,,11.0,16.0,7.0,,18.0,,,,,10.0,,3.0,,,,4.0,,,,,,35.0,,,,,15.0,33.0,8.0,,,,,,1.0,,18.0,,,,,,,,,7.0,23.0,,,,235.0,
kmr_mg-ud-test,734,0,6,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
grc_perseus-ud-dev,1137,0,77,4.0,,,27.0,,,,,,,,,,,,,1.0,,,,,,,7.0,,,,,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,24.0,
grc_perseus-ud-train,11476,0,899,51.0,,,219.0,,,,,,,,,,,,,6.0,,,,,,,59.0,,,,,117.0,48.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,394.0,1.0
grc_perseus-ud-test,1306,0,70,5.0,,,21.0,,,,,,,,,,,,,,,,,,,,13.0,,,,,9.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,14.0,
tr_atis-ud-dev,572,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
tr_atis-ud-train,4274,0,8,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,
hi_pud-ud-test,1000,0,16,1.0,,,,,,,,,,,,,,,,,13.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
tr_kenet-ud-dev,1646,0,61,,,,17.0,,,,,,,,,,,,1.0,,,,,,,,5.0,,15.0,,,,,,,,,,1.0,,,,,,,,,,1.0,3.0,,7.0,,,,11.0,
tr_kenet-ud-test,1643,0,57,,,,20.0,,,,,,,,,,,,,,,,,,,,4.0,,14.0,,,,,,,,,,2.0,,,,1.0,,,,,,,,,3.0,,,,13.0,
tr_kenet-ud-train,15398,0,395,2.0,,,104.0,,,,,,,,,,,,,,,,,,,5.0,36.0,,83.0,,,6.0,,,,,,,7.0,,1.0,,2.0,1.0,3.0,,2.0,,1.0,15.0,,31.0,,,,95.0,1.0
ess_sli-ud-test,309,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,
sa_ufal-ud-test,230,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,
wo_wtb-ud-dev,449,0,20,,,,1.0,,,,,,,,,,,,,,10.0,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,
wo_wtb-ud-test,470,0,9,,,,,,,,,,,,,,,,,,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,
wo_wtb-ud-train,1188,0,44,,,,,,,,,,,,,,,,,,23.0,,,,,,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,8.0,,,,7.0,
mdf_jr-ud-test,454,0,7,,,,1.0,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,
bor_bdt-ud-test,881,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
myv_jr-ud-test,921,0,18,,,,,,,,,,,,,,,,,,1.0,,6.0,2.0,,,1.0,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
myv_jr-ud-train,1217,0,21,,,,1.0,,,,,,,,,,,,,2.0,,,4.0,,,,,,,,,6.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,5.0,
tr_framenet-ud-test,205,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
tr_framenet-ud-train,2288,0,71,,,,15.0,,,,,,,,,,,,,,,,,,,,,,16.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,5.0,,,,32.0,
tr_framenet-ud-dev,205,0,4,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
tr_gb-ud-test,2880,0,78,1.0,,,9.0,,,,,,,,,,,,,,3.0,,,,,,7.0,,,,1.0,2.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,47.0,
br_keb-ud-test,884,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grc_proiel-ud-test,1047,0,18,,,,6.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,3.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,4.0,
grc_proiel-ud-train,15016,0,334,14.0,,,69.0,,1.0,,,,,,,,,,,,8.0,,,,7.0,,42.0,,,,,37.0,64.0,1.0,1.0,,,,,1.0,,,,,,,,,9.0,,4.0,1.0,,,,74.0,1.0
grc_proiel-ud-dev,1019,0,29,2.0,,,8.0,,,,,,,,,,,,,,1.0,,,,,,5.0,,,,,2.0,9.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
tpn_tudet-ud-test,581,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
ota_boun-ud-train,114,0,3,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
ota_boun-ud-test,400,0,14,,,,5.0,,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,
grc_ptnk-ud-train,727,0,48,,,,8.0,,,,,,,,,,,,,,,,,,,,7.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,,4.0,1.0,2.0,,,,7.0,14.0
grc_ptnk-ud-dev,439,0,11,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,9.0
grc_ptnk-ud-test,410,0,19,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,7.0
sjo_xdt-ud-test,810,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
pcm_nsc-ud-dev,990,0,75,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,
pcm_nsc-ud-train,7279,0,557,1.0,,1.0,,,,,,,,,,,,,,,528.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,20.0,4.0,
pcm_nsc-ud-test,972,0,49,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,
got_proiel-ud-dev,985,0,257,12.0,,,89.0,,,,,,,,,,,,,,,,,,,,34.0,,,,,35.0,,,2.0,,,,,,,,,,,,1.0,,1.0,,4.0,,,,,78.0,1.0
got_proiel-ud-train,3387,0,887,26.0,,,271.0,,2.0,,,,,,,,,,,1.0,,,,,,,100.0,,,,,140.0,,,2.0,,,,,2.0,,,,,,,9.0,1.0,3.0,,13.0,5.0,,,,310.0,2.0
