Treebank,Number of Sentences,Failures,Total,acl,advcl,aux,aux:neg,ccomp,conj,csubj,dep:infl,obj,parataxis,parataxis:rep,reparandum,root,xcomp
gun_dooley-ud-test,1046,0,5,1.0,,,,,,,,,,4.0,,,
ess_sli-ud-test,309,0,6,,,,,,,,6.0,,,,,,
jaa_jarawara-ud-test,20,0,6,,,,,,,,,6.0,,,,,
gub_tudet-ud-test,1182,0,2,,,,,1.0,,,,,,,,1.0,
mdf_jr-ud-test,454,0,2,,1.0,,1.0,,,,,,,,,,
bor_bdt-ud-test,881,0,1,,,,,,,,,,,,,1.0,
myv_jr-ud-test,921,0,8,,,,,,2.0,,,,1.0,,,5.0,
myv_jr-ud-train,1217,0,7,,,,,,3.0,,,,,,,4.0,
quc_iu-ud-test,1435,0,18,1.0,3.0,,,1.0,,1.0,,,2.0,,,10.0,
tpn_tudet-ud-test,581,0,4,,,,,,,,,,2.0,,,2.0,
wbp_ufal-ud-test,55,0,4,,,4.0,,,,,,,,,,,
nhi_itml-ud-test,909,0,24,2.0,4.0,,,1.0,5.0,,,,2.0,,1.0,9.0,
azz_itml-ud-test,1260,0,4,,1.0,,,,,,,,,,,1.0,2.0
eme_tudet-ud-test,913,0,2,,,,,,,,,,1.0,,,1.0,
ab_abnc-ud-test,263,0,6,,,,,,4.0,,,,,,,2.0,
