Nombre d'accusatifs = 247
sl_ssj-ud-test, Nearest=Acc, Distance=0.00509, Self=0.00509, Diff=0.00000
sl_ssj-ud-dev, Nearest=Acc, Distance=0.00672, Self=0.00672, Diff=0.00000
sl_ssj-ud-train, Nearest=Acc, Distance=0.00619, Self=0.00619, Diff=0.00000
xcl_caval-ud-train, Nearest=Acc, Distance=0.00404, Self=0.00404, Diff=0.00000
xcl_caval-ud-dev, Nearest=Acc, Distance=0.00340, Self=0.00340, Diff=0.00000
xcl_caval-ud-test, Nearest=Acc, Distance=0.00524, Self=0.00524, Diff=0.00000
hu_szeged-ud-dev, Nearest=Loc, Distance=0.01536, Self=0.02636, Diff=0.01100
hu_szeged-ud-test, Nearest=Loc, Distance=0.01548, Self=0.02648, Diff=0.01100
hu_szeged-ud-train, Nearest=Loc, Distance=0.01557, Self=0.02657, Diff=0.01100
el_gud-ud-train, Nearest=Acc, Distance=0.01220, Self=0.01220, Diff=0.00000
el_gud-ud-test, Nearest=Acc, Distance=0.01188, Self=0.01188, Diff=0.00000
tr_pud-ud-test, Nearest=Loc, Distance=0.00667, Self=0.01549, Diff=0.00882
de_hdt-ud-test, Nearest=Abs, Distance=0.01343, Self=0.01640, Diff=0.00297
de_hdt-ud-train, Nearest=Abs, Distance=0.01466, Self=0.01681, Diff=0.00214
de_hdt-ud-dev, Nearest=Acc, Distance=0.00641, Self=0.00641, Diff=0.00000
sga_dipsgg-ud-test, Nearest=Abs, Distance=0.01505, Self=0.01725, Diff=0.00220
sv_talbanken-ud-train, Nearest=Loc, Distance=0.01641, Self=0.02741, Diff=0.01100
ar_nyuad-ud-train, Nearest=Acc, Distance=0.01195, Self=0.01195, Diff=0.00000
ar_nyuad-ud-dev, Nearest=Acc, Distance=0.01328, Self=0.01328, Diff=0.00000
ar_nyuad-ud-test, Nearest=Acc, Distance=0.01212, Self=0.01212, Diff=0.00000
pl_pdb-ud-test, Nearest=Acc, Distance=0.00669, Self=0.00669, Diff=0.00000
pl_pdb-ud-train, Nearest=Acc, Distance=0.00648, Self=0.00648, Diff=0.00000
pl_pdb-ud-dev, Nearest=Acc, Distance=0.00580, Self=0.00580, Diff=0.00000
sah_yktdt-ud-test, Nearest=Loc, Distance=0.00979, Self=0.02027, Diff=0.01048
uk_iu-ud-dev, Nearest=Acc, Distance=0.00264, Self=0.00264, Diff=0.00000
uk_iu-ud-train, Nearest=Acc, Distance=0.00377, Self=0.00377, Diff=0.00000
uk_iu-ud-test, Nearest=Acc, Distance=0.00417, Self=0.00417, Diff=0.00000
sa_vedic-ud-test, Nearest=Nom, Distance=0.01039, Self=0.01235, Diff=0.00196
sa_vedic-ud-train, Nearest=Dat, Distance=0.00958, Self=0.00975, Diff=0.00017
sa_vedic-ud-dev, Nearest=Acc, Distance=0.00933, Self=0.00933, Diff=0.00000
hi_hdtb-ud-train, Nearest=Abs, Distance=0.01427, Self=0.01443, Diff=0.00016
hi_hdtb-ud-dev, Nearest=Abs, Distance=0.01497, Self=0.01509, Diff=0.00011
hi_hdtb-ud-test, Nearest=Abs, Distance=0.01565, Self=0.01592, Diff=0.00027
kmr_mg-ud-train, Nearest=Loc, Distance=0.01316, Self=0.02416, Diff=0.01100
kmr_mg-ud-test, Nearest=Nom, Distance=0.00567, Self=0.01470, Diff=0.00903
hr_set-ud-dev, Nearest=Acc, Distance=0.00919, Self=0.00919, Diff=0.00000
hr_set-ud-train, Nearest=Acc, Distance=0.00773, Self=0.00773, Diff=0.00000
hr_set-ud-test, Nearest=Acc, Distance=0.00624, Self=0.00624, Diff=0.00000
orv_rnc-ud-dev, Nearest=Abs, Distance=0.01619, Self=0.01859, Diff=0.00240
orv_rnc-ud-train, Nearest=Acc, Distance=0.00931, Self=0.00931, Diff=0.00000
orv_rnc-ud-test, Nearest=Acc, Distance=0.01132, Self=0.01132, Diff=0.00000
cpg_tuecl-ud-test, Nearest=Acc, Distance=0.00777, Self=0.00777, Diff=0.00000
la_circse-ud-test, Nearest=Loc, Distance=0.00354, Self=0.01097, Diff=0.00743
is_pud-ud-test, Nearest=Abs, Distance=0.01473, Self=0.01540, Diff=0.00067
grc_perseus-ud-dev, Nearest=Acc, Distance=0.00566, Self=0.00566, Diff=0.00000
grc_perseus-ud-train, Nearest=Acc, Distance=0.00507, Self=0.00507, Diff=0.00000
grc_perseus-ud-test, Nearest=Acc, Distance=0.00701, Self=0.00701, Diff=0.00000
qpm_philotis-ud-train, Nearest=Acc, Distance=0.01040, Self=0.01040, Diff=0.00000
qpm_philotis-ud-dev, Nearest=Abs, Distance=0.01407, Self=0.01890, Diff=0.00483
qpm_philotis-ud-test, Nearest=Acc, Distance=0.01168, Self=0.01168, Diff=0.00000
tr_atis-ud-dev, Nearest=Dat, Distance=0.00522, Self=0.00994, Diff=0.00472
tr_atis-ud-train, Nearest=Loc, Distance=0.00855, Self=0.01701, Diff=0.00846
tr_atis-ud-test, Nearest=Nom, Distance=0.00657, Self=0.01354, Diff=0.00696
hi_pud-ud-test, Nearest=Acc, Distance=0.00928, Self=0.00928, Diff=0.00000
la_perseus-ud-test, Nearest=Loc, Distance=0.00305, Self=0.00871, Diff=0.00566
la_perseus-ud-train, Nearest=Acc, Distance=0.00525, Self=0.00525, Diff=0.00000
tr_kenet-ud-dev, Nearest=Loc, Distance=0.00396, Self=0.00772, Diff=0.00376
tr_kenet-ud-test, Nearest=Acc, Distance=0.00494, Self=0.00494, Diff=0.00000
tr_kenet-ud-train, Nearest=Nom, Distance=0.00676, Self=0.01264, Diff=0.00588
sms_giellagas-ud-test, Nearest=Abl, Distance=0.00852, Self=0.01511, Diff=0.00659
sms_giellagas-ud-train, Nearest=Loc, Distance=0.00456, Self=0.00955, Diff=0.00499
sk_snk-ud-dev, Nearest=Dat, Distance=0.00348, Self=0.00674, Diff=0.00326
sk_snk-ud-test, Nearest=Dat, Distance=0.00570, Self=0.00592, Diff=0.00023
sk_snk-ud-train, Nearest=Acc, Distance=0.00367, Self=0.00367, Diff=0.00000
lt_hse-ud-train, Nearest=Acc, Distance=0.00294, Self=0.00294, Diff=0.00000
lt_hse-ud-test, Nearest=Loc, Distance=0.00321, Self=0.00904, Diff=0.00583
lt_hse-ud-dev, Nearest=Loc, Distance=0.00389, Self=0.00836, Diff=0.00447
ky_tuecl-ud-test, Nearest=Loc, Distance=0.01641, Self=0.02741, Diff=0.01100
hit_hittb-ud-test, Nearest=Loc, Distance=0.01403, Self=0.02503, Diff=0.01100
sa_ufal-ud-test, Nearest=Acc, Distance=0.00599, Self=0.00599, Diff=0.00000
be_hse-ud-train, Nearest=Acc, Distance=0.00461, Self=0.00461, Diff=0.00000
be_hse-ud-dev, Nearest=Acc, Distance=0.00354, Self=0.00354, Diff=0.00000
be_hse-ud-test, Nearest=Acc, Distance=0.00271, Self=0.00271, Diff=0.00000
yo_ytb-ud-test, Nearest=Loc, Distance=0.01641, Self=0.02741, Diff=0.01100
cs_pud-ud-test, Nearest=Dat, Distance=0.00622, Self=0.00737, Diff=0.00115
orv_ruthenian-ud-test, Nearest=Acc, Distance=0.00677, Self=0.00677, Diff=0.00000
orv_ruthenian-ud-train, Nearest=Acc, Distance=0.00909, Self=0.00909, Diff=0.00000
orv_ruthenian-ud-dev, Nearest=Acc, Distance=0.00632, Self=0.00632, Diff=0.00000
ml_ufal-ud-test, Nearest=Nom, Distance=0.00584, Self=0.01442, Diff=0.00858
de_pud-ud-test, Nearest=Acc, Distance=0.00324, Self=0.00324, Diff=0.00000
sq_tsa-ud-test, Nearest=Acc, Distance=0.01176, Self=0.01176, Diff=0.00000
mr_ufal-ud-dev, Nearest=Loc, Distance=0.01641, Self=0.02741, Diff=0.01100
mr_ufal-ud-test, Nearest=Loc, Distance=0.01641, Self=0.02741, Diff=0.01100
mr_ufal-ud-train, Nearest=Loc, Distance=0.01587, Self=0.02687, Diff=0.01100
si_stb-ud-test, Nearest=Abs, Distance=0.01727, Self=0.02035, Diff=0.00308
ro_tuecl-ud-test, Nearest=Abs, Distance=0.01972, Self=0.02659, Diff=0.00688
ar_padt-ud-dev, Nearest=Abs, Distance=0.02049, Self=0.02434, Diff=0.00386
ar_padt-ud-train, Nearest=Abs, Distance=0.01829, Self=0.02074, Diff=0.00245
ar_padt-ud-test, Nearest=Abs, Distance=0.01652, Self=0.01884, Diff=0.00231
lt_alksnis-ud-test, Nearest=Acc, Distance=0.00893, Self=0.00893, Diff=0.00000
lt_alksnis-ud-dev, Nearest=Acc, Distance=0.00599, Self=0.00599, Diff=0.00000
lt_alksnis-ud-train, Nearest=Acc, Distance=0.00549, Self=0.00549, Diff=0.00000
cu_proiel-ud-train, Nearest=Acc, Distance=0.00431, Self=0.00431, Diff=0.00000
cu_proiel-ud-test, Nearest=Acc, Distance=0.00518, Self=0.00518, Diff=0.00000
cu_proiel-ud-dev, Nearest=Acc, Distance=0.00392, Self=0.00392, Diff=0.00000
