Treebank,Number of Sentences,Failures,Total,_,acl,acl:cleft,acl:relcl,advcl,advmod,amod,appos,aux,aux:neg,aux:pass,case,ccomp,compound,compound:svc,conj,cop,csubj,csubj:cop,csubj:pass,dep,det,discourse,dislocated,fixed,flat:foreign,iobj,nmod:poss,nsubj,obj,obl,orphan,parataxis,punct,root,xcomp
sl_ssj-ud-test,1282,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
sl_ssj-ud-train,10903,0,20,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,17.0
sv_talbanken-ud-dev,504,0,69,,2.0,,12.0,10.0,,,,1.0,,1.0,,,,,4.0,,3.0,,1.0,,,,,1.0,,,,,,,,4.0,,30.0,
sv_talbanken-ud-test,1219,0,230,,2.0,3.0,34.0,29.0,,,,9.0,,,,9.0,,,18.0,20.0,4.0,,,,,,,1.0,,,,,,,,4.0,,97.0,
sv_talbanken-ud-train,4303,0,603,1.0,8.0,4.0,86.0,68.0,,,,19.0,,3.0,,26.0,,,58.0,30.0,4.0,,2.0,,,,3.0,1.0,,,,,,,,11.0,,278.0,1.0
la_circse-ud-test,1263,0,1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_pud-ud-test,1000,0,234,,9.0,,25.0,15.0,,1.0,,25.0,,,,18.0,,,20.0,19.0,3.0,,,,,,,,,,,,,1.0,,4.0,,81.0,13.0
hit_hittb-ud-test,136,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
et_ewt-ud-train,5444,0,653,7.0,10.0,,11.0,62.0,,5.0,,6.0,,,,12.0,,,66.0,53.0,,2.0,,,,,,,,,,,,1.0,4.0,6.0,,78.0,330.0
et_ewt-ud-test,913,0,118,,,,7.0,18.0,,4.0,,,,,,5.0,,,15.0,11.0,1.0,,,,,,,,,,,,,,,2.0,,11.0,44.0
et_ewt-ud-dev,833,0,102,,6.0,,1.0,8.0,,1.0,,1.0,,,,5.0,,,11.0,6.0,1.0,1.0,,,,,,,,,,,,,,2.0,,17.0,42.0
mr_ufal-ud-test,47,0,1,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
mr_ufal-ud-train,373,0,8,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,4.0
cu_proiel-ud-train,18327,0,110,,1.0,,,90.0,,,,,,,,,,,13.0,1.0,,,,,,,,,,,,,,,2.0,,,,3.0
cu_proiel-ud-test,2096,0,14,,,,,10.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
cu_proiel-ud-dev,2205,0,11,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdf_jr-ud-test,454,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
vep_vwt-ud-test,103,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0
la_proiel-ud-test,1260,0,2,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
la_proiel-ud-dev,1233,0,1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_proiel-ud-train,16196,0,25,,,,,14.0,,,,,,,,9.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,
sv_lines-ud-dev,1032,0,218,,7.0,,37.0,25.0,,2.0,2.0,6.0,,2.0,,22.0,,,27.0,9.0,1.0,,,,,,3.0,,,,,,,,,3.0,,71.0,1.0
sv_lines-ud-train,3176,0,688,,15.0,6.0,127.0,75.0,,7.0,3.0,21.0,,7.0,,68.0,,,82.0,44.0,3.0,,2.0,,,,,1.0,,,,,,,,7.0,,215.0,5.0
sv_lines-ud-test,1035,0,203,,3.0,1.0,32.0,23.0,,,,3.0,,7.0,,20.0,,,24.0,5.0,1.0,,1.0,,,,,,,,,,,,,4.0,,77.0,2.0
fo_oft-ud-test,1208,0,77,,3.0,,,,,,1.0,,,,,,,,4.0,11.0,,,,,,,,,,,,,,,,1.0,,57.0,
is_gc-ud-test,540,0,164,,,,13.0,7.0,,,,1.0,,,,27.0,,,17.0,22.0,,,,6.0,,,,,,,,,,12.0,,,,48.0,11.0
