Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advmod,advmod:emph,advmod:tmod,amod,appos,aux,aux:aspect,case,cc,ccomp,compound,compound:lvc,compound:redup,conj,cop,det,det:poss,discourse,fixed,flat,iobj,mark,nmod,nmod:npmod,nmod:poss,nsubj,nsubj:cop,nsubj:pass,nummod,obj,obl,obl:agent,orphan,parataxis,root,xcomp
fi_ood-ud-test,2122,0,1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
vi_tuecl-ud-test,100,0,5,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,2.0,,,,,,
hy_bsut-ud-train,1226,0,38,,,,1.0,,,3.0,,,,2.0,,,,4.0,1.0,1.0,,2.0,,,7.0,,,,,,9.0,,,,,,,,,8.0,,
hy_bsut-ud-test,595,0,10,,,,,,,,,,,2.0,,,,4.0,,,,,,,1.0,,,,,,2.0,1.0,,,,,,,,,,
hy_bsut-ud-dev,479,0,14,,,,1.0,,,,,,,5.0,,,,3.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,
fi_tdt-ud-train,12217,0,2,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
fi_tdt-ud-test,1555,0,1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
myv_jr-ud-test,921,0,10,,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,1.0,2.0,2.0,
myv_jr-ud-train,1217,0,19,,,,,,1.0,,,,2.0,,,1.0,,,,3.0,,,,,,,,,,,,1.0,2.0,,,1.0,,,,2.0,6.0,
en_ewt-ud-train,12544,0,9,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,
hy_armtdp-ud-train,1974,0,124,,1.0,,2.0,,,5.0,1.0,,,5.0,1.0,,1.0,29.0,,2.0,,12.0,2.0,,15.0,4.0,,,1.0,2.0,27.0,1.0,,,1.0,1.0,4.0,,,6.0,1.0,
hy_armtdp-ud-dev,249,0,5,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,1.0,,,,,,,,,1.0,,
hy_armtdp-ud-test,277,0,14,,,,,,,,,,,2.0,,,2.0,5.0,,1.0,,,,,,,,,,,2.0,1.0,,,,1.0,,,,,,
da_ddt-ud-train,4383,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-test,680,0,44,,1.0,,,1.0,,1.0,1.0,,,1.0,,,1.0,6.0,,,,,,,5.0,,,1.0,2.0,,13.0,,,,,2.0,6.0,,,2.0,1.0,
hyw_armtdp-ud-dev,694,0,42,,,,,,,2.0,,,,3.0,,,,5.0,,1.0,,3.0,,,6.0,,1.0,1.0,,,13.0,1.0,,,,1.0,5.0,,,,,
hyw_armtdp-ud-train,5282,0,367,1.0,,1.0,14.0,,,15.0,1.0,,,12.0,,1.0,2.0,66.0,1.0,7.0,,20.0,,4.0,51.0,1.0,1.0,4.0,4.0,9.0,112.0,1.0,,1.0,,2.0,32.0,1.0,,,3.0,
yrl_complin-ud-test,1470,0,28,,2.0,1.0,,,,,,1.0,,1.0,,,,,,2.0,,,,,,,,,1.0,,2.0,1.0,,,,3.0,5.0,,,4.0,4.0,1.0
fi_ftb-ud-dev,1875,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
fi_ftb-ud-train,14981,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,
fi_ftb-ud-test,1867,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
en_gentle-ud-test,1334,0,20,,,,1.0,,,,,3.0,,2.0,,,,,,,1.0,,,,,,,,,,7.0,1.0,,,,,,,,,5.0,
