Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advmod,amod,appos,case,ccomp,compound,compound:preverb,compound:prt,conj,cop,csubj,dep,dep:infl,det,dislocated,expl,fixed,flat,flat:name,iobj,nmod,nmod:obl,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp,xcomp:ds
hu_szeged-ud-dev,441,0,68,,,,,,1.0,,,,4.0,,6.0,,,,,,,,,,3.0,,,1.0,,,,53.0,,,,,
hu_szeged-ud-test,449,0,34,,,,,,,,,,,,2.0,,,,,,,,,,3.0,,1.0,,,,,28.0,,,,,
hu_szeged-ud-train,910,0,70,,,,,,,,,,2.0,,5.0,,,,,1.0,,,,,3.0,,,2.0,,,,57.0,,,,,
fi_ood-ud-test,2122,0,193,3.0,,1.0,,10.0,2.0,,,,,,10.0,,,,,7.0,,,,,,,22.0,,,,,131.0,5.0,,2.0,,
ess_sli-ud-test,309,0,32,,,,4.0,,,,,,,,,,,,26.0,,,,,,,,,,1.0,,,1.0,,,,,
hit_hittb-ud-test,136,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
et_ewt-ud-train,5444,0,709,7.0,,3.0,,40.0,4.0,,,,,,22.0,,,1.0,,30.0,,,1.0,7.0,,,46.0,,,3.0,,512.0,1.0,3.0,28.0,1.0,
et_ewt-ud-test,913,0,158,1.0,,1.0,,14.0,,,,,,,10.0,,,,,8.0,,,,6.0,,,5.0,,,2.0,,109.0,,1.0,1.0,,
et_ewt-ud-dev,833,0,142,,,1.0,,6.0,1.0,,,,,,5.0,,,,,10.0,,,,1.0,,,9.0,,,,,103.0,,1.0,5.0,,
ml_ufal-ud-test,218,0,4,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,,,,,
egy_ujaen-ud-test,721,0,26,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,14,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,
olo_kkpp-ud-train,19,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,
vep_vwt-ud-test,103,0,18,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,
fi_tdt-ud-train,12217,0,1909,54.0,1.0,3.0,,163.0,10.0,3.0,,,,1.0,139.0,,,,,88.0,,,,,26.0,,255.0,,,6.0,1.0,1119.0,12.0,,20.0,5.0,3.0
fi_tdt-ud-test,1555,0,253,12.0,,2.0,,12.0,,,,,,,26.0,,,,,15.0,,,,,6.0,,31.0,,,,,147.0,,,,1.0,1.0
fi_tdt-ud-dev,1364,0,236,6.0,,,,9.0,1.0,1.0,,,,,10.0,,,,,12.0,,,,,1.0,,21.0,,,1.0,,171.0,,,3.0,,
tpn_tudet-ud-test,581,0,11,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,2.0,,
fi_pud-ud-test,1000,0,179,6.0,,,,12.0,3.0,,,,,,8.0,,,,,3.0,,,,,14.0,,22.0,,,,,111.0,,,,,
et_edt-ud-dev,3128,0,628,7.0,,2.0,,65.0,1.0,,,,,,28.0,,,,,17.0,,,,14.0,,,46.0,,,3.0,,439.0,1.0,1.0,4.0,,
et_edt-ud-train,24615,0,5358,98.0,1.0,13.0,,447.0,28.0,,5.0,2.0,,,270.0,,1.0,,,160.0,,,,53.0,,,564.0,,1.0,31.0,,3641.0,11.0,15.0,16.0,1.0,
et_edt-ud-test,3214,0,706,16.0,,,,52.0,,,,,,,31.0,,,,,25.0,,,,12.0,,,96.0,,,7.0,,460.0,1.0,1.0,5.0,,
wbp_ufal-ud-test,55,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
arr_tudet-ud-test,674,0,3,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
gn_oldtudet-ud-test,59,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,
eu_bdt-ud-train,5396,0,514,,,48.0,1.0,17.0,2.0,59.0,,2.0,,,11.0,1.0,,3.0,,8.0,,,,3.0,,,12.0,,1.0,,2.0,341.0,2.0,,,1.0,
eu_bdt-ud-test,1799,0,169,,,24.0,,3.0,1.0,19.0,,,,,1.0,1.0,,1.0,,5.0,,,,1.0,,,,,,,1.0,110.0,,,1.0,1.0,
eu_bdt-ud-dev,1798,0,181,,,19.0,,4.0,,20.0,,,,,3.0,3.0,,,,10.0,,,,1.0,,,7.0,,,,1.0,111.0,,,1.0,1.0,
fi_ftb-ud-dev,1875,0,193,3.0,,1.0,,19.0,,,,,,,5.0,,,,,9.0,,,,1.0,,,150.0,,,1.0,,,,,4.0,,
fi_ftb-ud-train,14981,0,1470,29.0,,8.0,,110.0,,,,,,5.0,63.0,,,2.0,,57.0,,6.0,2.0,14.0,,,1128.0,,4.0,19.0,1.0,,,,22.0,,
fi_ftb-ud-test,1867,0,184,2.0,,1.0,,17.0,,,,,,1.0,4.0,,,1.0,,9.0,,,,4.0,,,141.0,,,2.0,,,,,2.0,,
eme_tudet-ud-test,913,0,22,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,17.0,,,4.0,,
aqz_tudet-ud-test,343,0,23,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,4.0,,2.0,9.0,,2.0,2.0,,
gu_gujtb-ud-test,187,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
