Treebank,Number of Sentences,Failures,Total,acl:relcl,advcl:cleft,advmod,advmod:emph,advmod:neg,cc,discourse,discourse:sp,mark,nmod,nsubj,obj,obl:arg,parataxis,root,xcomp
zh_gsdsimp-ud-train,3997,0,6,,,,,,,,6.0,,,,,,,,
zh_gsdsimp-ud-dev,500,0,2,,,,,,,,2.0,,,,,,,,
pl_pdb-ud-test,2215,0,42,,,42.0,,,,,,,,,,,,,
pl_pdb-ud-train,17722,0,341,,,340.0,1.0,,,,,,,,,,,,
pl_pdb-ud-dev,2215,0,36,,,35.0,1.0,,,,,,,,,,,,
bn_bru-ud-test,56,0,2,,,2.0,,,,,,,,,,,,,
la_circse-ud-test,1263,0,36,,,,,,17.0,18.0,,1.0,,,,,,,
la_perseus-ud-train,1334,0,3,,,,,,,3.0,,,,,,,,,
say_autogramm-ud-test,1864,0,142,1.0,,130.0,,,,10.0,,,,,,,,,1.0
zh_gsd-ud-dev,500,0,2,,,,,,,,2.0,,,,,,,,
zh_gsd-ud-train,3997,0,6,,,,,,,,6.0,,,,,,,,
ceb_gja-ud-test,188,0,3,,,3.0,,,,,,,,,,,,,
tl_trg-ud-test,128,0,7,,,7.0,,,,,,,,,,,,,
la_udante-ud-train,926,0,21,,,,,1.0,,20.0,,,,,,,,,
la_udante-ud-test,419,0,6,,,,,,,6.0,,,,,,,,,
la_udante-ud-dev,376,0,16,,,,,,,16.0,,,,,,,,,
ha_southernautogramm-ud-test,1918,0,52,,2.0,19.0,,,,24.0,,,1.0,,2.0,,1.0,3.0,
ka_glc-ud-test,151,0,4,,,4.0,,,,,,,,,,,,,
ha_northernautogramm-ud-test,400,0,8,,,5.0,,,,3.0,,,,,,,,,
pl_pud-ud-test,1000,0,14,,,14.0,,,,,,,,,,,,,
yrl_complin-ud-test,1470,0,156,,,156.0,,,,,,,,,,,,,
pl_lfg-ud-test,1727,0,31,,,,,,,,,31.0,,,,,,,
pl_lfg-ud-train,13774,0,285,,,,,,,,,285.0,,,,,,,
pl_lfg-ud-dev,1745,0,32,,,,,,,,,32.0,,,,,,,
bej_nsc-ud-test,380,0,10,,,2.0,,,1.0,,,,,2.0,3.0,1.0,1.0,,
