Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:lcl,advcl:tcl,advmod,advmod:cau,advmod:eval,advmod:lmod,advmod:tmod,amod,appos,aux,case,ccomp,compound,compound:preverb,compound:prt,conj,cop,cop:own,csubj,csubj:cop,dep,det,discourse,expl,fixed,flat,flat:foreign,flat:name,mark,nmod,nmod:att,nmod:gobj,nmod:lmod,nmod:obl,nsubj,nsubj:cop,nummod,obj,obl,obl:agent,obl:cmp,obl:lmod,obl:lvc,obl:tmod,orphan,parataxis,reparandum,root,vocative,xcomp,xcomp:ds
hu_szeged-ud-dev,441,0,42,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,33.0,,,,3.0,,,,,,,,
hu_szeged-ud-test,449,0,42,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,3.0,,,,,31.0,,,,5.0,,,,,,,,
hu_szeged-ud-train,910,0,84,,,,,,,,,,,,,1.0,,,,,2.0,,1.0,,,,,,1.0,,,,,,2.0,,,,,,4.0,,,,,72.0,,,,1.0,,,,,,,,
fi_ood-ud-test,2122,0,461,,10.0,,,,,,,,,,29.0,1.0,,,1.0,,,,27.0,4.0,1.0,,,,16.0,1.0,,,,,,,20.0,,,,,,,2.0,1.0,250.0,,,,,,8.0,3.0,,9.0,,69.0,9.0
sms_giellagas-ud-test,230,0,52,,,,,,,,,,7.0,,1.0,1.0,,8.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,2.0,9.0,2.0,,14.0,,1.0,,,1.0,1.0,1.0,1.0,
sms_giellagas-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
et_ewt-ud-train,5444,0,685,7.0,13.0,8.0,22.0,,,,,,,,12.0,,6.0,,10.0,,,,70.0,52.0,,,2.0,,10.0,,,,,,,,9.0,,,,,,,,,113.0,,,,,,4.0,7.0,,73.0,,267.0,
et_ewt-ud-test,913,0,128,,2.0,7.0,4.0,,,,,,,,1.0,,,,5.0,,,,14.0,11.0,,1.0,,,4.0,,,,,,,,5.0,,,,,,,,,25.0,,,,,,1.0,1.0,,12.0,,35.0,
et_ewt-ud-dev,833,0,99,,7.0,1.0,4.0,,,,,,,,2.0,,1.0,,5.0,,,,11.0,6.0,,1.0,1.0,,2.0,,,,,,,,1.0,,,,,,,,,9.0,,,,,,,2.0,,17.0,,29.0,
egy_ujaen-ud-test,721,0,9,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
