Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cmpr,advcl:relcl,advmod,appos,aux,aux:pass,ccomp,ccomp:obj,conj,cop,cop:own,csubj,csubj:cleft,csubj:cop,csubj:outer,discourse,fixed,flat:sibl,nmod,nsubj,obj,obl,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:rel,root,xcomp,xcomp:ds
fi_ood-ud-test,2122,0,72,,,3.0,14.0,,,,,13.0,,2.0,,5.0,7.0,,,,1.0,,,,,,,,,5.0,,,,,22.0,,
pl_pdb-ud-test,2215,0,66,,,9.0,6.0,1.0,,,,,,,,7.0,,,1.0,,,,,,,,,,,,,1.0,2.0,,39.0,,
pl_pdb-ud-train,17722,0,488,,,57.0,23.0,5.0,2.0,,,,,22.0,6.0,55.0,,,2.0,,,,,,,1.0,,,,,,8.0,14.0,,293.0,,
pl_pdb-ud-dev,2215,0,67,,,3.0,5.0,,,,,,,1.0,,7.0,,,,,,,,,,,,,,,,2.0,,,49.0,,
uk_iu-ud-dev,673,0,21,,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,11.0,,
uk_iu-ud-train,5521,0,149,1.0,2.0,14.0,13.0,,,,1.0,,,7.0,,15.0,,,,,,,,,,2.0,,,,10.0,1.0,,,3.0,80.0,,
uk_iu-ud-test,898,0,29,1.0,,3.0,1.0,,,,,,,2.0,,3.0,,,,,,,,,3.0,,,,,2.0,,,,1.0,13.0,,
wo_wtb-ud-dev,449,0,20,,,,1.0,,,,,5.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,9.0,1.0,
wo_wtb-ud-test,470,0,21,,,,,,,,,6.0,,3.0,,,,,,,,,,,,,,,,2.0,,,,,10.0,,
wo_wtb-ud-train,1188,0,83,,,1.0,4.0,,,,,26.0,,6.0,,7.0,,,,,,,,,,,,,,3.0,,,,,36.0,,
olo_kkpp-ud-train,19,0,1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
fi_tdt-ud-train,12217,0,701,10.0,1.0,14.0,61.0,,,1.0,,179.0,3.0,29.0,,46.0,172.0,1.0,,,2.0,,1.0,2.0,,,1.0,1.0,,15.0,,,,,160.0,,2.0
fi_tdt-ud-test,1555,0,124,2.0,,5.0,9.0,,,,,58.0,,7.0,,2.0,28.0,1.0,,,,,,,,,,,,,,,,,12.0,,
fi_tdt-ud-dev,1364,0,89,1.0,,1.0,4.0,,,,,28.0,,4.0,,5.0,23.0,,,,2.0,,,,,,,,,1.0,,,,,20.0,,
br_keb-ud-test,884,0,31,,1.0,,1.0,,,,,13.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,13.0,,
fi_pud-ud-test,1000,0,9,,,2.0,2.0,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,
ga_idt-ud-train,4005,0,1194,,5.0,330.0,106.0,,,,,,,72.0,,115.0,,,,31.0,17.0,,,,,1.0,,,1.0,36.0,,,,,479.0,1.0,
ga_idt-ud-test,454,0,107,,1.0,25.0,20.0,,,,,,,7.0,,8.0,,,,8.0,1.0,,,,,,,,,7.0,,,,,30.0,,
ga_idt-ud-dev,451,0,95,,1.0,19.0,14.0,,,,,,,11.0,,8.0,,,,1.0,4.0,,,,,1.0,,,1.0,1.0,,,,,34.0,,
gd_arcosg-ud-test,545,0,23,,,3.0,4.0,,,,,,,2.0,,4.0,,,,2.0,,1.0,,,,,,,,1.0,,,,,6.0,,
gd_arcosg-ud-train,3541,0,125,,,31.0,19.0,,,,,,,7.0,,19.0,,,,8.0,1.0,,,,,,,,,2.0,,,,,38.0,,
gd_arcosg-ud-dev,655,0,16,,,3.0,1.0,,,,,,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,6.0,,
cy_ccg-ud-test,953,0,102,,2.0,22.0,3.0,,,,,,,2.0,,13.0,,,1.0,,,,,,,,,,,1.0,,,,,58.0,,
cy_ccg-ud-dev,409,0,48,,2.0,9.0,2.0,,,,2.0,,,1.0,,10.0,,,,,,,,,,,,,,1.0,,,,,21.0,,
cy_ccg-ud-train,1189,0,149,,6.0,24.0,2.0,,,,,,,4.0,,19.0,,,,,,,,,,,,1.0,,2.0,,,,,91.0,,
arr_tudet-ud-test,674,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
ga_cadhan-ud-test,193,0,25,,,9.0,5.0,,,,,,,1.0,,2.0,,,,2.0,1.0,,,,,,,,,2.0,,,,,3.0,,
pl_pud-ud-test,1000,0,50,,,5.0,4.0,,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,2.0,,,33.0,,
pl_lfg-ud-test,1727,0,37,,,2.0,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,31.0,,
pl_lfg-ud-train,13774,0,293,,1.0,2.0,,,,,,,,9.0,3.0,26.0,,,1.0,,,,,,,,,,,,,,,,251.0,,
pl_lfg-ud-dev,1745,0,35,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,32.0,,
