Treebank,Number of Sentences,Failures,Total,advcl,appos,aux,ccomp,compound:svc,conj,dep,discourse,nmod,nmod:poss,nsubj,nsubj:outer,nsubj:pass,obj,obl,parataxis,reparandum,root,xcomp
gun_dooley-ud-test,1046,0,9,,,,,1.0,,,,,,4.0,,,,4.0,,,,
jaa_jarawara-ud-test,20,0,5,,,,,,,,1.0,,,3.0,,,1.0,,,,,
gub_tudet-ud-test,1182,0,2,,,,2.0,,,,,,,,,,,,,,,
bor_bdt-ud-test,881,0,36,3.0,,,,,2.0,,,9.0,,7.0,2.0,,,3.0,3.0,,7.0,
id_gsd-ud-train,4482,0,23,,,,,,,,,,6.0,10.0,,2.0,2.0,3.0,,,,
id_gsd-ud-test,557,0,1,,,,,,,,,,,,,,,1.0,,,,
id_gsd-ud-dev,559,0,2,,,,,,,,,,,,,,1.0,1.0,,,,
id_pud-ud-test,1000,0,26,,,,,,,,,2.0,3.0,17.0,,,3.0,1.0,,,,
gun_thomas-ud-test,98,0,20,,,,,,,,,3.0,,14.0,,,1.0,1.0,,1.0,,
tpn_tudet-ud-test,581,0,42,4.0,1.0,,1.0,,,,,1.0,,1.0,,,3.0,10.0,6.0,,15.0,
ceb_gja-ud-test,188,0,7,,,,,,,,,,,6.0,,,1.0,,,,,
id_csui-ud-test,374,0,5,,,,,,,,,,3.0,2.0,,,,,,,,
id_csui-ud-train,656,0,15,,,,,,,,,,1.0,14.0,,,,,,,,
sjo_xdt-ud-test,810,0,15,,,,,,,,,1.0,6.0,8.0,,,,,,,,
myu_tudet-ud-test,158,0,1,,,,,,,,,,,,,,,1.0,,,,
arr_tudet-ud-test,674,0,2,,,1.0,,,,,,,,,,,,,,,1.0,
gn_oldtudet-ud-test,59,0,1,,,,,,,,,,,,,,,1.0,,,,
eme_tudet-ud-test,913,0,15,2.0,,,,,,2.0,,,,1.0,,,,1.0,1.0,,7.0,1.0
