Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:abs,advcl:cmp,advcl:pred,advcl:relcl,advmod,advmod:lmod,amod,appos,cc,ccomp,ccomp:relcl,ccomp:reported,compound,conj,conj:expl,csubj,csubj:pass,csubj:relcl,det,det:numgov,dislocated,dislocated:nsubj,dislocated:obj,flat,flat:redup,iobj,nmod,nmod:poss,nsubj,nsubj:cleft,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:cmp,obl:lmod,obl:tmod,orphan,parataxis,reparandum,root,vocative,xcomp
la_circse-ud-test,1263,0,988,3.0,8.0,4.0,1.0,3.0,14.0,1.0,,,4.0,,1.0,2.0,,,,26.0,,,,1.0,395,2.0,,,,,1.0,,32,,223,,,12,2.0,141,29,3.0,19.0,1.0,16.0,5.0,5.0,4.0,,28.0,2.0,
la_llct-ud-dev,850,0,102,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,83,,,,,,,,1,,4,,,6,,1,2,,,,,,,,,2.0,,
la_llct-ud-test,884,0,97,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,1,,3,,,6,,2,1,,,,,,,,,,,
la_llct-ud-train,7289,0,897,,,,,1.0,,,,,,,,1.0,,,1.0,5.0,,,,,649,,1.0,3.0,1.0,,,1.0,32,,63,,,26,,41,65,,2.0,,,,,2.0,2.0,,,1.0
la_udante-ud-train,926,0,2490,,47.0,11.0,,13.0,15.0,2.0,4.0,1.0,3.0,,9.0,8.0,3.0,3.0,,101.0,8.0,9.0,5.0,2.0,667,,,,,2.0,,,157,1.0,510,,11.0,151,,222,353,11.0,87.0,1.0,10.0,1.0,25.0,,,33.0,,4.0
la_udante-ud-test,419,0,1237,1.0,8.0,5.0,,10.0,6.0,2.0,,,,,6.0,8.0,2.0,,,56.0,5.0,4.0,3.0,1.0,302,,,,,,,,69,,264,1.0,,67,,175,143,6.0,63.0,2.0,1.0,,12.0,,,11.0,,4.0
la_udante-ud-dev,376,0,766,,6.0,9.0,,3.0,6.0,,,,2.0,,8.0,1.0,,1.0,,23.0,1.0,,,,199,,,,,,,,56,,171,,3.0,50,,85,97,6.0,21.0,,5.0,,2.0,,,10.0,,1.0
la_ittb-ud-dev,2101,0,3232,4.0,21.0,29.0,2.0,11.0,,1.0,,,,,,15.0,1.0,,,67.0,4.0,8.0,6.0,2.0,831,,,,,,,,293,,786,,1.0,227,,204,422,39.0,181.0,,,,4.0,1.0,,58.0,,14.0
la_ittb-ud-test,2101,0,2808,3.0,36.0,29.0,,10.0,,8.0,,,,,,,6.0,,,73.0,1.0,12.0,2.0,3.0,566,,,,,,,,296,,659,,6.0,156,,286,380,29.0,156.0,,,,8.0,,,70.0,,13.0
la_ittb-ud-train,22775,0,34556,32.0,336.0,363.0,4.0,90.0,210.0,43.0,,,,1.0,2.0,75.0,20.0,,11.0,874.0,11.0,142.0,26.0,32.0,9010,,,2.0,,,,,2924,,7557,,42.0,2338,1.0,2369,4917,283.0,2018.0,,,,88.0,6.0,,596.0,,133.0
