Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cond,advcl:conv,advcl:eval,advcl:purp,advcl:quote,advcl:seq,advcl:tcl,advmod,amod,appos,aux,aux:aspect,aux:imp,aux:nec,aux:neg,aux:opt,ccomp,ccomp:obj,ccomp:purp,ccomp:quote,compound,conj,cop,csubj,csubj:cop,dep,dep:infl,discourse,fixed,flat,nmod,nsubj,obj,obj:lo,obl,orphan,parataxis,reparandum,root,vocative,xcomp,xcomp:lo,xcomp:obj
ess_sli-ud-test,309,0,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,,,,,,,,,,,,,,,,
jaa_jarawara-ud-test,20,0,6,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,,
apu_ufpa-ud-test,161,0,48,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,6.0,5.0,,,,,,,,2.0,,,,,,,,29.0,,1.0,,
mdf_jr-ud-test,454,0,536,2.0,4.0,31.0,,,4.0,,,,6.0,,,1.0,5.0,,,8.0,27.0,,10.0,,,,,129.0,14.0,,1.0,,,1.0,1.0,,,1.0,,,,1.0,22.0,,268.0,,,,
mdf_jr-ud-train,20,0,19,,,1.0,,,,,,,,,,,,,,,2.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,12.0,,,,
bor_bdt-ud-test,881,0,30,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,7.0,,,,,,,19.0,,,,
myv_jr-ud-test,921,0,1080,1.0,25.0,42.0,,,,,,,1.0,1.0,1.0,5.0,8.0,20.0,,8.0,69.0,3.0,27.0,,,,1.0,301.0,25.0,2.0,1.0,,,3.0,2.0,,,,,,,,72.0,,458.0,,4.0,,
myv_jr-ud-train,1217,0,1221,3.0,9.0,18.0,,,2.0,,,,2.0,1.0,1.0,8.0,13.0,47.0,1.0,10.0,51.0,2.0,25.0,,,,2.0,240.0,28.0,3.0,,,,2.0,1.0,,1.0,3.0,,,1.0,1.0,91.0,,654.0,,1.0,,
quc_iu-ud-test,1435,0,983,54.0,,48.0,,,,,,,,,,,,,,,,,57.0,,,,,19.0,,34.0,,1.0,,,,,,,,,,,39.0,,701.0,,30.0,,
tpn_tudet-ud-test,581,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,35.0,,,,
myu_tudet-ud-test,158,0,16,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,5.0,,9.0,,,,
nhi_itml-ud-test,909,0,1184,40.0,10.0,131.0,,,,,,,,,,,22.0,,,,,,47.0,,,,,183.0,4.0,24.0,,,,4.0,1.0,1.0,,2.0,,,,,125.0,2.0,543.0,1.0,44.0,,
ka_glc-ud-test,151,0,218,8.0,,6.0,,,,,,,,,,,10.0,,,,,,26.0,,,,,23.0,44.0,1.0,,,,,,,,,,,,,9.0,,90.0,,1.0,,
gn_oldtudet-ud-test,59,0,19,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,
azz_itml-ud-test,1260,0,1612,,69.0,187.0,,,,,,,,2.0,,4.0,,,,,,,48.0,,,,,234.0,18.0,13.0,,2.0,,,,,,,3.0,,1.0,,242.0,3.0,762.0,,24.0,,
eme_tudet-ud-test,913,0,6,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,
ab_abnc-ud-test,263,0,282,,6.0,15.0,8.0,9.0,,2.0,18.0,9.0,,,,,,,,,,,,4.0,2.0,24.0,,41.0,,8.0,,,,,,,,1.0,1.0,1.0,,,12.0,,117.0,,,3.0,1.0
