Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:tcl,advmod,advmod:lmod,advmod:mmod,advmod:tmod,amod,appos,case,ccomp,compound,conj,cop,csubj,csubj:cop,dep,det,discourse,expl,fixed,flat,flat:foreign,flat:name,mark,nmod,nmod:gobj,nmod:lmod,nmod:obl,nmod:poss,nsubj,nsubj:cop,nummod,obj,obl,obl:cmp,obl:lmod,obl:tmod,orphan,parataxis,root,xcomp,xcomp:ds
hu_szeged-ud-dev,441,0,40,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,37.0,,,,,,,,
hu_szeged-ud-test,449,0,40,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,35.0,,,,,,,,
hu_szeged-ud-train,910,0,78,,,,,,,,,,,,,,3.0,,,,,3.0,,,,,,1.0,,,,,7.0,,,,,,63.0,,,,,1.0,,,
fi_ood-ud-test,2122,0,336,3.0,1.0,,,,,,,28.0,2.0,,1.0,,26.0,,,,,8.0,,,,,,,,68.0,1.0,,,,,,,3.0,167.0,,,,13.0,5.0,8.0,2.0,
et_ewt-ud-train,5444,0,1014,25.0,,8.0,,,,,,72.0,1.0,,4.0,2.0,54.0,,1.0,,,68.0,,,,5.0,,,,117.0,,,,,,,4.0,1.0,594.0,,,,2.0,4.0,47.0,5.0,
et_ewt-ud-test,913,0,198,4.0,,,,,,,,4.0,,,,,23.0,,,,,10.0,,,,2.0,,,,25.0,,,,,,,3.0,,116.0,,,,2.0,,8.0,1.0,
et_ewt-ud-dev,833,0,161,,,,,,,,,8.0,,,2.0,,13.0,,,,,7.0,,,,2.0,,,,25.0,,,,,,,,,93.0,,,,2.0,,9.0,,
egy_ujaen-ud-test,721,0,26,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olo_kkpp-ud-test,106,0,29,,,,,,,,,4.0,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,21.0,,,,,,,,
olo_kkpp-ud-train,19,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
mdf_jr-ud-test,454,0,57,,,1.0,5.0,2.0,7.0,1.0,,1.0,1.0,3.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,3.0,,22.0,6.0,,,2.0,,
mdf_jr-ud-train,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
vep_vwt-ud-test,103,0,6,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,
fi_tdt-ud-train,12217,0,4221,202.0,4.0,15.0,,,,,,457.0,12.0,,9.0,4.0,304.0,1.0,,,,155.0,,,1.0,3.0,2.0,18.0,,1010.0,,,,,1.0,,29.0,3.0,1894.0,,,,16.0,4.0,43.0,17.0,17.0
fi_tdt-ud-test,1555,0,531,27.0,1.0,4.0,,,,,,39.0,,,1.0,1.0,35.0,,,,,20.0,,,1.0,,,2.0,,123.0,,,,,,,4.0,1.0,256.0,,,,,,9.0,5.0,2.0
fi_tdt-ud-dev,1364,0,487,26.0,,,,,,,,54.0,2.0,,2.0,,43.0,,,,,14.0,,,,,,2.0,,108.0,,,,,,,3.0,,221.0,,,,,,7.0,2.0,3.0
myv_jr-ud-test,921,0,186,,,15.0,,21.0,4.0,4.0,1.0,,1.0,10.0,1.0,,8.0,,,,,,,,,,,,,1.0,,,,,,,,,102.0,,11.0,6.0,,,1.0,,
myv_jr-ud-train,1217,0,162,,,7.0,4.0,10.0,,,5.0,,,12.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,70.0,,29.0,20.0,,,3.0,,
kpv_ikdp-ud-test,214,0,24,1.0,,1.0,,1.0,1.0,,,,,3.0,,,3.0,,,,,,,,,,,,,2.0,,,,2.0,,,,,6.0,1.0,2.0,,,,1.0,,
kpv_lattice-ud-test,643,0,118,,,,,,3.0,,2.0,,1.0,27.0,,,3.0,,,,,,,,,,,,1.0,8.0,,,,3.0,1.0,,,,37.0,5.0,21.0,1.0,,,5.0,,
kpv_lattice-ud-train,20,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,
fi_pud-ud-test,1000,0,410,21.0,1.0,3.0,,,,,,43.0,2.0,,,1.0,29.0,,,,,15.0,,,,,,5.0,,125.0,,,,,,,5.0,1.0,153.0,,,,,1.0,,1.0,4.0
et_edt-ud-dev,3128,0,746,11.0,1.0,,,,,,,85.0,7.0,,2.0,,48.0,,,,,29.0,,,,5.0,,,,150.0,,,,,,,7.0,,391.0,,,,,,4.0,6.0,
et_edt-ud-train,24615,0,5800,115.0,2.0,28.0,,,,,,574.0,28.0,,8.0,3.0,305.0,1.0,,,,241.0,,,,21.0,,,,1092.0,,,,,,2.0,89.0,,3179.0,,,,14.0,16.0,59.0,23.0,
et_edt-ud-test,3214,0,859,20.0,,2.0,,,,,,85.0,3.0,,2.0,,66.0,,,,1.0,40.0,,,,3.0,,,,172.0,,,,,,,5.0,,444.0,,,,2.0,5.0,7.0,2.0,
wbp_ufal-ud-test,55,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
koi_uh-ud-train,34,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
koi_uh-ud-test,94,0,7,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,2.0,,,,,,
krl_kkpp-ud-test,228,0,38,,,,,,,,,,1.0,,,,8.0,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,1.0,25.0,,,,,,,,
