Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:pred,advmod,amod,amod:att,appos,case,cc,compound,compound:lvc,compound:redup,conj,dep,det,expl:pv,fixed,iobj,nmod,nmod:att,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:poss,nmod:redup,nsubj,nsubj:cop,obj,obl,obl:agent,obl:arg,obl:lmod,orphan,parataxis,root,xcomp
xcl_caval-ud-train,3185,0,38,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,8.0,21.0,,6.0,,,,,
xcl_caval-ud-dev,411,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,
xcl_caval-ud-test,550,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,1.0,,,,,
hu_szeged-ud-dev,441,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
hu_szeged-ud-test,449,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
hu_szeged-ud-train,910,0,9,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,3.0,2.0,,,,,,,
no_bokmaal-ud-dev,2409,0,7,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,5.0,,,,,,,
no_bokmaal-ud-test,1939,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,
no_bokmaal-ud-train,15696,0,63,,,,,,,,,,,1.0,,,1.0,,2.0,,,,4.0,,,,,,,1.0,,22.0,31.0,,,,,,1.0,
fa_seraji-ud-dev,599,0,10,,,,,,,,,,,,2.0,,,,,,,,3.0,,,,,1.0,,,,,4.0,,,,,,,
fa_seraji-ud-test,600,0,5,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,3.0,,,,,,,
fa_seraji-ud-train,4798,0,87,,,,,,,,,,,,12.0,,1.0,,,,1.0,,23.0,,,,,10.0,,,,9.0,31.0,,,,,,,
tr_pud-ud-test,1000,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,
fi_ood-ud-test,2122,0,10,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,1.0,,2.0,1.0,,,,,,,
de_hdt-ud-test,18459,0,1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
de_hdt-ud-train,153035,0,4,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
de_hdt-ud-dev,18434,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0
