Treebank,Number of Sentences,Failures,Total,acl,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cond,advcl:fin,advcl:tcl,amod,appos,ccomp,compound,compound:coord,compound:lvc,compound:redup,compound:svc,conj,csubj,csubj:pass,discourse,dislocated,flat,iobj,nmod,nmod:appos,nmod:npmod,nmod:poss,nsubj,nsubj:pass,obj,obl,obl:agent,obl:goal,obl:instr,obl:lmod,obl:soc,obl:source,obl:tmod,orphan,parataxis,root,vocative,xcomp,xcomp:result
sa_vedic-ud-test,2709,0,39,4.0,,1.0,,,,,,,,,,5.0,,,,,,5.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,20,,,1.0
sa_vedic-ud-train,21477,0,396,51.0,,,7.0,,3.0,1.0,1.0,1.0,1.0,1.0,,19.0,,2.0,,,,42.0,1.0,,,,8.0,1.0,4.0,3.0,,,2.0,,18.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,7.0,181,2.0,13.0,10.0
sa_vedic-ud-dev,2996,0,79,3.0,1.0,,1.0,,,,1.0,,,,,2.0,,,,,,5.0,1.0,,,,1.0,1.0,1.0,,,,2.0,,5.0,2.0,,,,,,1.0,,,1.0,51,,,
la_circse-ud-test,1263,0,22,4.0,,,,1.0,,,,,,,,1.0,,,,,,6.0,,,,,,,,,,,,,1.0,,,,,,,,,,,8,,1.0,
la_proiel-ud-test,1260,0,57,11.0,,,,13.0,,,,,,,,8.0,,,,,,5.0,,,,,,,,,,,,,,10.0,,,,,,,,,,9,,1.0,
la_proiel-ud-dev,1233,0,67,10.0,,,,11.0,,,,,,,,7.0,,,,,,11.0,,,,,,,,,,,,,2.0,4.0,,,,,,,,1.0,,19,,2.0,
la_proiel-ud-train,16196,0,685,120.0,,,,116.0,,,,,,1.0,,90.0,,,,,,111.0,,5.0,,1.0,,,,,,,2.0,2.0,5.0,29.0,,,,,,,,3.0,2.0,188,,10.0,
grc_proiel-ud-test,1047,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
grc_proiel-ud-train,15016,0,7,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,4,,1.0,
grc_proiel-ud-dev,1019,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
hy_armtdp-ud-train,1974,0,528,38.0,,,,197.0,,,,,,,4.0,2.0,1.0,,2.0,,1.0,76.0,7.0,,,,,,6.0,,10.0,52.0,11.0,1.0,5.0,94.0,,,,,,,,,7.0,6,,8.0,
hy_armtdp-ud-dev,249,0,82,2.0,,,,26.0,,,,,,,,,,,,,,8.0,1.0,,1.0,,,,1.0,,2.0,14.0,3.0,,1.0,17.0,,,,,,,,,1.0,4,,1.0,
hy_armtdp-ud-test,277,0,59,2.0,,,,21.0,,,,,,,,,,,,1.0,,6.0,1.0,,,,,,,,1.0,9.0,3.0,,1.0,10.0,,,,,,,,,,4,,,
