Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advmod,appos,cc,ccomp,compound,compound:prt,conj,csubj,dep,det,discourse,expl,expl:impers,expl:pass,expl:pv,fixed,flat,flat:foreign,iobj,nmod,nmod:arg,nmod:poss,nsubj,nsubj:outer,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:cmpr,orphan,parataxis,parataxis:obj,reparandum,root,xcomp
es_gsd-ud-test,426,0,279,,,1.0,2.0,,1.0,,2.0,,,4.0,,,23.0,,,,,145.0,,,,,10.0,,,1.0,,,51.0,3.0,,33.0,,,,,,3.0,
es_gsd-ud-dev,1400,0,725,,,1.0,,,1.0,,,,,5.0,,,55.0,,,,,474.0,,1.0,,,16.0,,,8.0,,,104.0,8.0,,46.0,,,,,,6.0,
es_gsd-ud-train,14187,0,7228,,,3.0,5.0,,25.0,,6.0,4.0,,51.0,2.0,2.0,497.0,,6.0,,6.0,4711.0,2.0,5.0,,,133.0,,,68.0,,5.0,1088.0,70.0,4.0,471.0,,,9.0,,,51.0,4.0
pl_pdb-ud-test,2215,0,332,,,,,,,,,,,,,,,,,,,,,,,76.0,99.0,8.0,1.0,34.0,,2.0,107.0,1.0,2.0,,,,,1.0,,1.0,
pl_pdb-ud-train,17722,0,2673,,1.0,,1.0,,,,,,,12.0,,1.0,,,,,,,,,,512.0,656.0,52.0,151.0,415.0,,28.0,819.0,7.0,8.0,,2.0,1.0,,1.0,,4.0,2.0
pl_pdb-ud-dev,2215,0,297,,,,,,,,,,,,,,,,,,,,,,,69.0,74.0,5.0,14.0,36.0,,5.0,91.0,,2.0,,1.0,,,,,,
es_ancora-ud-train,14287,0,8062,,6.0,1.0,10.0,5.0,2.0,1.0,9.0,,,8.0,2.0,2.0,901.0,,,303.0,1831.0,2555.0,81.0,4.0,,,7.0,,,9.0,1.0,,1641.0,13.0,,651.0,,,1.0,,,13.0,5.0
es_ancora-ud-test,1721,0,933,,1.0,,,,,,,,,,,,118.0,,,35.0,207.0,323.0,8.0,2.0,,,2.0,,,3.0,,,179.0,,,54.0,,,,,,1.0,
es_ancora-ud-dev,1654,0,946,,,,2.0,,,,1.0,,,,,,97.0,,,18.0,195.0,334.0,5.0,,,,3.0,,,4.0,,,204.0,1.0,,80.0,,,,,,2.0,
cs_pud-ud-test,1000,0,7,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,
es_pud-ud-test,1000,0,428,,,,,,,,,,194.0,3.0,,,37.0,,1.0,,120.0,3.0,9.0,,,,1.0,,,,,,53.0,1.0,,5.0,,,,,,1.0,
cs_cltt-ud-dev,316,0,22,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,8.0,1.0,,10.0,,,,,,,
cs_cltt-ud-train,467,0,10,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,5.0,,,1.0,,,,,,,
cs_cltt-ud-test,338,0,35,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,3.0,,,15.0,2.0,,11.0,,,,,,,
cs_fictree-ud-dev,1309,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,
cs_fictree-ud-train,10160,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,1.0,13.0,5.0,,11.0,,,,,,,
cs_fictree-ud-test,1291,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
ca_ancora-ud-dev,1709,0,719,,,,,,,,,,,,,,,,,,46.0,,,1.0,,,,,,,,,661.0,,,11.0,,,,,,,
ca_ancora-ud-test,1846,0,728,,,,,,1.0,,,,,1.0,,,,,,,54.0,,,3.0,,,,,,1.0,,,658.0,,,10.0,,,,,,,
ca_ancora-ud-train,13123,0,5343,,,,,,,,1.0,,,3.0,,1.0,,,4.0,,413.0,,,13.0,,,,,,1.0,,,4797.0,2.0,,106.0,,,,,,,2.0
cs_pdt-ud-test,10146,0,429,,,3.0,,,,,,,,2.0,,,,,,,,,,,,2.0,34.0,,,6.0,,3.0,221.0,24.0,,130.0,,,,,,3.0,1.0
cs_pdt-ud-dev,9270,0,402,,,1.0,,,,,,,,3.0,,1.0,,,,,,,,,,4.0,33.0,,,9.0,,2.0,235.0,12.0,,98.0,,,1.0,,,,3.0
cs_pdt-ud-train,68491,0,2693,3.0,1.0,14.0,3.0,,,,3.0,,,6.0,,1.0,,1.0,,,,,,,,16.0,205.0,,,52.0,,9.0,1435.0,154.0,,770.0,,3.0,4.0,,,9.0,4.0
pl_pud-ud-test,1000,0,184,,,,,,,,,,,1.0,,,,,,,,,,,,20.0,24.0,,88.0,13.0,,2.0,35.0,1.0,,,,,,,,,
cs_cac-ud-dev,603,0,27,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,8.0,,,10.0,1.0,,7.0,,,,,,,
cs_cac-ud-train,23478,0,1359,,,7.0,3.0,,,,,,,3.0,,,,1.0,,,,,,,,2.0,64.0,,,199.0,,18.0,657.0,98.0,,302.0,,,,,,3.0,2.0
cs_cac-ud-test,628,0,38,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,,,26.0,2.0,,5.0,,,,,,,
pl_lfg-ud-test,1727,0,200,,,,,,,,,,,,,,,,,,,,,,,39.0,2.0,,46.0,31.0,,4.0,69.0,9.0,,,,,,,,,
pl_lfg-ud-train,13774,0,1346,,,,,,,,,,,,,,,,,,,,,,,252.0,22.0,,311.0,241.0,,12.0,448.0,59.0,,,,,,,,1.0,
pl_lfg-ud-dev,1745,0,171,,,,,,,,,,,,,,,,,,,,,,,38.0,1.0,,38.0,24.0,,,61.0,9.0,,,,,,,,,
cs_poetry-ud-test,297,0,73,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,25.0,3.0,,18.0,,,,,,,
es_coser-ud-test,539,0,382,,,,,,,,,,,,1.0,,32.0,,,5.0,51.0,83.0,6.0,,,,,,,3.0,,1.0,122.0,3.0,,60.0,,,1.0,,14.0,,
