Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:abs,advcl:cmp,advcl:pred,amod,appos,ccomp,ccomp:reported,compound,compound:nn,conj,conj:expl,csubj,csubj:pass,csubj:relcl,dep,dislocated,flat,flat:foreign,flat:name,flat:range,flat:repeat,flat:title,iobj,iobj:agent,list,nmod,nmod:gsubj,nmod:npmod,nmod:poss,nsubj,nsubj:caus,nsubj:cop,nsubj:outer,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:cmp,obl:lmod,obl:tmod,orphan,parataxis,parataxis:discourse,reparandum,root,vocative,xcomp,xcomp:pred
uk_iu-ud-dev,673,0,105,,,,1.0,,,,,2.0,,,,,4.0,,,,,,,,,5.0,,,35.0,1.0,,,21.0,,,,26.0,,,,,2.0,7.0,,,,,,,,,,,,1.0,
uk_iu-ud-train,5521,0,774,,1.0,,3.0,,,,,9.0,,,,,47.0,,,,,,,1.0,,37.0,,2.0,163.0,9.0,,,124.0,,,,241.0,,,,,45.0,37.0,,,,,,2.0,4.0,1.0,,27.0,16.0,,5.0
uk_iu-ud-test,898,0,135,,,,,,,,,4.0,,,,,17.0,,,,,,,,,8.0,,,29.0,1.0,,,21.0,,,,32.0,,,,,5.0,10.0,,,,,,,2.0,,,4.0,2.0,,
orv_rnc-ud-dev,943,0,825,,,,,,,,,256.0,,,1.0,,84.0,,,,,,,,,4.0,,,,25.0,,,26.0,,,,88.0,,,,7.0,13.0,253.0,1.0,,,,,22.0,,,,43.0,,2.0,
orv_rnc-ud-train,1868,0,1736,,,1.0,2.0,,,,,952.0,,,5.0,,284.0,,,,,,,,,4.0,,,,25.0,,,109.0,,,,196.0,,,,14.0,43.0,61.0,4.0,,,,,6.0,,,,23.0,2.0,5.0,
orv_rnc-ud-test,717,0,663,,,,,,,,,350.0,1.0,,17.0,,106.0,,,,,,,,,5.0,,,,19.0,,1.0,36.0,,,,63.0,,,,3.0,22.0,31.0,,,,,,1.0,1.0,,,4.0,3.0,,
la_circse-ud-test,1263,0,255,,,,,,,1.0,31.0,5.0,1.0,,,,20.0,1.0,,,,,,2.0,,,,,,,,,51.0,,,,67.0,,,,5.0,16.0,12.0,4.0,11.0,1.0,,1.0,3.0,,,,2.0,21.0,,
sms_giellagas-ud-train,20,0,8,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,
be_hse-ud-train,22853,0,4079,,,,1.0,,,,,1105.0,,,13.0,,425.0,,,,,,,1.0,,88.0,,,,88.0,,53.0,769.0,,,,835.0,,,,39.0,142.0,90.0,11.0,,,,,6.0,38.0,,,350.0,19.0,6.0,
be_hse-ud-dev,1301,0,233,,,,,,,,,51.0,,,1.0,,43.0,,,,,,,,,10.0,,,,2.0,,5.0,57.0,,,,32.0,,,,2.0,2.0,,2.0,,,,,,7.0,,,18.0,1.0,,
