Treebank,Number of Sentences,Failures,Total,acl:relcl,advcl,advcl:cleft,advmod,case,cc,dep,dep:comp,discourse,fixed,mark,obl:arg,parataxis,parataxis:discourse,parataxis:parenth,reparandum,root
pt_gsd-ud-dev,1204,0,8,,,,,,,,,,,8,,,,,,
pt_gsd-ud-test,1200,0,7,,,,1.0,,,,,,,6,,,,,,
pt_gsd-ud-train,9616,0,43,,,,,1.0,2.0,,,,,40,,,,,,
fr_fqb-ud-test,2289,0,8,,,,,,,,,,,8,,,,,,
fr_gsd-ud-test,416,0,10,,,,,,,,,,,10,,,,,,
fr_gsd-ud-train,14450,0,282,,,,,1.0,,,,,,281,,,,,,
fr_gsd-ud-dev,1476,0,26,,,,,,,,,,,26,,,,,,
fr_rhapsodie-ud-train,1288,0,43,,,,,2.0,2.0,,,,,37,,,,,,2.0
fr_rhapsodie-ud-dev,1081,0,50,,,,,,1.0,1.0,,,,47,,,,,,1.0
fr_rhapsodie-ud-test,840,0,20,,,,,,1.0,1.0,,,,18,,,,,,
fr_parisstories-ud-dev,692,0,66,,,,,,,4.0,,,,62,,,,,,
fr_parisstories-ud-train,1387,0,90,,,,,1.0,,3.0,1.0,,,85,,,,,,
fr_parisstories-ud-test,697,0,44,,,,,,,,,2.0,,41,,,,,1.0,
en_ewt-ud-dev,2001,0,1,,,,,,,,,,,1,,,,,,
en_ewt-ud-train,12544,0,9,,,,,,,,,,,9,,,,,,
pt_bosque-ud-dev,1172,0,30,,,,,,1.0,,,,,29,,,,,,
pt_bosque-ud-test,1167,0,29,,,,,,,,,,,29,,,,,,
pt_bosque-ud-train,7018,0,155,,,,1.0,,,,,,,154,,,,,,
pcm_nsc-ud-dev,990,0,39,,,,,1.0,,,,7.0,1.0,27,,,,,1.0,2.0
pcm_nsc-ud-train,7279,0,398,2.0,1.0,1.0,,8.0,,3.0,,16.0,,328,1.0,2.0,1.0,1.0,5.0,29.0
pcm_nsc-ud-test,972,0,38,,,,,1.0,,2.0,,1.0,,32,,,,,,2.0
ha_southernautogramm-ud-test,1918,0,5,,,,,,,,,,,5,,,,,,
fr_sequoia-ud-test,456,0,6,,,,,,,,,,,6,,,,,,
fr_sequoia-ud-train,2231,0,39,,,,,1.0,,,,,,38,,,,,,
fr_sequoia-ud-dev,412,0,8,,,,,,,,,,,8,,,,,,
bej_nsc-ud-test,380,0,5,,,,,,,,,,,5,,,,,,
