Treebank,Number of Sentences,Failures,Total,acl,advcl,advcl:cmp,advcl:tcl,advmod,amod,appos,ccomp,conj,csubj,csubj:pass,dep,det,dislocated,expl,expl:pass,expl:pv,fixed,flat,iobj,nmod,nmod:tmod,nsubj,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:pmod,obl:tmod,orphan,parataxis,root,vocative,xcomp
ro_nonstandard-ud-test,1052,0,465,,,,,,,,,1.0,,,,,,17.0,1.0,6.0,,,184.0,12.0,2.0,,,9.0,121.0,,,112.0,,,,,,
ro_nonstandard-ud-dev,1052,0,553,,,,,,,,,4.0,,,,,,2.0,1.0,2.0,,,239.0,14.0,2.0,,,10.0,125.0,1.0,,150.0,,1.0,2.0,,,
ro_nonstandard-ud-train,24121,0,5766,25.0,8.0,,2.0,,1.0,6.0,8.0,50.0,4.0,1.0,,,,17.0,,37.0,,,1845.0,379.0,20.0,19.0,,39.0,1585.0,37.0,,1627.0,,14.0,4.0,28.0,2.0,8.0
ro_simonero-ud-test,491,0,10,,,,,,,,,,,,,,,2.0,,,,,,4.0,,2.0,1.0,,,,,,,,1.0,,,
ro_simonero-ud-train,3747,0,113,,,,,,,,,2.0,,,,3.0,,6.0,,,,,3.0,17.0,,63.0,9.0,,8.0,1.0,,1.0,,,,,,
ro_simonero-ud-dev,443,0,6,,,,,,,,,,,,,,,2.0,,,,,,2.0,,2.0,,,,,,,,,,,,
ro_tuecl-ud-test,210,0,69,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,36.0,,3.0,24.0,1.0,,2.0,,,,,,
ro_art-ud-test,50,0,14,,,,,,,,,,,,,,,,,,,,,,,10.0,,2.0,1.0,,,1.0,,,,,,
ro_rrt-ud-test,729,0,72,,,,,,1.0,,,2.0,,,,,,,,,,,1.0,15.0,,31.0,1.0,,18.0,,,2.0,,,,,1.0,
ro_rrt-ud-train,8043,0,843,1.0,,,,,13.0,5.0,,8.0,,,2.0,11.0,,15.0,,,3.0,1.0,15.0,130.0,,400.0,16.0,14.0,166.0,11.0,,27.0,1.0,1.0,,,1.0,2.0
ro_rrt-ud-dev,752,0,83,,,,,,1.0,,,4.0,,,,,,,,,,,1.0,18.0,,34.0,2.0,3.0,17.0,,,2.0,,,,,1.0,
got_proiel-ud-dev,985,0,499,8.0,134.0,1.0,,9.0,80.0,4.0,2.0,32.0,,,,,2.0,,,,,,,1.0,,28.0,3.0,14.0,10.0,,9.0,,,5.0,,8.0,,149.0
got_proiel-ud-train,3387,0,1886,66.0,350.0,22.0,,81.0,328.0,7.0,3.0,174.0,,,,,10.0,,,,1.0,,,22.0,,92.0,7.0,57.0,21.0,1.0,27.0,,,22.0,1.0,61.0,1.0,532.0
got_proiel-ud-test,1029,0,571,13.0,169.0,4.0,,13.0,98.0,2.0,,51.0,,,,,2.0,,,,1.0,,,2.0,,15.0,1.0,19.0,13.0,,3.0,,,9.0,,12.0,1.0,143.0
