Treebank,Number of Sentences,Failures,Total,acl,advcl,amod,appos,case,ccomp,compound,conj,csubj,dep,det,expl,expl:poss,expl:pv,fixed,flat,iobj,nmod,nmod:tmod,nsubj,nsubj:pass,nummod,obj,obl,obl:pmod,obl:tmod,orphan,parataxis,root,vocative,xcomp
ro_nonstandard-ud-test,1052,0,711,1.0,4.0,12.0,7.0,,,20.0,36.0,,,171.0,,,,,1.0,120.0,307.0,,,,1.0,3.0,19.0,,,1.0,1.0,6.0,,1.0
ro_nonstandard-ud-dev,1052,0,568,,1.0,3.0,4.0,,1.0,,22.0,,,123.0,2.0,,,,2.0,105.0,281.0,,1.0,,,2.0,11.0,3.0,,,2.0,4.0,,1.0
ro_nonstandard-ud-train,24121,0,13826,29.0,16.0,229.0,118.0,7.0,12.0,12.0,605.0,4.0,,3586.0,8.0,,1.0,,4.0,2084.0,6296.0,30.0,100.0,1.0,28.0,82.0,431.0,26.0,,5.0,11.0,64.0,7.0,30.0
ro_simonero-ud-test,491,0,1,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
ro_simonero-ud-train,3747,0,5,,,,,,,,,,,2.0,,,,,,,3.0,,,,,,,,,,,,,
ro_tuecl-ud-test,210,0,46,,,3.0,,,1.0,,3.0,,,11.0,,,,,,5.0,21.0,,,,,,1.0,,,,,,1.0,
cu_proiel-ud-train,18327,0,11,,,,,,,,,,,,,,,,,,10.0,,,,1.0,,,,,,,,,
cu_proiel-ud-dev,2205,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
ky_ktmu-ud-test,701,0,2,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
ro_art-ud-test,50,0,4,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,
ro_rrt-ud-test,729,0,830,,,61.0,1.0,,,,41.0,,,117.0,,,,4.0,6.0,60.0,485.0,,1.0,,,,49.0,3.0,2.0,,,,,
ro_rrt-ud-train,8043,0,9614,3.0,2.0,893.0,11.0,1.0,3.0,,424.0,1.0,1.0,1339.0,1.0,1.0,,28.0,40.0,637.0,5629.0,,7.0,,43.0,1.0,485.0,17.0,29.0,2.0,,11.0,4.0,1.0
ro_rrt-ud-dev,752,0,929,,,100.0,1.0,,,,51.0,,,102.0,,,,3.0,8.0,70.0,536.0,,1.0,,2.0,1.0,45.0,2.0,6.0,,,1.0,,
orv_torot-ud-train,20480,0,2,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
