Treebank,Number of Sentences,Failures,Total,acl:relcl,advcl,amod,appos,compound,conj,dep,flat,flat:foreign,flat:name,iobj,list,nmod,nmod:npmod,nmod:poss,nsubj,nsubj:pass,obj,obl,obl:arg,orphan,parataxis,root,xcomp
orv_rnc-ud-train,1868,0,1,,,,1.0,,,,,,,,,,,,,,,,,,,,
be_hse-ud-train,22853,0,176,,,,37.0,7.0,12.0,,,,,2.0,2.0,33.0,,,14.0,1.0,7.0,44.0,,,4.0,12.0,1.0
be_hse-ud-dev,1301,0,14,,,,1.0,1.0,3.0,,,,,,,1.0,,,1.0,,,3.0,,,2.0,2.0,
be_hse-ud-test,1077,0,6,,,,2.0,,,,,,,,,1.0,,,,,,,,,1.0,2.0,
cs_pud-ud-test,1000,0,21,,,,,,1.0,,3.0,,,,,14.0,,,2.0,,,1.0,,,,,
vi_tuecl-ud-test,100,0,6,,,,1.0,1.0,,,3.0,,,,,,,,,,1.0,,,,,,
hy_bsut-ud-train,1226,0,53,,,,3.0,,6.0,,,,,,,14.0,2.0,7.0,5.0,1.0,3.0,9.0,,,1.0,2.0,
hy_bsut-ud-test,595,0,3,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,
hy_bsut-ud-dev,479,0,11,,,,,,,,,,,,,5.0,,,3.0,1.0,1.0,1.0,,,,,
ru_taiga-ud-train,16045,0,91,,1.0,,25.0,1.0,4.0,,,1.0,,1.0,,18.0,,,8.0,,6.0,16.0,,,6.0,4.0,
ru_taiga-ud-dev,946,0,2,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,
ru_taiga-ud-test,881,0,9,1.0,,,3.0,,2.0,,,,,,,,,,,,,1.0,,,1.0,1.0,
hy_armtdp-ud-train,1974,0,12,,,,,,2.0,,,,,,,4.0,,1.0,,,4.0,1.0,,,,,
hy_armtdp-ud-dev,249,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,
hy_armtdp-ud-test,277,0,1,,,,,,1.0,,,,,,,,,,,,,,,,,,
ru_poetry-ud-test,728,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,
ru_poetry-ud-dev,789,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,,
ru_poetry-ud-train,3569,0,3,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,
hyw_armtdp-ud-test,680,0,37,,,,,,1.0,,,,,,,5.0,,8.0,5.0,,6.0,1.0,,,4.0,4.0,3.0
hyw_armtdp-ud-dev,694,0,7,,,,,,1.0,,,,,1.0,,2.0,,1.0,1.0,,,1.0,,,,,
hyw_armtdp-ud-train,5282,0,135,,,,6.0,,19.0,,,,2.0,,,29.0,1.0,33.0,18.0,5.0,6.0,8.0,,1.0,2.0,4.0,1.0
cs_cac-ud-dev,603,0,5,,1.0,,,,1.0,,,1.0,,,,2.0,,,,,,,,,,,
cs_cac-ud-train,23478,0,270,,,13.0,4.0,,29.0,9.0,1.0,4.0,,,,142.0,,,32.0,1.0,10.0,14.0,4.0,,,7.0,
cs_cac-ud-test,628,0,34,,,,2.0,,14.0,1.0,,,,,,10.0,,,3.0,,1.0,,,1.0,,2.0,
